,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.resnet18,0.11458333333333333,4.121822830958244,0.088948466,4.389658,0,0.1,0.0005,206.60910487174988
1,model_type.resnet18,0.2231570512820513,3.4047400706853623,0.20140445,3.5492632,1,0.1,0.0005,417.15994477272034
2,model_type.resnet18,0.28846153846153844,3.029023540325654,0.2784591,3.1006284,2,0.1,0.0005,633.0535385608673
3,model_type.resnet18,0.34395032051282054,2.778339120057913,0.33705786,2.8062465,3,0.1,0.0005,848.8407378196716
4,model_type.resnet18,0.38040865384615385,2.609775806084657,0.38086188,2.5861206,4,0.1,0.0005,1054.2919290065765
5,model_type.resnet18,0.3661858974358974,2.68771432301937,0.41603312,2.4203057,5,0.1,0.0005,1261.6961312294006
6,model_type.resnet18,0.288661858974359,3.174369032566364,0.44369197,2.281506,6,0.1,0.0005,1465.6286470890045
7,model_type.resnet18,0.4088541666666667,2.424336653489333,0.47007042,2.1583118,7,0.1,0.0005,1681.196044921875
8,model_type.resnet18,0.4326923076923077,2.405509407703693,0.49355793,2.0519693,8,0.1,0.0005,1885.764636039734
9,model_type.resnet18,0.43529647435897434,2.396822661925585,0.5119238,1.9602251,9,0.1,0.0005,2101.9267115592957
10,model_type.resnet18,0.4779647435897436,2.1420118365532312,0.53087986,1.8747519,10,0.1,0.0005,2309.2872698307037
11,model_type.resnet18,0.4515224358974359,2.2805927655635734,0.5483355,1.7959712,11,0.1,0.0005,2558.441440820694
12,model_type.resnet18,0.46374198717948717,2.225692880459321,0.56296015,1.7241733,12,0.1,0.0005,2780.718759059906
13,model_type.resnet18,0.45873397435897434,2.273325739762722,0.5765645,1.6617955,13,0.1,0.0005,2993.190734386444
14,model_type.resnet18,0.4869791666666667,2.1148669521013894,0.5912092,1.6001327,14,0.1,0.0005,3201.1327056884766
15,model_type.resnet18,0.49459134615384615,2.093501937695039,0.6036432,1.5443367,15,0.1,0.0005,3405.2946581840515
16,model_type.resnet18,0.5044070512820513,2.0970744016842966,0.61284614,1.4965415,16,0.1,0.0005,3624.71470952034
17,model_type.resnet18,0.5074118589743589,2.065506710455968,0.62600034,1.4453026,17,0.1,0.0005,3829.6640188694
18,model_type.resnet18,0.48657852564102566,2.1695824448878946,0.63628364,1.4004136,18,0.1,0.0005,4044.1534864902496
19,model_type.resnet18,0.4967948717948718,2.152711266126388,0.64807737,1.3484696,19,0.1,0.0005,4248.146464347839
20,model_type.resnet18,0.5272435897435898,1.9933912662359385,0.6559399,1.3158811,20,0.1,0.0005,4455.540377855301
21,model_type.resnet18,0.5300480769230769,1.9834731144782825,0.66477275,1.2747816,21,0.1,0.0005,4662.8527154922485
22,model_type.resnet18,0.5228365384615384,2.023344200391036,0.67446584,1.2351247,22,0.1,0.0005,4868.122293710709
23,model_type.resnet18,0.5066105769230769,2.132554297263806,0.6826885,1.194722,23,0.1,0.0005,5072.070334434509
24,model_type.resnet18,0.5088141025641025,2.1225681946827817,0.6894506,1.1677423,24,0.1,0.0005,5290.421635627747
25,model_type.resnet18,0.5040064102564102,2.1620205778342028,0.69583267,1.1389343,25,0.1,0.0005,5527.388701915741
26,model_type.resnet18,0.5170272435897436,2.0604789425165224,0.70615596,1.1044188,26,0.1,0.0005,5755.241375207901
27,model_type.resnet18,0.5258413461538461,2.0782908766697616,0.7130782,1.069002,27,0.1,0.0005,5996.06369972229
28,model_type.resnet18,0.47896634615384615,2.3532235011076317,0.7157891,1.0522065,28,0.1,0.0005,6222.075443744659
29,model_type.resnet18,0.5038060897435898,2.202204996194595,0.72211105,1.0276717,29,0.1,0.0005,6449.974780321121
30,model_type.resnet18,0.5252403846153846,2.0767126786403165,0.73014367,0.998618,30,0.1,0.0005,6679.764626741409
31,model_type.resnet18,0.5224358974358975,2.111926468519064,0.73668575,0.97208273,31,0.1,0.0005,6913.883492231369
