,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities
0,model_type.euclidean,activation.dmelu,0.3515,1.8246684,0.31298015,1.9363643,0,0.0001,1e-05,100,2,,
1,model_type.euclidean,activation.dmelu,0.3892,1.7483855,0.3709987,1.7919403,1,0.0001,1e-05,100,2,,
2,model_type.euclidean,activation.dmelu,0.39659998,1.7045519,0.39394605,1.7271072,2,0.0001,1e-05,100,2,,
3,model_type.euclidean,activation.dmelu,0.41959998,1.6467456,0.4115917,1.6765302,3,0.0001,1e-05,100,2,,
4,model_type.euclidean,activation.dmelu,0.43039998,1.6259865,0.42477593,1.6329019,4,0.0001,1e-05,100,2,,
5,model_type.euclidean,activation.dmelu,0.44419998,1.5905427,0.43709987,1.6026869,5,0.0001,1e-05,100,2,,
6,model_type.euclidean,activation.dmelu,0.4459,1.5727838,0.4427617,1.5806524,6,0.0001,1e-05,100,2,,
7,model_type.euclidean,activation.dmelu,0.4436,1.571172,0.45350513,1.5566282,7,0.0001,1e-05,100,2,,
8,model_type.euclidean,activation.dmelu,0.45679998,1.5386199,0.45884684,1.5387033,8,0.0001,1e-05,100,2,,
9,model_type.euclidean,activation.dmelu,0.4615,1.5243609,0.4649688,1.5181518,9,0.0001,1e-05,100,2,,
10,model_type.euclidean,activation.dmelu,0.4664,1.5140086,0.47365156,1.4979051,10,0.0001,1e-05,100,2,,
11,model_type.euclidean,activation.dmelu,0.47309998,1.4974018,0.47915334,1.4833568,11,0.0001,1e-05,100,2,,
12,model_type.euclidean,activation.dmelu,0.4678,1.5030315,0.48353472,1.4678613,12,0.0001,1e-05,100,2,,
13,model_type.euclidean,activation.dmelu,0.47759998,1.4784266,0.48731595,1.4567189,13,0.0001,1e-05,100,2,,
14,model_type.euclidean,activation.dmelu,0.4786,1.4785991,0.493818,1.4420607,14,0.0001,1e-05,100,2,,
15,model_type.euclidean,activation.dmelu,0.4879,1.4557459,0.4950784,1.4310218,15,0.0001,1e-05,100,2,,
16,model_type.euclidean,activation.dmelu,0.4842,1.4596071,0.5015805,1.4178376,16,0.0001,1e-05,100,2,,
17,model_type.euclidean,activation.dmelu,0.4883,1.4463122,0.5025808,1.4105936,17,0.0001,1e-05,100,2,,
18,model_type.euclidean,activation.dmelu,0.4917,1.4528104,0.5065421,1.398678,18,0.0001,1e-05,100,2,,
19,model_type.euclidean,activation.dmelu,0.49319997,1.4452219,0.5100832,1.3904827,19,0.0001,1e-05,100,2,,
20,model_type.euclidean,activation.dmelu,0.4921,1.4408674,0.51394445,1.3800863,20,0.0001,1e-05,100,2,,
21,model_type.euclidean,activation.dmelu,0.4928,1.4360257,0.5161652,1.3711369,21,0.0001,1e-05,100,2,,
22,model_type.euclidean,activation.dmelu,0.4969,1.4222171,0.5197063,1.3599699,22,0.0001,1e-05,100,2,,
23,model_type.euclidean,activation.dmelu,0.4967,1.4328421,0.521927,1.3522775,23,0.0001,1e-05,100,2,,
24,model_type.euclidean,activation.dmelu,0.5002,1.4233173,0.52550817,1.3462055,24,0.0001,1e-05,100,2,,
25,model_type.euclidean,activation.dmelu,0.4982,1.4161431,0.5269886,1.338703,25,0.0001,1e-05,100,2,,
26,model_type.euclidean,activation.dmelu,0.5061,1.4023286,0.53171015,1.3293926,26,0.0001,1e-05,100,2,,
27,model_type.euclidean,activation.dmelu,0.50699997,1.3961048,0.5337108,1.3208842,27,0.0001,1e-05,100,2,,
28,model_type.euclidean,activation.dmelu,0.49879998,1.4149173,0.5379922,1.3126975,28,0.0001,1e-05,100,2,,
29,model_type.euclidean,activation.dmelu,0.50589997,1.3952205,0.54021287,1.3043967,29,0.0001,1e-05,100,2,,
30,model_type.euclidean,activation.dmelu,0.50479996,1.4015687,0.54117316,1.2971771,30,0.0001,1e-05,100,2,,
31,model_type.euclidean,activation.dmelu,0.5142,1.3836845,0.5456546,1.291561,31,0.0001,1e-05,100,2,,
32,model_type.euclidean,activation.dmelu,0.5126,1.3783002,0.54849553,1.282468,32,0.0001,1e-05,100,2,,
33,model_type.euclidean,activation.dmelu,0.51629996,1.3683794,0.5493558,1.2767557,33,0.0001,1e-05,100,2,,
34,model_type.euclidean,activation.dmelu,0.5169,1.376423,0.550036,1.2706753,34,0.0001,1e-05,100,2,,
35,model_type.euclidean,activation.dmelu,0.50729996,1.3928878,0.55605793,1.2618451,35,0.0001,1e-05,100,2,,
36,model_type.euclidean,activation.dmelu,0.51129997,1.376715,0.55883884,1.2541169,36,0.0001,1e-05,100,2,,
37,model_type.euclidean,activation.dmelu,0.51489997,1.3740051,0.55863875,1.2496222,37,0.0001,1e-05,100,2,,
38,model_type.euclidean,activation.dmelu,0.5227,1.3585494,0.5629802,1.244155,38,0.0001,1e-05,100,2,,
39,model_type.euclidean,activation.dmelu,0.5221,1.3535272,0.56484073,1.2357991,39,0.0001,1e-05,100,2,,
40,model_type.euclidean,activation.dmelu,0.5166,1.3636757,0.5640805,1.2313504,40,0.0001,1e-05,100,2,,
41,model_type.euclidean,activation.dmelu,0.5255,1.3575151,0.5676016,1.2275882,41,0.0001,1e-05,100,2,,
42,model_type.euclidean,activation.dmelu,0.5177,1.3655264,0.5699624,1.2183973,42,0.0001,1e-05,100,2,,
43,model_type.euclidean,activation.dmelu,0.528,1.3522066,0.57112277,1.216762,43,0.0001,1e-05,100,2,,
44,model_type.euclidean,activation.dmelu,0.5196,1.3578316,0.5736636,1.2100403,44,0.0001,1e-05,100,2,,
45,model_type.euclidean,activation.dmelu,0.5197,1.3616047,0.5728033,1.2064414,45,0.0001,1e-05,100,2,,
46,model_type.euclidean,activation.dmelu,0.52349997,1.3526101,0.57878524,1.199284,46,0.0001,1e-05,100,2,,
47,model_type.euclidean,activation.dmelu,0.5162,1.3598733,0.5806658,1.1926584,47,0.0001,1e-05,100,2,,
48,model_type.euclidean,activation.dmelu,0.52459997,1.3544557,0.58106595,1.1897936,48,0.0001,1e-05,100,2,,
49,model_type.euclidean,activation.dmelu,0.5302,1.3439046,0.5825864,1.1818562,49,0.0001,1e-05,100,2,,
50,model_type.euclidean,activation.dmelu,0.5214,1.3602691,0.58372676,1.1776574,50,0.0001,1e-05,100,2,,
51,model_type.euclidean,activation.dmelu,0.52959996,1.3485744,0.58730793,1.1747628,51,0.0001,1e-05,100,2,,
52,model_type.euclidean,activation.dmelu,0.52129996,1.3525807,0.58730793,1.1706712,52,0.0001,1e-05,100,2,,
53,model_type.euclidean,activation.dmelu,0.5261,1.3517464,0.59076905,1.1636077,53,0.0001,1e-05,100,2,,
54,model_type.euclidean,activation.dmelu,0.5238,1.3486968,0.5894886,1.162957,54,0.0001,1e-05,100,2,,
55,model_type.euclidean,activation.dmelu,0.5196,1.3631916,0.5928897,1.1559565,55,0.0001,1e-05,100,2,,
56,model_type.euclidean,activation.dmelu,0.5302,1.3326744,0.5962308,1.1490701,56,0.0001,1e-05,100,2,,
57,model_type.euclidean,activation.dmelu,0.5304,1.3501458,0.5963708,1.1476578,57,0.0001,1e-05,100,2,,
58,model_type.euclidean,activation.dmelu,0.52459997,1.3523536,0.599952,1.1423064,58,0.0001,1e-05,100,2,,
59,model_type.euclidean,activation.dmelu,0.5204,1.3750498,0.6013724,1.1365649,59,0.0001,1e-05,100,2,,
60,model_type.euclidean,activation.dmelu,0.5257,1.3511536,0.6023928,1.1310287,60,0.0001,1e-05,100,2,,
61,model_type.euclidean,activation.dmelu,0.5345,1.3308685,0.6039933,1.1280503,61,0.0001,1e-05,100,2,,
62,model_type.euclidean,activation.dmelu,0.5299,1.3484821,0.6034731,1.1244518,62,0.0001,1e-05,100,2,,
63,model_type.euclidean,activation.dmelu,0.5297,1.3477354,0.6042734,1.1246169,63,0.0001,1e-05,100,2,,
64,model_type.euclidean,activation.dmelu,0.5219,1.3689227,0.6065541,1.1169176,64,0.0001,1e-05,100,2,,
65,model_type.euclidean,activation.dmelu,0.5269,1.3384715,0.61043537,1.1119527,65,0.0001,1e-05,100,2,,
66,model_type.euclidean,activation.dmelu,0.5333,1.3348936,0.61391646,1.1060346,66,0.0001,1e-05,100,2,,
67,model_type.euclidean,activation.dmelu,0.5222,1.3592355,0.6115157,1.1032515,67,0.0001,1e-05,100,2,,
