,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.3452,1.8389467,0.3058779,1.9477606,0,0.0001,1e-05,40,2,,,23.97174334526062
1,model_type.hyperbolic,activation.dmelu,0.38439998,1.7577367,0.3694182,1.7928475,1,0.0001,1e-05,40,2,,,46.22449469566345
2,model_type.hyperbolic,activation.dmelu,0.39479998,1.7179601,0.38890445,1.7436855,2,0.0001,1e-05,40,2,,,67.9502580165863
3,model_type.hyperbolic,activation.dmelu,0.3931,1.7134131,0.4040493,1.7055361,3,0.0001,1e-05,40,2,,,88.7073323726654
4,model_type.hyperbolic,activation.dmelu,0.4091,1.6716187,0.41547295,1.6727818,4,0.0001,1e-05,40,2,,,109.89093565940857
5,model_type.hyperbolic,activation.dmelu,0.4269,1.6344577,0.42699665,1.6469002,5,0.0001,1e-05,40,2,,,131.20912408828735
6,model_type.hyperbolic,activation.dmelu,0.42729998,1.6189445,0.43013763,1.6246535,6,0.0001,1e-05,40,2,,,154.19930410385132
7,model_type.hyperbolic,activation.dmelu,0.42819998,1.6226898,0.43766004,1.6053989,7,0.0001,1e-05,40,2,,,177.5718114376068
8,model_type.hyperbolic,activation.dmelu,0.43969998,1.5962899,0.44580266,1.58602,8,0.0001,1e-05,40,2,,,198.82416415214539
9,model_type.hyperbolic,activation.dmelu,0.4367,1.5901663,0.44894367,1.5719777,9,0.0001,1e-05,40,2,,,219.3186993598938
10,model_type.hyperbolic,activation.dmelu,0.4274,1.6099726,0.45304498,1.5565953,10,0.0001,1e-05,40,2,,,240.5304000377655
11,model_type.hyperbolic,activation.dmelu,0.4495,1.5508806,0.45946702,1.5448264,11,0.0001,1e-05,40,2,,,262.7907395362854
12,model_type.hyperbolic,activation.dmelu,0.45639998,1.5466133,0.4634683,1.5305965,12,0.0001,1e-05,40,2,,,288.6576602458954
13,model_type.hyperbolic,activation.dmelu,0.4513,1.5522821,0.46678936,1.5214078,13,0.0001,1e-05,40,2,,,308.9222569465637
14,model_type.hyperbolic,activation.dmelu,0.4587,1.5377396,0.47213107,1.507986,14,0.0001,1e-05,40,2,,,329.3798770904541
15,model_type.hyperbolic,activation.dmelu,0.4569,1.5353798,0.47337148,1.4982957,15,0.0001,1e-05,40,2,,,350.30853843688965
16,model_type.hyperbolic,activation.dmelu,0.4682,1.5157536,0.47807297,1.488285,16,0.0001,1e-05,40,2,,,372.0798854827881
17,model_type.hyperbolic,activation.dmelu,0.4693,1.5160309,0.4831546,1.4779911,17,0.0001,1e-05,40,2,,,392.9173934459686
18,model_type.hyperbolic,activation.dmelu,0.4615,1.5185772,0.4816341,1.4721435,18,0.0001,1e-05,40,2,,,414.6960217952728
19,model_type.hyperbolic,activation.dmelu,0.47849998,1.494937,0.4872159,1.4632474,19,0.0001,1e-05,40,2,,,436.5495276451111
20,model_type.hyperbolic,activation.dmelu,0.4777,1.4939911,0.49083707,1.4550099,20,0.0001,1e-05,40,2,,,458.76291966438293
21,model_type.hyperbolic,activation.dmelu,0.46629998,1.5161487,0.4915373,1.4472628,21,0.0001,1e-05,40,2,,,479.9698214530945
22,model_type.hyperbolic,activation.dmelu,0.4671,1.5098858,0.49383804,1.442605,22,0.0001,1e-05,40,2,,,502.2522909641266
23,model_type.hyperbolic,activation.dmelu,0.4736,1.4922379,0.496899,1.4334743,23,0.0001,1e-05,40,2,,,524.0326046943665
24,model_type.hyperbolic,activation.dmelu,0.4739,1.4906063,0.4996599,1.4271045,24,0.0001,1e-05,40,2,,,545.7737331390381
