,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.3216,1.9055051,0.28048974,2.1011264,0,0.0001,1e-05,40,5,,,35.997828245162964
1,model_type.hyperbolic,activation.identity,0.3728,1.7785323,0.353093,1.8371336,1,0.0001,1e-05,40,5,,,66.73247623443604
2,model_type.hyperbolic,activation.identity,0.3856,1.7504296,0.3696783,1.7868758,2,0.0001,1e-05,40,5,,,96.40542316436768
3,model_type.hyperbolic,activation.identity,0.3922,1.723191,0.38738397,1.7419503,3,0.0001,1e-05,40,5,,,126.60751271247864
4,model_type.hyperbolic,activation.identity,0.3929,1.7130705,0.39100513,1.7238879,4,0.0001,1e-05,40,5,,,158.25669980049133
5,model_type.hyperbolic,activation.identity,0.401,1.6897027,0.3996479,1.7034962,5,0.0001,1e-05,40,5,,,189.33827018737793
6,model_type.hyperbolic,activation.identity,0.39949998,1.7016119,0.40955105,1.6844643,6,0.0001,1e-05,40,5,,,220.4717676639557
7,model_type.hyperbolic,activation.identity,0.3895,1.7037433,0.4106314,1.6742986,7,0.0001,1e-05,40,5,,,250.96738648414612
8,model_type.hyperbolic,activation.identity,0.4023,1.6706178,0.41427258,1.660196,8,0.0001,1e-05,40,5,,,281.12851190567017
9,model_type.hyperbolic,activation.identity,0.41799998,1.6596162,0.41823384,1.64629,9,0.0001,1e-05,40,5,,,310.93880009651184
10,model_type.hyperbolic,activation.identity,0.4073,1.662221,0.4215349,1.6348041,10,0.0001,1e-05,40,5,,,341.15101647377014
11,model_type.hyperbolic,activation.identity,0.42369998,1.6222035,0.42649648,1.6230867,11,0.0001,1e-05,40,5,,,372.54840564727783
12,model_type.hyperbolic,activation.identity,0.4222,1.6360251,0.43147808,1.6110427,12,0.0001,1e-05,40,5,,,408.1689944267273
13,model_type.hyperbolic,activation.identity,0.4147,1.637046,0.4334387,1.6010405,13,0.0001,1e-05,40,5,,,438.6649422645569
14,model_type.hyperbolic,activation.identity,0.4235,1.6185678,0.43641967,1.5896268,14,0.0001,1e-05,40,5,,,471.29060792922974
15,model_type.hyperbolic,activation.identity,0.424,1.6221349,0.4411612,1.5787477,15,0.0001,1e-05,40,5,,,500.3787987232208
16,model_type.hyperbolic,activation.identity,0.43019998,1.6050721,0.44332185,1.5710715,16,0.0001,1e-05,40,5,,,531.6009418964386
17,model_type.hyperbolic,activation.identity,0.4331,1.5932437,0.44756323,1.558553,17,0.0001,1e-05,40,5,,,562.5730829238892
18,model_type.hyperbolic,activation.identity,0.4324,1.5919546,0.44980395,1.552144,18,0.0001,1e-05,40,5,,,594.1337959766388
19,model_type.hyperbolic,activation.identity,0.4335,1.6094002,0.44948384,1.545393,19,0.0001,1e-05,40,5,,,624.1685671806335
20,model_type.hyperbolic,activation.identity,0.42479998,1.6270853,0.45388526,1.5372581,20,0.0001,1e-05,40,5,,,654.1727657318115
21,model_type.hyperbolic,activation.identity,0.44219998,1.5683566,0.45524567,1.52915,21,0.0001,1e-05,40,5,,,685.0952732563019
22,model_type.hyperbolic,activation.identity,0.4418,1.5755931,0.46086746,1.5212343,22,0.0001,1e-05,40,5,,,715.4363558292389
23,model_type.hyperbolic,activation.identity,0.4299,1.6015525,0.46232796,1.5111713,23,0.0001,1e-05,40,5,,,745.3646152019501
24,model_type.hyperbolic,activation.identity,0.4583,1.5489988,0.46504882,1.5058519,24,0.0001,1e-05,40,5,,,776.7149081230164
25,model_type.hyperbolic,activation.identity,0.4443,1.5601636,0.4685099,1.499349,25,0.0001,1e-05,40,5,,,804.3372781276703
26,model_type.hyperbolic,activation.identity,0.45009997,1.5512953,0.4710107,1.4918786,26,0.0001,1e-05,40,5,,,836.027804851532
27,model_type.hyperbolic,activation.identity,0.4536,1.5356755,0.47049055,1.4874829,27,0.0001,1e-05,40,5,,,867.5248093605042
28,model_type.hyperbolic,activation.identity,0.4561,1.5312849,0.47673255,1.4745038,28,0.0001,1e-05,40,5,,,896.2742075920105
29,model_type.hyperbolic,activation.identity,0.46019998,1.5218706,0.474932,1.4735653,29,0.0001,1e-05,40,5,,,925.5399827957153
30,model_type.hyperbolic,activation.identity,0.45189998,1.5453997,0.47893324,1.465963,30,0.0001,1e-05,40,5,,,955.6216490268707
31,model_type.hyperbolic,activation.identity,0.46069998,1.5350374,0.48111397,1.4584011,31,0.0001,1e-05,40,5,,,987.9845798015594
32,model_type.hyperbolic,activation.identity,0.4558,1.5333005,0.48427495,1.45042,32,0.0001,1e-05,40,5,,,1017.9099838733673
33,model_type.hyperbolic,activation.identity,0.45729998,1.5365845,0.48421496,1.4474051,33,0.0001,1e-05,40,5,,,1048.761295557022
34,model_type.hyperbolic,activation.identity,0.456,1.5334977,0.48771608,1.4421732,34,0.0001,1e-05,40,5,,,1081.4147255420685
35,model_type.hyperbolic,activation.identity,0.46289998,1.5400883,0.48727593,1.4343376,35,0.0001,1e-05,40,5,,,1112.2595417499542
36,model_type.hyperbolic,activation.identity,0.4603,1.5104297,0.4927977,1.4291179,36,0.0001,1e-05,40,5,,,1141.469377040863
37,model_type.hyperbolic,activation.identity,0.4394,1.565539,0.4921775,1.4231113,37,0.0001,1e-05,40,5,,,1170.3645870685577
38,model_type.hyperbolic,activation.identity,0.45139998,1.5464673,0.4950784,1.4161694,38,0.0001,1e-05,40,5,,,1201.279701948166
39,model_type.hyperbolic,activation.identity,0.46379998,1.5183775,0.49389803,1.4129444,39,0.0001,1e-05,40,5,,,1231.7276334762573
40,model_type.hyperbolic,activation.identity,0.4705,1.4912382,0.49643886,1.4091321,40,0.0001,1e-05,40,5,,,1261.4227435588837
