,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.3108,1.9586356,0.25640205,2.0943398,0,0.0001,1e-05,40,2,,,32.525131940841675
1,model_type.poincare,activation.dmelu,0.33859998,1.8852096,0.32602432,1.9155195,1,0.0001,1e-05,40,2,,,55.40590023994446
2,model_type.poincare,activation.dmelu,0.3539,1.8446203,0.346931,1.8627094,2,0.0001,1e-05,40,2,,,78.87885046005249
3,model_type.poincare,activation.dmelu,0.36089998,1.8208923,0.35931498,1.8275754,3,0.0001,1e-05,40,2,,,101.4881694316864
4,model_type.poincare,activation.dmelu,0.3676,1.8027903,0.36785772,1.8030972,4,0.0001,1e-05,40,2,,,123.41497254371643
5,model_type.poincare,activation.dmelu,0.3748,1.7789283,0.37714067,1.7842647,5,0.0001,1e-05,40,2,,,145.78621554374695
6,model_type.poincare,activation.dmelu,0.3813,1.7662721,0.38222232,1.7702091,6,0.0001,1e-05,40,2,,,168.37942051887512
7,model_type.poincare,activation.dmelu,0.38549998,1.7540326,0.3853033,1.7571213,7,0.0001,1e-05,40,2,,,190.80232310295105
8,model_type.poincare,activation.dmelu,0.38549998,1.7482935,0.3912652,1.7455467,8,0.0001,1e-05,40,2,,,213.79073524475098
9,model_type.poincare,activation.dmelu,0.3942,1.7347037,0.39432618,1.7347908,9,0.0001,1e-05,40,2,,,235.80751395225525
10,model_type.poincare,activation.dmelu,0.39819998,1.7254641,0.3987476,1.7240024,10,0.0001,1e-05,40,2,,,257.31276392936707
11,model_type.poincare,activation.dmelu,0.39949998,1.7172164,0.403089,1.7134969,11,0.0001,1e-05,40,2,,,279.47976303100586
12,model_type.poincare,activation.dmelu,0.40199998,1.7079959,0.4065901,1.704009,12,0.0001,1e-05,40,2,,,301.7610125541687
13,model_type.poincare,activation.dmelu,0.40719998,1.6987875,0.41011125,1.6942806,13,0.0001,1e-05,40,2,,,324.03397154808044
14,model_type.poincare,activation.dmelu,0.4089,1.6913536,0.4131322,1.6843487,14,0.0001,1e-05,40,2,,,345.7304458618164
15,model_type.poincare,activation.dmelu,0.4116,1.6867226,0.4165933,1.6749035,15,0.0001,1e-05,40,2,,,368.2470064163208
16,model_type.poincare,activation.dmelu,0.4147,1.6788654,0.41999438,1.666548,16,0.0001,1e-05,40,2,,,391.2262043952942
17,model_type.poincare,activation.dmelu,0.4165,1.6653734,0.42361555,1.6582946,17,0.0001,1e-05,40,2,,,413.83003997802734
18,model_type.poincare,activation.dmelu,0.4217,1.6585793,0.42743677,1.6499124,18,0.0001,1e-05,40,2,,,435.24834156036377
19,model_type.poincare,activation.dmelu,0.41619998,1.6558621,0.428117,1.6420827,19,0.0001,1e-05,40,2,,,457.7946262359619
20,model_type.poincare,activation.dmelu,0.4172,1.654786,0.4306378,1.6350387,20,0.0001,1e-05,40,2,,,480.91726422309875
21,model_type.poincare,activation.dmelu,0.4272,1.6397443,0.4337388,1.6280566,21,0.0001,1e-05,40,2,,,504.39162492752075
22,model_type.poincare,activation.dmelu,0.42209998,1.6426806,0.4349792,1.620318,22,0.0001,1e-05,40,2,,,527.8412003517151
23,model_type.poincare,activation.dmelu,0.4317,1.6296806,0.43745998,1.6145111,23,0.0001,1e-05,40,2,,,551.3701257705688
24,model_type.poincare,activation.dmelu,0.43069997,1.6234528,0.4399808,1.6078527,24,0.0001,1e-05,40,2,,,574.4551603794098
25,model_type.poincare,activation.dmelu,0.4319,1.6221997,0.44132122,1.6019729,25,0.0001,1e-05,40,2,,,597.4194843769073
26,model_type.poincare,activation.dmelu,0.4339,1.6171958,0.44226152,1.5970173,26,0.0001,1e-05,40,2,,,620.4985001087189
27,model_type.poincare,activation.dmelu,0.4326,1.6239486,0.4446623,1.5907631,27,0.0001,1e-05,40,2,,,643.4019043445587
28,model_type.poincare,activation.dmelu,0.43429998,1.608632,0.4484635,1.585477,28,0.0001,1e-05,40,2,,,666.1124501228333
29,model_type.poincare,activation.dmelu,0.4346,1.6063483,0.4488036,1.5816128,29,0.0001,1e-05,40,2,,,689.0316708087921
30,model_type.poincare,activation.dmelu,0.4346,1.603436,0.44918373,1.5761235,30,0.0001,1e-05,40,2,,,711.1665623188019
31,model_type.poincare,activation.dmelu,0.4317,1.6189048,0.45068422,1.5710485,31,0.0001,1e-05,40,2,,,734.2475926876068
32,model_type.poincare,activation.dmelu,0.4402,1.5928745,0.45460546,1.5665659,32,0.0001,1e-05,40,2,,,756.6465635299683
33,model_type.poincare,activation.dmelu,0.44149998,1.5933406,0.45456547,1.5624815,33,0.0001,1e-05,40,2,,,779.1619393825531
34,model_type.poincare,activation.dmelu,0.4364,1.5955032,0.45614597,1.5581311,34,0.0001,1e-05,40,2,,,801.5337991714478
