Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
eucl,relu,cifar10,0.4916999936103821,1.4828304052352905,0.6089354219948849,1.0996522926308614,0,0.01,1e-05,sgd,40,4,8.313157081604004
eucl,relu,cifar10,0.48829999566078186,1.5016205310821533,0.6092950767263428,1.0941279454304433,1,0.01,1e-05,sgd,40,4,16.505550384521484
eucl,relu,cifar10,0.48489999771118164,1.5237678289413452,0.613650895140665,1.0839891028221307,2,0.01,1e-05,sgd,40,4,24.601368188858032
eucl,relu,cifar10,0.49069997668266296,1.5173190832138062,0.6155290920716112,1.0812037706070239,3,0.01,1e-05,sgd,40,4,32.920279026031494
eucl,relu,cifar10,0.4705999791622162,1.608726978302002,0.6176870204603581,1.0736056340624913,4,0.01,1e-05,sgd,40,4,41.16294550895691
eucl,relu,cifar10,0.4851999878883362,1.5483962297439575,0.6183064258312021,1.0680700378954564,5,0.01,1e-05,sgd,40,4,49.43730401992798
eucl,relu,cifar10,0.46299999952316284,1.6608388423919678,0.622582320971867,1.059821415359102,6,0.01,1e-05,sgd,40,4,57.61954665184021
eucl,relu,cifar10,0.4781999886035919,1.5661735534667969,0.6217830882352942,1.0557813129156752,7,0.01,1e-05,sgd,40,4,65.78036165237427
eucl,relu,cifar10,0.48749998211860657,1.5493412017822266,0.6243406329923273,1.0502452518019225,8,0.01,1e-05,sgd,40,4,74.08835887908936
eucl,relu,cifar10,0.4834999740123749,1.5731943845748901,0.6272977941176471,1.0405089867389417,9,0.01,1e-05,sgd,40,4,82.28879761695862
eucl,relu,cifar10,0.4772000014781952,1.58174467086792,0.6287963554987213,1.039240162390882,10,0.01,1e-05,sgd,40,4,90.56204175949097
eucl,relu,cifar10,0.48559999465942383,1.538191795349121,0.6313139386189258,1.0343492868001505,11,0.01,1e-05,sgd,40,4,98.73133206367493
eucl,relu,cifar10,0.48069998621940613,1.586830973625183,0.6318134590792839,1.028264636273884,12,0.01,1e-05,sgd,40,4,106.98124289512634
eucl,relu,cifar10,0.49309998750686646,1.5387204885482788,0.6322929987212276,1.024194802317168,13,0.01,1e-05,sgd,40,4,115.20532178878784
eucl,relu,cifar10,0.47829997539520264,1.5631548166275024,0.6356897378516624,1.017815036770633,14,0.01,1e-05,sgd,40,4,123.41109490394592
