Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,cifar10,0.47939997911453247,2.264887809753418,0.8348785166240409,0.48943405846119536,0,0.01,1e-05,sgd,100,1,10.971184730529785
hyp,relu,cifar10,0.48589998483657837,2.301844596862793,0.8365768861892583,0.4823065037503267,1,0.01,1e-05,sgd,100,1,21.983187675476074
hyp,relu,cifar10,0.46369999647140503,2.4650721549987793,0.8374560421994884,0.4779856194125112,2,0.01,1e-05,sgd,100,1,33.01451110839844
hyp,relu,cifar10,0.4652999937534332,2.49113130569458,0.8405530690537084,0.4756844173497556,3,0.01,1e-05,sgd,100,1,43.954705476760864
hyp,relu,cifar10,0.4537999927997589,2.610481023788452,0.8416120524296675,0.4680693512377532,4,0.01,1e-05,sgd,100,1,54.862950563430786
hyp,relu,cifar10,0.4837999939918518,2.3699824810028076,0.8448489450127877,0.459255175593564,5,0.01,1e-05,sgd,100,1,65.81326985359192
hyp,relu,cifar10,0.4575999975204468,2.560272455215454,0.8485054347826086,0.4527050411076192,6,0.01,1e-05,sgd,100,1,76.91876482963562
hyp,relu,cifar10,0.4722999930381775,2.4057676792144775,0.8508831521739131,0.4472755668756297,7,0.01,1e-05,sgd,100,1,87.84216165542603
hyp,relu,cifar10,0.4813999831676483,2.3742470741271973,0.8515425191815856,0.44739198579888817,8,0.01,1e-05,sgd,100,1,98.89303255081177
hyp,relu,cifar10,0.46959999203681946,2.474658727645874,0.8536005434782609,0.4364412615023306,9,0.01,1e-05,sgd,100,1,109.81710815429688
hyp,relu,cifar10,0.4787999987602234,2.4179465770721436,0.8568374360613811,0.4333635923045371,10,0.01,1e-05,sgd,100,1,120.68278193473816
hyp,relu,cifar10,0.4763000011444092,2.4669418334960938,0.8559582800511509,0.43006031844012266,11,0.01,1e-05,sgd,100,1,131.8036913871765
hyp,relu,cifar10,0.47419998049736023,2.4960618019104004,0.8604539641943734,0.41860157809675197,12,0.01,1e-05,sgd,100,1,142.72254991531372
hyp,relu,cifar10,0.4505999982357025,2.8020074367523193,0.8598945012787724,0.41816381648983186,13,0.01,1e-05,sgd,100,1,153.6908028125763
hyp,relu,cifar10,0.4820999801158905,2.490095615386963,0.8603740409207161,0.4166108909279794,14,0.01,1e-05,sgd,100,1,164.61733198165894
