Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
lorentz,relu,cifar10,0.4869000017642975,2.163412094116211,0.8698249680306905,0.3992729722462652,0,0.01,1e-05,sgd,200,3,12.77081561088562
lorentz,relu,cifar10,0.48979997634887695,2.1214139461517334,0.8712236253196931,0.39036446585870155,1,0.01,1e-05,sgd,200,3,24.951794862747192
lorentz,relu,cifar10,0.4763999879360199,2.3114778995513916,0.87661844629156,0.3811159467948672,2,0.01,1e-05,sgd,200,3,37.40669655799866
lorentz,relu,cifar10,0.484499990940094,2.223759412765503,0.879655530690537,0.3709958637480998,3,0.01,1e-05,sgd,200,3,49.83177638053894
lorentz,relu,cifar10,0.5092999935150146,2.0890774726867676,0.8802949168797954,0.36958479211496575,4,0.01,1e-05,sgd,200,3,61.90625715255737
lorentz,relu,cifar10,0.49480000138282776,2.2657535076141357,0.8840912723785166,0.35678780859198106,5,0.01,1e-05,sgd,200,3,74.48310971260071
lorentz,relu,cifar10,0.5083999633789062,2.063365936279297,0.884610773657289,0.354505859820358,6,0.01,1e-05,sgd,200,3,86.8299024105072
lorentz,relu,cifar10,0.5162999629974365,2.0478484630584717,0.8904251918158568,0.3412394621469023,7,0.01,1e-05,sgd,200,3,99.15151023864746
lorentz,relu,cifar10,0.5171999931335449,2.12781023979187,0.8959199168797954,0.3253709555644056,8,0.01,1e-05,sgd,200,3,111.13105630874634
lorentz,relu,cifar10,0.48539999127388,2.3470215797424316,0.9017343350383632,0.3094338623859236,9,0.01,1e-05,sgd,200,3,123.25456309318542
lorentz,relu,cifar10,0.4772000014781952,2.3853511810302734,0.8972985933503836,0.32062488818145773,10,0.01,1e-05,sgd,200,3,135.57462739944458
lorentz,relu,cifar10,0.4901999831199646,2.356949806213379,0.8995364450127877,0.3125219970293667,11,0.01,1e-05,sgd,200,3,147.61156272888184
lorentz,relu,cifar10,0.4796999990940094,2.3760883808135986,0.906190057544757,0.29618955737032243,12,0.01,1e-05,sgd,200,3,160.44552445411682
lorentz,relu,cifar10,0.5151000022888184,2.2075068950653076,0.9127237851662404,0.2769145489767994,13,0.01,1e-05,sgd,200,3,172.5557541847229
lorentz,relu,cifar10,0.4870999753475189,2.331264019012451,0.9076486572890026,0.28989327977151824,14,0.01,1e-05,sgd,200,3,184.6713891029358
lorentz,relu,cifar10,0.510699987411499,2.3108909130096436,0.9122842071611253,0.275296061778503,15,0.01,1e-05,sgd,200,3,196.69830989837646
lorentz,relu,cifar10,0.4675999879837036,2.649649143218994,0.912763746803069,0.27100860158843765,16,0.01,1e-05,sgd,200,3,209.00876641273499
lorentz,relu,cifar10,0.5012999773025513,2.329946279525757,0.9117647058823529,0.27775169882323125,17,0.01,1e-05,sgd,200,3,221.43687891960144
lorentz,relu,cifar10,0.4512999951839447,2.787179946899414,0.920636189258312,0.2536029196999338,18,0.01,1e-05,sgd,200,3,233.71557927131653
lorentz,relu,cifar10,0.4528999924659729,3.067993640899658,0.9220148657289002,0.2505315137488763,19,0.01,1e-05,sgd,200,3,246.22731018066406
lorentz,relu,cifar10,0.4973999857902527,2.339586019515991,0.9213954603580563,0.25152926787238594,20,0.01,1e-05,sgd,200,3,258.2120645046234
lorentz,relu,cifar10,0.49699997901916504,2.422912120819092,0.9245124680306905,0.24025500955445991,21,0.01,1e-05,sgd,200,3,270.16800236701965
