Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
lorentz,relu,cifar10,0.4927999973297119,2.250624895095825,0.8765784846547314,0.37924622177429823,0,0.01,1e-05,sgd,200,4,13.889297246932983
lorentz,relu,cifar10,0.5074999928474426,2.1385293006896973,0.8861492966751918,0.35689965679365043,1,0.01,1e-05,sgd,200,4,27.52332305908203
lorentz,relu,cifar10,0.4148999750614166,3.1697802543640137,0.8818134590792839,0.3621456668142925,2,0.01,1e-05,sgd,200,4,41.03756356239319
lorentz,relu,cifar10,0.46309998631477356,2.497807025909424,0.8793158567774936,0.3702119965763653,3,0.01,1e-05,sgd,200,4,54.991965770721436
lorentz,relu,cifar10,0.49079999327659607,2.287262439727783,0.8867886828644501,0.34866339311270456,4,0.01,1e-05,sgd,200,4,68.17576456069946
lorentz,relu,cifar10,0.4292999804019928,2.826016902923584,0.8921035805626598,0.3340712488459809,5,0.01,1e-05,sgd,200,4,82.00787806510925
lorentz,relu,cifar10,0.5065999627113342,2.1975326538085938,0.891923753196931,0.33572082027145056,6,0.01,1e-05,sgd,200,4,95.29238629341125
lorentz,relu,cifar10,0.45829999446868896,2.538166046142578,0.8951606457800512,0.3276824029853277,7,0.01,1e-05,sgd,200,4,108.8542971611023
lorentz,relu,cifar10,0.4772999882698059,2.453470230102539,0.9012747762148338,0.31312443696133924,8,0.01,1e-05,sgd,200,4,121.9945456981659
lorentz,relu,cifar10,0.5018999576568604,2.259767532348633,0.9003956202046036,0.31043267846488587,9,0.01,1e-05,sgd,200,4,135.10054755210876
lorentz,relu,cifar10,0.48179998993873596,2.4769670963287354,0.9062699808184144,0.2950267385014945,10,0.01,1e-05,sgd,200,4,148.36471915245056
lorentz,relu,cifar10,0.4323999881744385,2.8682310581207275,0.8990169437340153,0.31203675528278435,11,0.01,1e-05,sgd,200,4,162.08561944961548
lorentz,relu,cifar10,0.45419999957084656,2.601633071899414,0.9039721867007673,0.30221399661067805,12,0.01,1e-05,sgd,200,4,176.0625913143158
lorentz,relu,cifar10,0.4852999746799469,2.3969345092773438,0.9054307864450127,0.29498141503814235,13,0.01,1e-05,sgd,200,4,189.29261541366577
lorentz,relu,cifar10,0.4974999725818634,2.412771224975586,0.9150215792838875,0.2690664450769001,14,0.01,1e-05,sgd,200,4,202.807519197464
lorentz,relu,cifar10,0.4936999976634979,2.4517457485198975,0.9110653772378516,0.27969224648812163,15,0.01,1e-05,sgd,200,4,216.2288806438446
