Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,cifar10,0.4814999997615814,2.058858633041382,0.8086437020460358,0.5595869929970377,0,0.01,1e-05,sgd,100,3,23.63796329498291
poincare,relu,cifar10,0.49879997968673706,1.9983023405075073,0.8146179667519181,0.5480108901934551,1,0.01,1e-05,sgd,100,3,47.33273220062256
poincare,relu,cifar10,0.4887000024318695,2.1332013607025146,0.8174352621483376,0.543712731974814,2,0.01,1e-05,sgd,100,3,70.88884115219116
poincare,relu,cifar10,0.4834999740123749,2.1602656841278076,0.8198129795396419,0.5361567961476038,3,0.01,1e-05,sgd,100,3,94.57691264152527
poincare,relu,cifar10,0.46719998121261597,2.2241921424865723,0.8251678388746803,0.5235100436736556,4,0.01,1e-05,sgd,100,3,118.44358491897583
poincare,relu,cifar10,0.4901999831199646,2.154197931289673,0.8224704283887468,0.5245453460556467,5,0.01,1e-05,sgd,100,3,142.4291000366211
poincare,relu,cifar10,0.4470999836921692,2.386307716369629,0.8277653452685422,0.5137464957278403,6,0.01,1e-05,sgd,100,3,166.3862111568451
poincare,relu,cifar10,0.4984999895095825,2.0835087299346924,0.8296035805626598,0.5096435482468447,7,0.01,1e-05,sgd,100,3,190.37623834609985
poincare,relu,cifar10,0.468099981546402,2.2345035076141357,0.8326806265984654,0.49897078445652865,8,0.01,1e-05,sgd,100,3,213.9330711364746
poincare,relu,cifar10,0.47769999504089355,2.238417148590088,0.8333599744245525,0.49816230006153933,9,0.01,1e-05,sgd,100,3,238.1942138671875
poincare,relu,cifar10,0.4756999909877777,2.2013232707977295,0.8361173273657289,0.48923707437103664,10,0.01,1e-05,sgd,100,3,261.8885304927826
poincare,relu,cifar10,0.4916999936103821,2.20150089263916,0.8364769820971867,0.48664044788883776,11,0.01,1e-05,sgd,100,3,285.61137866973877
poincare,relu,cifar10,0.4772999882698059,2.2197721004486084,0.8431106138107417,0.4685124569308117,12,0.01,1e-05,sgd,100,3,309.0439622402191
poincare,relu,cifar10,0.47269999980926514,2.44679594039917,0.8403932225063938,0.4750991424216944,13,0.01,1e-05,sgd,100,3,332.73304891586304
poincare,relu,cifar10,0.48249998688697815,2.3247756958007812,0.8437899616368286,0.4694242496662738,14,0.01,1e-05,sgd,100,3,356.5737717151642
poincare,relu,cifar10,0.46789997816085815,2.4447944164276123,0.8456881393861893,0.45892957826633285,15,0.01,1e-05,sgd,100,3,380.2331368923187
