,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.32999998,1.9104947,0.26324424,2.0477052,0,0.0001,1e-05,20,2,,,13.3605215549469
1,model_type.euclidean,activation.dmelu,0.3495,1.8401037,0.33934858,1.8784199,1,0.0001,1e-05,20,2,,,22.838472366333008
2,model_type.euclidean,activation.dmelu,0.37039998,1.8001529,0.36103553,1.822563,2,0.0001,1e-05,20,2,,,31.733933687210083
3,model_type.euclidean,activation.dmelu,0.3773,1.7708746,0.3705786,1.7907243,3,0.0001,1e-05,20,2,,,41.29152059555054
4,model_type.euclidean,activation.dmelu,0.3825,1.7555418,0.37830105,1.767039,4,0.0001,1e-05,20,2,,,50.6350736618042
5,model_type.euclidean,activation.dmelu,0.3798,1.7505308,0.3840029,1.7479571,5,0.0001,1e-05,20,2,,,59.73880696296692
6,model_type.euclidean,activation.dmelu,0.3879,1.730834,0.38986474,1.730841,6,0.0001,1e-05,20,2,,,69.03063893318176
7,model_type.euclidean,activation.dmelu,0.39249998,1.7101568,0.39604673,1.7166053,7,0.0001,1e-05,20,2,,,78.73148703575134
8,model_type.euclidean,activation.dmelu,0.4005,1.7026373,0.4009683,1.703209,8,0.0001,1e-05,20,2,,,88.53329682350159
9,model_type.euclidean,activation.dmelu,0.40579998,1.6855539,0.40578985,1.6906798,9,0.0001,1e-05,20,2,,,98.01583576202393
10,model_type.euclidean,activation.dmelu,0.40919998,1.6758323,0.40953106,1.6799543,10,0.0001,1e-05,20,2,,,107.62908291816711
11,model_type.euclidean,activation.dmelu,0.41529998,1.6665082,0.41301218,1.6692702,11,0.0001,1e-05,20,2,,,116.87102437019348
12,model_type.euclidean,activation.dmelu,0.41689998,1.6590071,0.4165333,1.6608727,12,0.0001,1e-05,20,2,,,126.38147616386414
13,model_type.euclidean,activation.dmelu,0.4159,1.6634545,0.42077464,1.65103,13,0.0001,1e-05,20,2,,,135.46056699752808
14,model_type.euclidean,activation.dmelu,0.4154,1.6470014,0.42233515,1.6432393,14,0.0001,1e-05,20,2,,,144.25306010246277
15,model_type.euclidean,activation.dmelu,0.4251,1.6322563,0.42803696,1.6342678,15,0.0001,1e-05,20,2,,,153.52181577682495
16,model_type.euclidean,activation.dmelu,0.4166,1.6422588,0.42801696,1.6275858,16,0.0001,1e-05,20,2,,,162.73515963554382
17,model_type.euclidean,activation.dmelu,0.42139998,1.6280318,0.431258,1.6191244,17,0.0001,1e-05,20,2,,,171.85921239852905
18,model_type.euclidean,activation.dmelu,0.43129998,1.6221601,0.43319863,1.6131761,18,0.0001,1e-05,20,2,,,181.23935198783875
19,model_type.euclidean,activation.dmelu,0.43199998,1.6107783,0.43643966,1.6055747,19,0.0001,1e-05,20,2,,,190.58261036872864
20,model_type.euclidean,activation.dmelu,0.4243,1.6122148,0.43743998,1.6009823,20,0.0001,1e-05,20,2,,,199.93004202842712
21,model_type.euclidean,activation.dmelu,0.428,1.60984,0.44064102,1.5943725,21,0.0001,1e-05,20,2,,,208.96202182769775
22,model_type.euclidean,activation.dmelu,0.43469998,1.6051074,0.44144127,1.5884752,22,0.0001,1e-05,20,2,,,218.35629081726074
23,model_type.euclidean,activation.dmelu,0.43219998,1.5991834,0.4440021,1.5818712,23,0.0001,1e-05,20,2,,,227.58277440071106
24,model_type.euclidean,activation.dmelu,0.43629998,1.6043327,0.44602272,1.576404,24,0.0001,1e-05,20,2,,,236.44636058807373
