,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.339,1.8663348,0.27918935,1.9821962,0,0.0001,1e-05,20,2,,,24.897480249404907
1,model_type.hyperbolic,activation.dmelu,0.362,1.7989154,0.3522127,1.8244929,1,0.0001,1e-05,20,2,,,44.494630098342896
2,model_type.hyperbolic,activation.dmelu,0.38189998,1.7513908,0.37606034,1.7703718,2,0.0001,1e-05,20,2,,,63.39672374725342
3,model_type.hyperbolic,activation.dmelu,0.3917,1.7360016,0.3881042,1.7368954,3,0.0001,1e-05,20,2,,,84.64748620986938
4,model_type.hyperbolic,activation.dmelu,0.40089998,1.7018847,0.3988276,1.7087909,4,0.0001,1e-05,20,2,,,105.89784812927246
5,model_type.hyperbolic,activation.dmelu,0.4021,1.6859092,0.40602994,1.6883491,5,0.0001,1e-05,20,2,,,127.94640183448792
6,model_type.hyperbolic,activation.dmelu,0.4096,1.6789322,0.41451263,1.6728147,6,0.0001,1e-05,20,2,,,149.37047696113586
7,model_type.hyperbolic,activation.dmelu,0.41459998,1.6575707,0.418694,1.6563394,7,0.0001,1e-05,20,2,,,170.07444739341736
8,model_type.hyperbolic,activation.dmelu,0.4174,1.651873,0.4215349,1.6451521,8,0.0001,1e-05,20,2,,,190.36431455612183
9,model_type.hyperbolic,activation.dmelu,0.41889998,1.6527877,0.4283771,1.6306149,9,0.0001,1e-05,20,2,,,211.75206518173218
10,model_type.hyperbolic,activation.dmelu,0.42819998,1.6248667,0.42859715,1.621771,10,0.0001,1e-05,20,2,,,232.4345099925995
11,model_type.hyperbolic,activation.dmelu,0.4179,1.6438936,0.43547934,1.6104505,11,0.0001,1e-05,20,2,,,252.9863739013672
12,model_type.hyperbolic,activation.dmelu,0.4312,1.6101052,0.4391005,1.6001484,12,0.0001,1e-05,20,2,,,273.6619508266449
13,model_type.hyperbolic,activation.dmelu,0.4366,1.6062757,0.44054097,1.5916421,13,0.0001,1e-05,20,2,,,293.8174886703491
14,model_type.hyperbolic,activation.dmelu,0.4366,1.6031009,0.44212148,1.5834358,14,0.0001,1e-05,20,2,,,314.14694452285767
15,model_type.hyperbolic,activation.dmelu,0.43699998,1.6018387,0.44764325,1.576443,15,0.0001,1e-05,20,2,,,334.9401218891144
16,model_type.hyperbolic,activation.dmelu,0.4314,1.6069956,0.44920376,1.5688877,16,0.0001,1e-05,20,2,,,355.2696797847748
17,model_type.hyperbolic,activation.dmelu,0.43699998,1.6043777,0.4511844,1.5604769,17,0.0001,1e-05,20,2,,,375.19024634361267
18,model_type.hyperbolic,activation.dmelu,0.4396,1.5933133,0.45478553,1.5562346,18,0.0001,1e-05,20,2,,,395.32136607170105
19,model_type.hyperbolic,activation.dmelu,0.44329998,1.5788082,0.45426536,1.5494565,19,0.0001,1e-05,20,2,,,416.4825003147125
20,model_type.hyperbolic,activation.dmelu,0.44439998,1.5723556,0.45710626,1.5435736,20,0.0001,1e-05,20,2,,,435.96701884269714
21,model_type.hyperbolic,activation.dmelu,0.4452,1.5661807,0.45774648,1.5375566,21,0.0001,1e-05,20,2,,,454.9811944961548
22,model_type.hyperbolic,activation.dmelu,0.4386,1.5959107,0.46034732,1.5296712,22,0.0001,1e-05,20,2,,,476.434529542923
23,model_type.hyperbolic,activation.dmelu,0.4464,1.5687094,0.46210787,1.5255954,23,0.0001,1e-05,20,2,,,496.8596227169037
24,model_type.hyperbolic,activation.dmelu,0.452,1.5520644,0.46344832,1.5214674,24,0.0001,1e-05,20,2,,,519.6029829978943
25,model_type.hyperbolic,activation.dmelu,0.45639998,1.5530264,0.46726954,1.5149997,25,0.0001,1e-05,20,2,,,540.1888053417206
26,model_type.hyperbolic,activation.dmelu,0.45859998,1.5445151,0.46686938,1.511639,26,0.0001,1e-05,20,2,,,561.4914157390594
27,model_type.hyperbolic,activation.dmelu,0.4427,1.5592346,0.46901008,1.5046285,27,0.0001,1e-05,20,2,,,581.9080612659454
28,model_type.hyperbolic,activation.dmelu,0.45859998,1.5370122,0.4694302,1.5032657,28,0.0001,1e-05,20,2,,,602.375485420227
29,model_type.hyperbolic,activation.dmelu,0.4587,1.5472447,0.47055057,1.4987996,29,0.0001,1e-05,20,2,,,623.0434308052063
30,model_type.hyperbolic,activation.dmelu,0.45189998,1.5423092,0.471831,1.4958851,30,0.0001,1e-05,20,2,,,644.1773750782013
31,model_type.hyperbolic,activation.dmelu,0.4538,1.5499978,0.47477192,1.4905005,31,0.0001,1e-05,20,2,,,663.7468757629395
32,model_type.hyperbolic,activation.dmelu,0.4585,1.5425211,0.47397166,1.4875095,32,0.0001,1e-05,20,2,,,685.0965082645416
33,model_type.hyperbolic,activation.dmelu,0.45979998,1.5317005,0.47405168,1.4847604,33,0.0001,1e-05,20,2,,,705.8679141998291
34,model_type.hyperbolic,activation.dmelu,0.45639998,1.5425069,0.47893324,1.4778283,34,0.0001,1e-05,20,2,,,727.1869759559631
35,model_type.hyperbolic,activation.dmelu,0.456,1.5382606,0.47979355,1.4756219,35,0.0001,1e-05,20,2,,,747.5215525627136
36,model_type.hyperbolic,activation.dmelu,0.4596,1.5385802,0.4787532,1.4730662,36,0.0001,1e-05,20,2,,,767.9357986450195
37,model_type.hyperbolic,activation.dmelu,0.4517,1.5486152,0.47947344,1.4708694,37,0.0001,1e-05,20,2,,,787.8527386188507
38,model_type.hyperbolic,activation.dmelu,0.45549998,1.5453235,0.4805938,1.465862,38,0.0001,1e-05,20,2,,,808.6981680393219
39,model_type.hyperbolic,activation.dmelu,0.46089998,1.5222977,0.48357475,1.4633803,39,0.0001,1e-05,20,2,,,829.2457594871521
40,model_type.hyperbolic,activation.dmelu,0.463,1.5213761,0.48553538,1.4602845,40,0.0001,1e-05,20,2,,,849.711755990982
