,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.3033,1.912617,0.28052977,1.9944813,0,0.0001,1e-05,20,2,,,24.797966718673706
1,model_type.hyperbolic,activation.identity,0.3445,1.835617,0.3408891,1.8625544,1,0.0001,1e-05,20,2,,,46.26069688796997
2,model_type.hyperbolic,activation.identity,0.36519998,1.7942414,0.36217588,1.8131702,2,0.0001,1e-05,20,2,,,68.34382700920105
3,model_type.hyperbolic,activation.identity,0.37739998,1.7686985,0.3740597,1.7834482,3,0.0001,1e-05,20,2,,,89.46708941459656
4,model_type.hyperbolic,activation.identity,0.3671,1.772724,0.3834227,1.7601485,4,0.0001,1e-05,20,2,,,110.50593733787537
5,model_type.hyperbolic,activation.identity,0.3938,1.7308087,0.39018485,1.7423136,5,0.0001,1e-05,20,2,,,131.02629685401917
6,model_type.hyperbolic,activation.identity,0.39069998,1.7282917,0.39232555,1.7308952,6,0.0001,1e-05,20,2,,,151.73413968086243
7,model_type.hyperbolic,activation.identity,0.39339998,1.717667,0.39892766,1.7175815,7,0.0001,1e-05,20,2,,,173.6068389415741
8,model_type.hyperbolic,activation.identity,0.39069998,1.7351674,0.4009083,1.7087168,8,0.0001,1e-05,20,2,,,195.1421298980713
9,model_type.hyperbolic,activation.identity,0.40469998,1.70378,0.40625,1.6996504,9,0.0001,1e-05,20,2,,,216.69471883773804
10,model_type.hyperbolic,activation.identity,0.3935,1.7244331,0.4074904,1.6914173,10,0.0001,1e-05,20,2,,,238.2375190258026
11,model_type.hyperbolic,activation.identity,0.4077,1.6988338,0.40973112,1.6856226,11,0.0001,1e-05,20,2,,,259.8006992340088
12,model_type.hyperbolic,activation.identity,0.4037,1.69665,0.41137165,1.680326,12,0.0001,1e-05,20,2,,,282.25166511535645
13,model_type.hyperbolic,activation.identity,0.4055,1.710161,0.41353232,1.6718917,13,0.0001,1e-05,20,2,,,303.8613202571869
14,model_type.hyperbolic,activation.identity,0.40269998,1.6866608,0.4159331,1.6667174,14,0.0001,1e-05,20,2,,,325.181298494339
15,model_type.hyperbolic,activation.identity,0.39519998,1.7086806,0.4191141,1.6618618,15,0.0001,1e-05,20,2,,,346.08545088768005
16,model_type.hyperbolic,activation.identity,0.4089,1.6821666,0.41917413,1.6577501,16,0.0001,1e-05,20,2,,,367.0812940597534
17,model_type.hyperbolic,activation.identity,0.38709998,1.7181773,0.42115477,1.6516755,17,0.0001,1e-05,20,2,,,388.3939018249512
18,model_type.hyperbolic,activation.identity,0.4111,1.6780884,0.42515606,1.6463642,18,0.0001,1e-05,20,2,,,409.1281497478485
19,model_type.hyperbolic,activation.identity,0.40539998,1.6827996,0.42365557,1.6422551,19,0.0001,1e-05,20,2,,,430.75762915611267
20,model_type.hyperbolic,activation.identity,0.41099998,1.6651722,0.4290773,1.6372833,20,0.0001,1e-05,20,2,,,452.6074290275574
21,model_type.hyperbolic,activation.identity,0.4082,1.6795636,0.43133804,1.6320438,21,0.0001,1e-05,20,2,,,474.48190665245056
22,model_type.hyperbolic,activation.identity,0.40899998,1.6705613,0.42795694,1.6323386,22,0.0001,1e-05,20,2,,,495.5801293849945
23,model_type.hyperbolic,activation.identity,0.41459998,1.6609217,0.43015766,1.6273378,23,0.0001,1e-05,20,2,,,516.0599811077118
24,model_type.hyperbolic,activation.identity,0.4181,1.65656,0.43195823,1.6216613,24,0.0001,1e-05,20,2,,,536.9622337818146
25,model_type.hyperbolic,activation.identity,0.4192,1.6537367,0.4355994,1.6179765,25,0.0001,1e-05,20,2,,,558.4912714958191
26,model_type.hyperbolic,activation.identity,0.40829998,1.6718711,0.43603954,1.6163204,26,0.0001,1e-05,20,2,,,579.8755078315735
27,model_type.hyperbolic,activation.identity,0.42299998,1.643797,0.43459907,1.6156522,27,0.0001,1e-05,20,2,,,601.2039651870728
28,model_type.hyperbolic,activation.identity,0.4139,1.657896,0.43577945,1.6106855,28,0.0001,1e-05,20,2,,,622.3196907043457
29,model_type.hyperbolic,activation.identity,0.4226,1.6459948,0.43615958,1.6071014,29,0.0001,1e-05,20,2,,,643.7926621437073
30,model_type.hyperbolic,activation.identity,0.42159998,1.6488967,0.44004083,1.6042843,30,0.0001,1e-05,20,2,,,666.5866918563843
31,model_type.hyperbolic,activation.identity,0.4087,1.6768156,0.43904048,1.6020617,31,0.0001,1e-05,20,2,,,687.5064907073975
32,model_type.hyperbolic,activation.identity,0.4141,1.6624285,0.43788013,1.601327,32,0.0001,1e-05,20,2,,,708.7767834663391
33,model_type.hyperbolic,activation.identity,0.4263,1.6360742,0.44082105,1.5971012,33,0.0001,1e-05,20,2,,,729.7595772743225
34,model_type.hyperbolic,activation.identity,0.41939998,1.652525,0.440581,1.5937622,34,0.0001,1e-05,20,2,,,751.3376348018646
35,model_type.hyperbolic,activation.identity,0.4077,1.6685879,0.4427817,1.5955203,35,0.0001,1e-05,20,2,,,772.6417200565338
36,model_type.hyperbolic,activation.identity,0.41399997,1.6557895,0.44174135,1.592452,36,0.0001,1e-05,20,2,,,796.7838349342346
37,model_type.hyperbolic,activation.identity,0.41459998,1.6539191,0.443762,1.5904628,37,0.0001,1e-05,20,2,,,816.8734905719757
38,model_type.hyperbolic,activation.identity,0.4211,1.6556537,0.4434619,1.5865405,38,0.0001,1e-05,20,2,,,838.7036101818085
39,model_type.hyperbolic,activation.identity,0.4132,1.6610812,0.44496238,1.5860972,39,0.0001,1e-05,20,2,,,860.5267896652222
40,model_type.hyperbolic,activation.identity,0.4121,1.6661224,0.44484234,1.5839434,40,0.0001,1e-05,20,2,,,883.1662654876709
41,model_type.hyperbolic,activation.identity,0.4251,1.6437254,0.44524246,1.581367,41,0.0001,1e-05,20,2,,,903.8027155399323
42,model_type.hyperbolic,activation.identity,0.4292,1.6384394,0.44852352,1.5785867,42,0.0001,1e-05,20,2,,,925.2272198200226
43,model_type.hyperbolic,activation.identity,0.4296,1.6297902,0.45054418,1.5760326,43,0.0001,1e-05,20,2,,,946.4669213294983
44,model_type.hyperbolic,activation.identity,0.42589998,1.6329697,0.44670296,1.5757284,44,0.0001,1e-05,20,2,,,969.2795424461365
45,model_type.hyperbolic,activation.identity,0.42999998,1.6405699,0.45024407,1.5747252,45,0.0001,1e-05,20,2,,,990.9647855758667
46,model_type.hyperbolic,activation.identity,0.4227,1.6478562,0.44806337,1.572868,46,0.0001,1e-05,20,2,,,1013.0278961658478
47,model_type.hyperbolic,activation.identity,0.4292,1.6375538,0.4478833,1.5741968,47,0.0001,1e-05,20,2,,,1034.1026375293732
48,model_type.hyperbolic,activation.identity,0.4312,1.630019,0.44802338,1.5696365,48,0.0001,1e-05,20,2,,,1055.2212462425232
49,model_type.hyperbolic,activation.identity,0.4247,1.635358,0.4509643,1.5668658,49,0.0001,1e-05,20,2,,,1076.4990513324738
50,model_type.hyperbolic,activation.identity,0.4105,1.6592469,0.45088428,1.5674412,50,0.0001,1e-05,20,2,,,1098.3783128261566
51,model_type.hyperbolic,activation.identity,0.40789998,1.6724526,0.4516245,1.5650433,51,0.0001,1e-05,20,2,,,1118.701645374298
52,model_type.hyperbolic,activation.identity,0.42499998,1.6474607,0.4524648,1.562087,52,0.0001,1e-05,20,2,,,1139.9632596969604
53,model_type.hyperbolic,activation.identity,0.4271,1.6386055,0.45396528,1.5610265,53,0.0001,1e-05,20,2,,,1161.0865814685822
54,model_type.hyperbolic,activation.identity,0.4183,1.6490946,0.4522047,1.5610753,54,0.0001,1e-05,20,2,,,1182.8800826072693
55,model_type.hyperbolic,activation.identity,0.42499998,1.6428955,0.4534651,1.5590764,55,0.0001,1e-05,20,2,,,1205.0333042144775
56,model_type.hyperbolic,activation.identity,0.43039998,1.637623,0.4527649,1.5585768,56,0.0001,1e-05,20,2,,,1226.6737852096558
57,model_type.hyperbolic,activation.identity,0.42659998,1.6318015,0.45456547,1.5566051,57,0.0001,1e-05,20,2,,,1248.991014957428
