,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.logr,activation.identity,0.3453,1.886393,0.2988156,1.9922097,0,0.0001,1e-05,20,1,,,4.803815841674805
1,model_type.logr,activation.identity,0.3673,1.8341686,0.35425335,1.8602847,1,0.0001,1e-05,20,1,,,7.734296798706055
2,model_type.logr,activation.identity,0.376,1.8105947,0.37005842,1.8235731,2,0.0001,1e-05,20,1,,,10.879391431808472
3,model_type.logr,activation.identity,0.377,1.7954487,0.3762404,1.8026811,3,0.0001,1e-05,20,1,,,13.869224071502686
4,model_type.logr,activation.identity,0.38329998,1.7854704,0.38208225,1.7882732,4,0.0001,1e-05,20,1,,,17.132222175598145
5,model_type.logr,activation.identity,0.37809998,1.7843463,0.38726392,1.7770524,5,0.0001,1e-05,20,1,,,20.159775018692017
6,model_type.logr,activation.identity,0.38439998,1.7775906,0.39010483,1.7687352,6,0.0001,1e-05,20,1,,,23.047279119491577
7,model_type.logr,activation.identity,0.3863,1.7682029,0.3940261,1.7595687,7,0.0001,1e-05,20,1,,,26.05763602256775
8,model_type.logr,activation.identity,0.39229998,1.7561442,0.39676696,1.7534697,8,0.0001,1e-05,20,1,,,29.01323127746582
9,model_type.logr,activation.identity,0.3917,1.7596053,0.40004802,1.7482442,9,0.0001,1e-05,20,1,,,32.055866956710815
10,model_type.logr,activation.identity,0.391,1.759349,0.40262884,1.7428436,10,0.0001,1e-05,20,1,,,35.281641483306885
11,model_type.logr,activation.identity,0.3955,1.752319,0.40292895,1.7385082,11,0.0001,1e-05,20,1,,,38.33120155334473
12,model_type.logr,activation.identity,0.3969,1.7501872,0.40444943,1.7348408,12,0.0001,1e-05,20,1,,,41.489234924316406
13,model_type.logr,activation.identity,0.3843,1.7607394,0.40480953,1.7314202,13,0.0001,1e-05,20,1,,,44.529465198516846
14,model_type.logr,activation.identity,0.3962,1.7450508,0.40741038,1.7267448,14,0.0001,1e-05,20,1,,,47.59322142601013
15,model_type.logr,activation.identity,0.4007,1.7395102,0.4096911,1.7254193,15,0.0001,1e-05,20,1,,,50.794341802597046
16,model_type.logr,activation.identity,0.3963,1.7399217,0.4084507,1.7222649,16,0.0001,1e-05,20,1,,,53.822853326797485
17,model_type.logr,activation.identity,0.3988,1.7463213,0.41167173,1.7189679,17,0.0001,1e-05,20,1,,,56.9472770690918
18,model_type.logr,activation.identity,0.3827,1.7563615,0.4116117,1.7172395,18,0.0001,1e-05,20,1,,,60.01292967796326
19,model_type.logr,activation.identity,0.39409998,1.7436117,0.41357234,1.7139928,19,0.0001,1e-05,20,1,,,62.95029926300049
20,model_type.logr,activation.identity,0.40379998,1.7287072,0.41227192,1.7124289,20,0.0001,1e-05,20,1,,,65.85972619056702
