,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.28689998,2.0226636,0.22037052,2.1468885,0,0.0001,1e-05,20,2,,,28.338974237442017
1,model_type.poincare,activation.dmelu,0.3217,1.9255307,0.31137964,1.9659188,1,0.0001,1e-05,20,2,,,50.65940856933594
2,model_type.poincare,activation.dmelu,0.3357,1.8837278,0.33240637,1.9024578,2,0.0001,1e-05,20,2,,,74.62184858322144
3,model_type.poincare,activation.dmelu,0.34469998,1.8626388,0.34379002,1.8690016,3,0.0001,1e-05,20,2,,,97.18100380897522
4,model_type.poincare,activation.dmelu,0.353,1.8386365,0.35415334,1.8447225,4,0.0001,1e-05,20,2,,,118.58579897880554
5,model_type.poincare,activation.dmelu,0.3579,1.822801,0.3590149,1.8264563,5,0.0001,1e-05,20,2,,,138.84929966926575
6,model_type.poincare,activation.dmelu,0.35999998,1.8111126,0.36409652,1.8109107,6,0.0001,1e-05,20,2,,,157.95450925827026
7,model_type.poincare,activation.dmelu,0.3655,1.7971778,0.36789772,1.7988428,7,0.0001,1e-05,20,2,,,178.22289514541626
8,model_type.poincare,activation.dmelu,0.36699998,1.7919503,0.3737796,1.7876576,8,0.0001,1e-05,20,2,,,197.29479551315308
9,model_type.poincare,activation.dmelu,0.3721,1.7778467,0.37640044,1.7771412,9,0.0001,1e-05,20,2,,,217.45088839530945
10,model_type.poincare,activation.dmelu,0.3771,1.7684299,0.37804097,1.7686043,10,0.0001,1e-05,20,2,,,237.2997772693634
11,model_type.poincare,activation.dmelu,0.3816,1.7656043,0.38104194,1.7599832,11,0.0001,1e-05,20,2,,,255.57488799095154
12,model_type.poincare,activation.dmelu,0.38369998,1.7548012,0.3855834,1.7527037,12,0.0001,1e-05,20,2,,,273.742169380188
13,model_type.poincare,activation.dmelu,0.38239998,1.7519437,0.38914454,1.744994,13,0.0001,1e-05,20,2,,,292.25016832351685
14,model_type.poincare,activation.dmelu,0.38779998,1.7459255,0.39182538,1.7373854,14,0.0001,1e-05,20,2,,,311.6745252609253
15,model_type.poincare,activation.dmelu,0.38799998,1.7392727,0.3940861,1.7309998,15,0.0001,1e-05,20,2,,,329.5861248970032
