,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.6936,0.82594657,0.5911653,1.3095583,0,0.0001,1e-05,20,2,,,12.142838478088379
1,model_type.euclidean,activation.dmelu,0.769,0.6564681,0.74921626,0.7071895,1,0.0001,1e-05,20,2,,,21.889137029647827
2,model_type.euclidean,activation.dmelu,0.7901,0.5944488,0.7936066,0.60081303,2,0.0001,1e-05,20,2,,,31.27645182609558
3,model_type.euclidean,activation.dmelu,0.8021,0.5604296,0.8110492,0.55255216,3,0.0001,1e-05,20,2,,,41.279428005218506
4,model_type.euclidean,activation.dmelu,0.81119996,0.5411502,0.8195037,0.52356887,4,0.0001,1e-05,20,2,,,51.19973969459534
5,model_type.euclidean,activation.dmelu,0.81729996,0.5245358,0.8267076,0.50324726,5,0.0001,1e-05,20,2,,,61.29406118392944
6,model_type.euclidean,activation.dmelu,0.8242,0.512231,0.8313434,0.48742056,6,0.0001,1e-05,20,2,,,71.41688919067383
7,model_type.euclidean,activation.dmelu,0.8264,0.50203645,0.83511204,0.4752644,7,0.0001,1e-05,20,2,,,81.59422898292542
8,model_type.euclidean,activation.dmelu,0.8272,0.4944715,0.8377968,0.4651365,8,0.0001,1e-05,20,2,,,91.44241428375244
9,model_type.euclidean,activation.dmelu,0.82979995,0.48685992,0.8412153,0.4570414,9,0.0001,1e-05,20,2,,,101.81694984436035
10,model_type.euclidean,activation.dmelu,0.83019996,0.48315018,0.8440835,0.44975328,10,0.0001,1e-05,20,2,,,111.90424180030823
11,model_type.euclidean,activation.dmelu,0.8312,0.47872135,0.8460679,0.44349068,11,0.0001,1e-05,20,2,,,122.16897201538086
12,model_type.euclidean,activation.dmelu,0.83519995,0.47172153,0.8475687,0.43777722,12,0.0001,1e-05,20,2,,,132.30507683753967
13,model_type.euclidean,activation.dmelu,0.8366,0.46647364,0.85005337,0.43283468,13,0.0001,1e-05,20,2,,,142.61285662651062
14,model_type.euclidean,activation.dmelu,0.8376,0.46262684,0.8507204,0.4286402,14,0.0001,1e-05,20,2,,,152.61691069602966
15,model_type.euclidean,activation.dmelu,0.8387,0.46005717,0.8519877,0.42456275,15,0.0001,1e-05,20,2,,,162.55450224876404
16,model_type.euclidean,activation.dmelu,0.83889997,0.45687696,0.8537887,0.42062625,16,0.0001,1e-05,20,2,,,172.56969618797302
17,model_type.euclidean,activation.dmelu,0.84099996,0.45326328,0.85492265,0.4169935,17,0.0001,1e-05,20,2,,,183.51551342010498
18,model_type.euclidean,activation.dmelu,0.839,0.4515676,0.8556063,0.41385055,18,0.0001,1e-05,20,2,,,193.8477020263672
19,model_type.euclidean,activation.dmelu,0.84129995,0.4471981,0.8571572,0.41007307,19,0.0001,1e-05,20,2,,,204.06770396232605
20,model_type.euclidean,activation.dmelu,0.8426,0.4450028,0.8579409,0.4072976,20,0.0001,1e-05,20,2,,,214.1979115009308
21,model_type.euclidean,activation.dmelu,0.8418,0.4425252,0.85865796,0.4036551,21,0.0001,1e-05,20,2,,,224.87483525276184
22,model_type.euclidean,activation.dmelu,0.84559995,0.43910274,0.8594584,0.40140536,22,0.0001,1e-05,20,2,,,234.38895916938782
23,model_type.euclidean,activation.dmelu,0.8462,0.43673256,0.859325,0.39855847,23,0.0001,1e-05,20,2,,,245.19571948051453
24,model_type.euclidean,activation.dmelu,0.84389997,0.43581572,0.86115927,0.3959234,24,0.0001,1e-05,20,2,,,255.61312103271484
25,model_type.euclidean,activation.dmelu,0.8458,0.43225595,0.8616595,0.39366052,25,0.0001,1e-05,20,2,,,266.195405960083
26,model_type.euclidean,activation.dmelu,0.8463,0.431362,0.8630603,0.3910983,26,0.0001,1e-05,20,2,,,276.3944253921509
