,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.7513,0.72203803,0.65164757,1.044547,0,0.0001,1e-05,20,2,,,28.040209531784058
1,model_type.hyperbolic,activation.dmelu,0.7906,0.6001484,0.7849687,0.6324818,1,0.0001,1e-05,20,2,,,53.586052656173706
2,model_type.hyperbolic,activation.dmelu,0.8071,0.5516952,0.80959845,0.5513536,2,0.0001,1e-05,20,2,,,78.38825941085815
3,model_type.hyperbolic,activation.dmelu,0.8179,0.5224045,0.8233891,0.5092663,3,0.0001,1e-05,20,2,,,103.62320303916931
4,model_type.hyperbolic,activation.dmelu,0.8235,0.499165,0.8326441,0.48024982,4,0.0001,1e-05,20,2,,,128.72330379486084
5,model_type.hyperbolic,activation.dmelu,0.8253,0.4942123,0.8388641,0.4592982,5,0.0001,1e-05,20,2,,,153.81102514266968
6,model_type.hyperbolic,activation.dmelu,0.8339,0.47091836,0.84420025,0.44513184,6,0.0001,1e-05,20,2,,,178.69514322280884
7,model_type.hyperbolic,activation.dmelu,0.8361,0.46436694,0.84800225,0.4336825,7,0.0001,1e-05,20,2,,,202.72854924201965
8,model_type.hyperbolic,activation.dmelu,0.8382,0.45637017,0.8510372,0.42453095,8,0.0001,1e-05,20,2,,,228.33038711547852
9,model_type.hyperbolic,activation.dmelu,0.8387,0.45265758,0.85270476,0.41762367,9,0.0001,1e-05,20,2,,,253.23811078071594
10,model_type.hyperbolic,activation.dmelu,0.8387,0.44894034,0.85512275,0.41072813,10,0.0001,1e-05,20,2,,,278.4557933807373
11,model_type.hyperbolic,activation.dmelu,0.8398,0.44201416,0.8571905,0.40517157,11,0.0001,1e-05,20,2,,,301.79437923431396
12,model_type.hyperbolic,activation.dmelu,0.84499997,0.43486056,0.8584412,0.40005004,12,0.0001,1e-05,20,2,,,326.75383949279785
13,model_type.hyperbolic,activation.dmelu,0.84489995,0.4321415,0.860609,0.3955637,13,0.0001,1e-05,20,2,,,352.3014326095581
14,model_type.hyperbolic,activation.dmelu,0.8452,0.4321017,0.861843,0.3914,14,0.0001,1e-05,20,2,,,377.01573157310486
15,model_type.hyperbolic,activation.dmelu,0.84919995,0.4255498,0.86354387,0.3877634,15,0.0001,1e-05,20,2,,,401.13266038894653
16,model_type.hyperbolic,activation.dmelu,0.8473,0.42684668,0.8653615,0.38421327,16,0.0001,1e-05,20,2,,,425.694016456604
17,model_type.hyperbolic,activation.dmelu,0.8505,0.42007616,0.86499465,0.38110828,17,0.0001,1e-05,20,2,,,449.7688298225403
18,model_type.hyperbolic,activation.dmelu,0.84819996,0.42595187,0.8659285,0.3784165,18,0.0001,1e-05,20,2,,,475.1011185646057
19,model_type.hyperbolic,activation.dmelu,0.8498,0.41933724,0.8685799,0.37600246,19,0.0001,1e-05,20,2,,,500.31109046936035
20,model_type.hyperbolic,activation.dmelu,0.84959996,0.42213652,0.86852986,0.37313,20,0.0001,1e-05,20,2,,,525.7613718509674
21,model_type.hyperbolic,activation.dmelu,0.8538,0.4146308,0.8688467,0.37087357,21,0.0001,1e-05,20,2,,,549.5722529888153
22,model_type.hyperbolic,activation.dmelu,0.85469997,0.41040558,0.8693303,0.3686982,22,0.0001,1e-05,20,2,,,573.6479189395905
23,model_type.hyperbolic,activation.dmelu,0.85609996,0.41094047,0.87086445,0.36629015,23,0.0001,1e-05,20,2,,,599.3477778434753
24,model_type.hyperbolic,activation.dmelu,0.8549,0.40923825,0.8714148,0.364169,24,0.0001,1e-05,20,2,,,624.0332074165344
25,model_type.hyperbolic,activation.dmelu,0.85499996,0.4078774,0.87204844,0.36268583,25,0.0001,1e-05,20,2,,,648.7661688327789
26,model_type.hyperbolic,activation.dmelu,0.85529995,0.40622655,0.8736826,0.36009732,26,0.0001,1e-05,20,2,,,673.2057528495789
27,model_type.hyperbolic,activation.dmelu,0.8537,0.41132793,0.8730323,0.35904995,27,0.0001,1e-05,20,2,,,697.8997762203217
28,model_type.hyperbolic,activation.dmelu,0.8551,0.4054857,0.8736993,0.35745978,28,0.0001,1e-05,20,2,,,722.6577138900757
29,model_type.hyperbolic,activation.dmelu,0.856,0.40512553,0.8737827,0.35562867,29,0.0001,1e-05,20,2,,,747.4597811698914
30,model_type.hyperbolic,activation.dmelu,0.85789996,0.40215397,0.87531686,0.35369685,30,0.0001,1e-05,20,2,,,772.8524441719055
31,model_type.hyperbolic,activation.dmelu,0.8584,0.4022096,0.8752335,0.35236523,31,0.0001,1e-05,20,2,,,798.7463455200195
32,model_type.hyperbolic,activation.dmelu,0.85529995,0.40560192,0.87591714,0.35176983,32,0.0001,1e-05,20,2,,,823.8318922519684
33,model_type.hyperbolic,activation.dmelu,0.8584,0.3984245,0.8759005,0.35007787,33,0.0001,1e-05,20,2,,,849.6215932369232
34,model_type.hyperbolic,activation.dmelu,0.8596,0.39842325,0.87685096,0.34858507,34,0.0001,1e-05,20,2,,,873.5445218086243
35,model_type.hyperbolic,activation.dmelu,0.85859996,0.39814737,0.87778485,0.34727815,35,0.0001,1e-05,20,2,,,898.8566102981567
36,model_type.hyperbolic,activation.dmelu,0.85859996,0.40004915,0.87770146,0.34562686,36,0.0001,1e-05,20,2,,,922.6630825996399
37,model_type.hyperbolic,activation.dmelu,0.85889995,0.39683747,0.87715113,0.34431574,37,0.0001,1e-05,20,2,,,947.8152024745941
38,model_type.hyperbolic,activation.dmelu,0.8601,0.39835578,0.8782684,0.34357318,38,0.0001,1e-05,20,2,,,972.7829742431641
39,model_type.hyperbolic,activation.dmelu,0.85899997,0.39710218,0.87898546,0.34236255,39,0.0001,1e-05,20,2,,,998.9301297664642
40,model_type.hyperbolic,activation.dmelu,0.8598,0.39428514,0.8798192,0.3408754,40,0.0001,1e-05,20,2,,,1023.9612109661102
41,model_type.hyperbolic,activation.dmelu,0.8599,0.39443287,0.8796191,0.3395301,41,0.0001,1e-05,20,2,,,1048.607685804367
42,model_type.hyperbolic,activation.dmelu,0.8587,0.39260745,0.87905216,0.33911538,42,0.0001,1e-05,20,2,,,1073.6207263469696
43,model_type.hyperbolic,activation.dmelu,0.85999995,0.39314604,0.8807364,0.3379021,43,0.0001,1e-05,20,2,,,1098.857029914856
44,model_type.hyperbolic,activation.dmelu,0.8601,0.39448985,0.88068634,0.33653742,44,0.0001,1e-05,20,2,,,1122.9783699512482
45,model_type.hyperbolic,activation.dmelu,0.86139995,0.39105666,0.8810032,0.33587596,45,0.0001,1e-05,20,2,,,1147.5373244285583
46,model_type.hyperbolic,activation.dmelu,0.8613,0.39003336,0.8807364,0.3342142,46,0.0001,1e-05,20,2,,,1171.7996006011963
47,model_type.hyperbolic,activation.dmelu,0.8617,0.39178935,0.88167024,0.33345836,47,0.0001,1e-05,20,2,,,1196.4017145633698
48,model_type.hyperbolic,activation.dmelu,0.8628,0.39059833,0.88170356,0.33242872,48,0.0001,1e-05,20,2,,,1221.4346735477448
49,model_type.hyperbolic,activation.dmelu,0.8609,0.39153603,0.8821038,0.3313092,49,0.0001,1e-05,20,2,,,1245.446206331253
50,model_type.hyperbolic,activation.dmelu,0.8624,0.3874592,0.8820704,0.33049837,50,0.0001,1e-05,20,2,,,1270.658408164978
51,model_type.hyperbolic,activation.dmelu,0.86109996,0.38963908,0.88293755,0.32950398,51,0.0001,1e-05,20,2,,,1296.3778038024902
52,model_type.hyperbolic,activation.dmelu,0.8612,0.39189407,0.8835045,0.3283481,52,0.0001,1e-05,20,2,,,1322.4413583278656
53,model_type.hyperbolic,activation.dmelu,0.8634,0.38815597,0.8836713,0.32667398,53,0.0001,1e-05,20,2,,,1346.9338178634644
54,model_type.hyperbolic,activation.dmelu,0.8648,0.38572243,0.88377136,0.32647237,54,0.0001,1e-05,20,2,,,1372.0714859962463
55,model_type.hyperbolic,activation.dmelu,0.8631,0.38967496,0.88423824,0.32545665,55,0.0001,1e-05,20,2,,,1397.712984085083
56,model_type.hyperbolic,activation.dmelu,0.8639,0.3855204,0.8841382,0.32465014,56,0.0001,1e-05,20,2,,,1421.514263868332
57,model_type.hyperbolic,activation.dmelu,0.8602,0.3886465,0.8848052,0.32419905,57,0.0001,1e-05,20,2,,,1447.6569409370422
58,model_type.hyperbolic,activation.dmelu,0.8639,0.38542056,0.885689,0.32221392,58,0.0001,1e-05,20,2,,,1473.2877378463745
59,model_type.hyperbolic,activation.dmelu,0.863,0.38585743,0.88508874,0.32220462,59,0.0001,1e-05,20,2,,,1498.9551348686218
60,model_type.hyperbolic,activation.dmelu,0.8624,0.38615033,0.88545555,0.32085368,60,0.0001,1e-05,20,2,,,1524.0940396785736
61,model_type.hyperbolic,activation.dmelu,0.8621,0.38700104,0.88617265,0.31997365,61,0.0001,1e-05,20,2,,,1549.2400784492493
62,model_type.hyperbolic,activation.dmelu,0.8646,0.38358125,0.88628936,0.3195132,62,0.0001,1e-05,20,2,,,1574.2363619804382
63,model_type.hyperbolic,activation.dmelu,0.86319995,0.38389945,0.8858058,0.31849962,63,0.0001,1e-05,20,2,,,1598.6322729587555
64,model_type.hyperbolic,activation.dmelu,0.8602,0.39331603,0.88675624,0.31714845,64,0.0001,1e-05,20,2,,,1624.4588005542755
65,model_type.hyperbolic,activation.dmelu,0.86399996,0.38376862,0.88655615,0.3167427,65,0.0001,1e-05,20,2,,,1649.2428579330444
66,model_type.hyperbolic,activation.dmelu,0.8616,0.38733697,0.8874233,0.31603938,66,0.0001,1e-05,20,2,,,1673.160625219345
67,model_type.hyperbolic,activation.dmelu,0.8663,0.3812944,0.8868563,0.3150301,67,0.0001,1e-05,20,2,,,1698.2437241077423
68,model_type.hyperbolic,activation.dmelu,0.86289996,0.38222936,0.8891742,0.31392533,68,0.0001,1e-05,20,2,,,1723.466372013092
69,model_type.hyperbolic,activation.dmelu,0.8656,0.37943256,0.88770676,0.31335765,69,0.0001,1e-05,20,2,,,1748.3466835021973
70,model_type.hyperbolic,activation.dmelu,0.8646,0.38296548,0.8884238,0.3118521,70,0.0001,1e-05,20,2,,,1773.2185010910034
71,model_type.hyperbolic,activation.dmelu,0.86259997,0.38234365,0.88900745,0.3117758,71,0.0001,1e-05,20,2,,,1797.2670772075653
72,model_type.hyperbolic,activation.dmelu,0.8656,0.3786054,0.88872397,0.31121233,72,0.0001,1e-05,20,2,,,1821.514578819275
73,model_type.hyperbolic,activation.dmelu,0.8664,0.37932763,0.88872397,0.31027055,73,0.0001,1e-05,20,2,,,1847.1759388446808
74,model_type.hyperbolic,activation.dmelu,0.8631,0.38869196,0.889441,0.30909732,74,0.0001,1e-05,20,2,,,1871.6880292892456
75,model_type.hyperbolic,activation.dmelu,0.8627,0.38368148,0.88890743,0.30839568,75,0.0001,1e-05,20,2,,,1896.6189949512482
76,model_type.hyperbolic,activation.dmelu,0.8653,0.38044098,0.8896078,0.30736354,76,0.0001,1e-05,20,2,,,1921.0277712345123
77,model_type.hyperbolic,activation.dmelu,0.8646,0.37987527,0.89000803,0.3069942,77,0.0001,1e-05,20,2,,,1946.5356857776642
78,model_type.hyperbolic,activation.dmelu,0.8657,0.3837428,0.8906584,0.30604732,78,0.0001,1e-05,20,2,,,1971.7559387683868
79,model_type.hyperbolic,activation.dmelu,0.8674,0.37806875,0.88999134,0.30587673,79,0.0001,1e-05,20,2,,,1995.724538564682
80,model_type.hyperbolic,activation.dmelu,0.8678,0.37705657,0.8906083,0.30473325,80,0.0001,1e-05,20,2,,,2019.7119138240814
81,model_type.hyperbolic,activation.dmelu,0.86689997,0.3803239,0.8903915,0.30466574,81,0.0001,1e-05,20,2,,,2042.5468266010284
82,model_type.hyperbolic,activation.dmelu,0.8674,0.37748483,0.8905416,0.30345216,82,0.0001,1e-05,20,2,,,2067.3034291267395
83,model_type.hyperbolic,activation.dmelu,0.8663,0.3794967,0.8914421,0.30243343,83,0.0001,1e-05,20,2,,,2091.6626119613647
84,model_type.hyperbolic,activation.dmelu,0.86829996,0.3760692,0.8916589,0.30224842,84,0.0001,1e-05,20,2,,,2116.4687621593475
85,model_type.hyperbolic,activation.dmelu,0.86759996,0.37554964,0.8921425,0.30195045,85,0.0001,1e-05,20,2,,,2141.643580198288
86,model_type.hyperbolic,activation.dmelu,0.86499995,0.37804157,0.8914921,0.30106616,86,0.0001,1e-05,20,2,,,2165.8773605823517
87,model_type.hyperbolic,activation.dmelu,0.867,0.37890097,0.89255935,0.30008557,87,0.0001,1e-05,20,2,,,2190.0157804489136
88,model_type.hyperbolic,activation.dmelu,0.86469996,0.38137162,0.8916589,0.30000618,88,0.0001,1e-05,20,2,,,2214.4286603927612
89,model_type.hyperbolic,activation.dmelu,0.8689,0.3757784,0.89237595,0.29948118,89,0.0001,1e-05,20,2,,,2239.517783164978
90,model_type.hyperbolic,activation.dmelu,0.8689,0.3746257,0.89227587,0.29816526,90,0.0001,1e-05,20,2,,,2265.4795141220093
91,model_type.hyperbolic,activation.dmelu,0.87009996,0.37677598,0.89239264,0.29821822,91,0.0001,1e-05,20,2,,,2291.368508577347
92,model_type.hyperbolic,activation.dmelu,0.8695,0.37548926,0.89247596,0.29696652,92,0.0001,1e-05,20,2,,,2316.574234485626
93,model_type.hyperbolic,activation.dmelu,0.867,0.37847555,0.89372665,0.29634786,93,0.0001,1e-05,20,2,,,2340.4743762016296
94,model_type.hyperbolic,activation.dmelu,0.86869997,0.3750881,0.89352655,0.29577175,94,0.0001,1e-05,20,2,,,2364.2279031276703
95,model_type.hyperbolic,activation.dmelu,0.8663,0.3806256,0.89399344,0.29525414,95,0.0001,1e-05,20,2,,,2388.8789327144623
96,model_type.hyperbolic,activation.dmelu,0.8678,0.37462935,0.89387673,0.29433882,96,0.0001,1e-05,20,2,,,2412.7994985580444
