,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.7773,0.6646557,0.67524344,0.9783171,0,0.0001,1e-05,20,2,,,25.000860452651978
1,model_type.hyperbolic,activation.identity,0.805,0.5731208,0.80386204,0.5859951,1,0.0001,1e-05,20,2,,,48.0657958984375
2,model_type.hyperbolic,activation.identity,0.80759996,0.5472748,0.821188,0.5223128,2,0.0001,1e-05,20,2,,,71.00921726226807
3,model_type.hyperbolic,activation.identity,0.8231,0.5125275,0.8313934,0.492272,3,0.0001,1e-05,20,2,,,94.6962730884552
4,model_type.hyperbolic,activation.identity,0.8269,0.4982387,0.8376634,0.47322094,4,0.0001,1e-05,20,2,,,119.61769723892212
5,model_type.hyperbolic,activation.identity,0.82769996,0.49531734,0.8417823,0.46016487,5,0.0001,1e-05,20,2,,,144.20160388946533
6,model_type.hyperbolic,activation.identity,0.8322,0.48334336,0.8453175,0.44956627,6,0.0001,1e-05,20,2,,,168.55763912200928
7,model_type.hyperbolic,activation.identity,0.8343,0.47547466,0.8484692,0.44271278,7,0.0001,1e-05,20,2,,,193.3778612613678
8,model_type.hyperbolic,activation.identity,0.8362,0.46979296,0.8500867,0.4361688,8,0.0001,1e-05,20,2,,,216.9376413822174
9,model_type.hyperbolic,activation.identity,0.8383,0.46418574,0.85182095,0.4302316,9,0.0001,1e-05,20,2,,,239.68136525154114
10,model_type.hyperbolic,activation.identity,0.838,0.46388447,0.85290486,0.4262746,10,0.0001,1e-05,20,2,,,263.5542240142822
11,model_type.hyperbolic,activation.identity,0.83949995,0.46117672,0.85505605,0.42181745,11,0.0001,1e-05,20,2,,,287.95860624313354
12,model_type.hyperbolic,activation.identity,0.84129995,0.45940626,0.85754067,0.41767776,12,0.0001,1e-05,20,2,,,311.09745502471924
13,model_type.hyperbolic,activation.identity,0.842,0.4544995,0.85667354,0.41524664,13,0.0001,1e-05,20,2,,,334.14168190956116
14,model_type.hyperbolic,activation.identity,0.83959997,0.46517524,0.8584412,0.41265765,14,0.0001,1e-05,20,2,,,359.07513999938965
15,model_type.hyperbolic,activation.identity,0.8409,0.45651436,0.8582744,0.41064587,15,0.0001,1e-05,20,2,,,382.628244638443
16,model_type.hyperbolic,activation.identity,0.84139997,0.4521257,0.8593083,0.40826964,16,0.0001,1e-05,20,2,,,407.4952380657196
17,model_type.hyperbolic,activation.identity,0.8423,0.4513162,0.8593917,0.40604183,17,0.0001,1e-05,20,2,,,431.29749035835266
18,model_type.hyperbolic,activation.identity,0.843,0.45145524,0.86090916,0.4042527,18,0.0001,1e-05,20,2,,,455.91447496414185
19,model_type.hyperbolic,activation.identity,0.8436,0.44971055,0.8614094,0.40129572,19,0.0001,1e-05,20,2,,,480.01098227500916
20,model_type.hyperbolic,activation.identity,0.84459996,0.44486392,0.8616929,0.3998359,20,0.0001,1e-05,20,2,,,504.29691219329834
21,model_type.hyperbolic,activation.identity,0.8393,0.45265937,0.861843,0.39877316,21,0.0001,1e-05,20,2,,,527.5737206935883
22,model_type.hyperbolic,activation.identity,0.8459,0.44230884,0.8617596,0.3971701,22,0.0001,1e-05,20,2,,,551.0489888191223
23,model_type.hyperbolic,activation.identity,0.8454,0.44264498,0.8636773,0.39541003,23,0.0001,1e-05,20,2,,,574.293249130249
24,model_type.hyperbolic,activation.identity,0.84569997,0.44364053,0.86329377,0.3944999,24,0.0001,1e-05,20,2,,,597.6157784461975
25,model_type.hyperbolic,activation.identity,0.8466,0.44352204,0.8640942,0.39356145,25,0.0001,1e-05,20,2,,,621.6637256145477
26,model_type.hyperbolic,activation.identity,0.8461,0.4402413,0.864311,0.39226106,26,0.0001,1e-05,20,2,,,644.6931211948395
27,model_type.hyperbolic,activation.identity,0.8455,0.44098574,0.86569506,0.38996324,27,0.0001,1e-05,20,2,,,669.2346179485321
28,model_type.hyperbolic,activation.identity,0.84679997,0.4443926,0.865645,0.38908494,28,0.0001,1e-05,20,2,,,693.2002346515656
29,model_type.hyperbolic,activation.identity,0.8461,0.44326842,0.86614525,0.38862067,29,0.0001,1e-05,20,2,,,717.4986445903778
30,model_type.hyperbolic,activation.identity,0.8458,0.44334263,0.86589515,0.38653475,30,0.0001,1e-05,20,2,,,740.2454299926758
31,model_type.hyperbolic,activation.identity,0.84849995,0.43864325,0.86569506,0.38676745,31,0.0001,1e-05,20,2,,,764.516740322113
32,model_type.hyperbolic,activation.identity,0.8455,0.43850103,0.8657784,0.38561237,32,0.0001,1e-05,20,2,,,787.1604318618774
33,model_type.hyperbolic,activation.identity,0.84309995,0.4473855,0.86727923,0.38468865,33,0.0001,1e-05,20,2,,,811.535233259201
34,model_type.hyperbolic,activation.identity,0.8479,0.4362838,0.86611193,0.3837378,34,0.0001,1e-05,20,2,,,838.483934879303
35,model_type.hyperbolic,activation.identity,0.8498,0.43575615,0.8675127,0.38272795,35,0.0001,1e-05,20,2,,,863.0200636386871
36,model_type.hyperbolic,activation.identity,0.8477,0.43821397,0.86842984,0.3818231,36,0.0001,1e-05,20,2,,,887.7510988712311
37,model_type.hyperbolic,activation.identity,0.8487,0.437542,0.8682464,0.38092232,37,0.0001,1e-05,20,2,,,912.1794266700745
38,model_type.hyperbolic,activation.identity,0.84999996,0.43581235,0.86839646,0.38082805,38,0.0001,1e-05,20,2,,,935.5579180717468
39,model_type.hyperbolic,activation.identity,0.84749997,0.43645543,0.8690135,0.37865117,39,0.0001,1e-05,20,2,,,959.0173008441925
40,model_type.hyperbolic,activation.identity,0.84749997,0.43606207,0.8692303,0.37790596,40,0.0001,1e-05,20,2,,,983.2735719680786
41,model_type.hyperbolic,activation.identity,0.8497,0.43387103,0.86867994,0.37837744,41,0.0001,1e-05,20,2,,,1007.2807154655457
42,model_type.hyperbolic,activation.identity,0.8472,0.43983492,0.8697972,0.37627345,42,0.0001,1e-05,20,2,,,1031.7348899841309
43,model_type.hyperbolic,activation.identity,0.8479,0.44026837,0.86951375,0.37567678,43,0.0001,1e-05,20,2,,,1056.0540544986725
44,model_type.hyperbolic,activation.identity,0.8477,0.43374926,0.869964,0.3747429,44,0.0001,1e-05,20,2,,,1080.0365447998047
45,model_type.hyperbolic,activation.identity,0.8491,0.4365979,0.8700307,0.3743206,45,0.0001,1e-05,20,2,,,1103.2947280406952
46,model_type.hyperbolic,activation.identity,0.8479,0.43585157,0.87084776,0.37338498,46,0.0001,1e-05,20,2,,,1127.61461520195
47,model_type.hyperbolic,activation.identity,0.8491,0.43346778,0.8703475,0.37379813,47,0.0001,1e-05,20,2,,,1151.2473471164703
48,model_type.hyperbolic,activation.identity,0.8483,0.4322563,0.8702975,0.37245113,48,0.0001,1e-05,20,2,,,1174.2751669883728
49,model_type.hyperbolic,activation.identity,0.84929997,0.4336939,0.8704976,0.3720673,49,0.0001,1e-05,20,2,,,1198.9659299850464
50,model_type.hyperbolic,activation.identity,0.8497,0.43351862,0.8706977,0.37158835,50,0.0001,1e-05,20,2,,,1224.5407328605652
51,model_type.hyperbolic,activation.identity,0.85109997,0.4306109,0.8709645,0.37036258,51,0.0001,1e-05,20,2,,,1250.110759973526
52,model_type.hyperbolic,activation.identity,0.8445,0.43789935,0.8709812,0.3704137,52,0.0001,1e-05,20,2,,,1274.8860070705414
53,model_type.hyperbolic,activation.identity,0.8476,0.43837872,0.8714648,0.36862877,53,0.0001,1e-05,20,2,,,1298.7653234004974
54,model_type.hyperbolic,activation.identity,0.84929997,0.43198463,0.87311566,0.3683086,54,0.0001,1e-05,20,2,,,1323.4274280071259
55,model_type.hyperbolic,activation.identity,0.8501,0.43179083,0.87216514,0.3678846,55,0.0001,1e-05,20,2,,,1347.2028489112854
56,model_type.hyperbolic,activation.identity,0.8494,0.43198794,0.87209845,0.367622,56,0.0001,1e-05,20,2,,,1370.4094696044922
57,model_type.hyperbolic,activation.identity,0.84959996,0.4318065,0.8725487,0.36644205,57,0.0001,1e-05,20,2,,,1395.8933494091034
58,model_type.hyperbolic,activation.identity,0.8505,0.43032515,0.8723819,0.36611623,58,0.0001,1e-05,20,2,,,1421.7867147922516
59,model_type.hyperbolic,activation.identity,0.84919995,0.43094,0.872432,0.36566737,59,0.0001,1e-05,20,2,,,1445.8476898670197
60,model_type.hyperbolic,activation.identity,0.8483,0.4363226,0.873766,0.36471424,60,0.0001,1e-05,20,2,,,1468.9853103160858
61,model_type.hyperbolic,activation.identity,0.84819996,0.43670416,0.8727655,0.36476058,61,0.0001,1e-05,20,2,,,1493.6063647270203
62,model_type.hyperbolic,activation.identity,0.8477,0.43783307,0.87319905,0.36343488,62,0.0001,1e-05,20,2,,,1518.135959148407
63,model_type.hyperbolic,activation.identity,0.8502,0.43346938,0.8737493,0.36239457,63,0.0001,1e-05,20,2,,,1542.5280055999756
64,model_type.hyperbolic,activation.identity,0.84929997,0.43339097,0.87309897,0.36221498,64,0.0001,1e-05,20,2,,,1565.2602705955505
65,model_type.hyperbolic,activation.identity,0.85099995,0.43094122,0.87441635,0.36266875,65,0.0001,1e-05,20,2,,,1587.9051368236542
66,model_type.hyperbolic,activation.identity,0.8504,0.4335436,0.8738494,0.36218247,66,0.0001,1e-05,20,2,,,1611.698580980301
67,model_type.hyperbolic,activation.identity,0.84779996,0.43541676,0.87434965,0.3608011,67,0.0001,1e-05,20,2,,,1636.2023515701294
68,model_type.hyperbolic,activation.identity,0.849,0.4306417,0.8746665,0.3597838,68,0.0001,1e-05,20,2,,,1662.194363117218
69,model_type.hyperbolic,activation.identity,0.8519,0.43223184,0.87461644,0.35981703,69,0.0001,1e-05,20,2,,,1686.567197561264
70,model_type.hyperbolic,activation.identity,0.8495,0.43298072,0.87408286,0.35995963,70,0.0001,1e-05,20,2,,,1711.0612487792969
71,model_type.hyperbolic,activation.identity,0.84919995,0.43100616,0.8747332,0.35861263,71,0.0001,1e-05,20,2,,,1735.1305983066559
72,model_type.hyperbolic,activation.identity,0.8469,0.443035,0.87436634,0.3588541,72,0.0001,1e-05,20,2,,,1758.2854125499725
