,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.logr,activation.identity,0.7209,0.8496001,0.6493797,1.1969295,0,0.0001,1e-05,20,1,,,3.451216697692871
1,model_type.logr,activation.identity,0.7658,0.70182014,0.7597219,0.7482536,1,0.0001,1e-05,20,1,,,6.4612648487091064
2,model_type.logr,activation.identity,0.7856,0.63633657,0.7906717,0.6483506,2,0.0001,1e-05,20,1,,,9.351879119873047
3,model_type.logr,activation.identity,0.8006,0.59738535,0.80597985,0.5955778,3,0.0001,1e-05,20,1,,,12.304362535476685
4,model_type.logr,activation.identity,0.80979997,0.5712905,0.81553495,0.56176925,4,0.0001,1e-05,20,1,,,15.345943689346313
5,model_type.logr,activation.identity,0.8143,0.55276203,0.8219384,0.53816956,5,0.0001,1e-05,20,1,,,18.37969446182251
6,model_type.logr,activation.identity,0.8168,0.5385822,0.8277248,0.52057785,6,0.0001,1e-05,20,1,,,21.408701181411743
7,model_type.logr,activation.identity,0.8214,0.5264736,0.83237725,0.50651443,7,0.0001,1e-05,20,1,,,24.368369102478027
8,model_type.logr,activation.identity,0.8226,0.5194855,0.83486193,0.4952633,8,0.0001,1e-05,20,1,,,27.2832248210907
9,model_type.logr,activation.identity,0.82659996,0.5101687,0.83724654,0.48656416,9,0.0001,1e-05,20,1,,,30.352569818496704
10,model_type.logr,activation.identity,0.82909995,0.5057712,0.8400313,0.47864544,10,0.0001,1e-05,20,1,,,33.412978410720825
11,model_type.logr,activation.identity,0.8303,0.49844286,0.8428495,0.4719972,11,0.0001,1e-05,20,1,,,36.318124771118164
12,model_type.logr,activation.identity,0.8303,0.49476713,0.8441669,0.46626624,12,0.0001,1e-05,20,1,,,39.3650963306427
13,model_type.logr,activation.identity,0.8326,0.49047008,0.84535086,0.46115857,13,0.0001,1e-05,20,1,,,42.30422616004944
14,model_type.logr,activation.identity,0.8336,0.48681855,0.84663486,0.45677212,14,0.0001,1e-05,20,1,,,45.218223333358765
15,model_type.logr,activation.identity,0.83379996,0.4834295,0.8484525,0.45272785,15,0.0001,1e-05,20,1,,,48.64168858528137
