,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.6683,1.0322654,0.5171425,1.4999661,0,0.0001,1e-05,20,2,,,73.69945454597473
1,model_type.poincare,activation.dmelu,0.7424,0.7588627,0.7196338,0.85460395,1,0.0001,1e-05,20,2,,,96.44657897949219
2,model_type.poincare,activation.dmelu,0.7694,0.65184057,0.7668256,0.6753114,2,0.0001,1e-05,20,2,,,118.65863728523254
3,model_type.poincare,activation.dmelu,0.7897,0.59864193,0.78947103,0.5962748,3,0.0001,1e-05,20,2,,,139.57230973243713
4,model_type.poincare,activation.dmelu,0.79999995,0.56577516,0.8066135,0.5508684,4,0.0001,1e-05,20,2,,,160.68691110610962
5,model_type.poincare,activation.dmelu,0.8071,0.54293865,0.8163187,0.52072996,5,0.0001,1e-05,20,2,,,182.66809630393982
6,model_type.poincare,activation.dmelu,0.81409997,0.52432626,0.8246065,0.49863502,6,0.0001,1e-05,20,2,,,204.2286229133606
7,model_type.poincare,activation.dmelu,0.8167,0.511162,0.8303262,0.4820831,7,0.0001,1e-05,20,2,,,226.35244512557983
8,model_type.poincare,activation.dmelu,0.821,0.5002729,0.8348119,0.46871236,8,0.0001,1e-05,20,2,,,247.94964289665222
9,model_type.poincare,activation.dmelu,0.82369995,0.4915239,0.8385639,0.4577523,9,0.0001,1e-05,20,2,,,270.2715001106262
10,model_type.poincare,activation.dmelu,0.82769996,0.48524243,0.8422659,0.44829798,10,0.0001,1e-05,20,2,,,291.89549493789673
11,model_type.poincare,activation.dmelu,0.82739997,0.47917813,0.8442336,0.4406935,11,0.0001,1e-05,20,2,,,312.0542414188385
12,model_type.poincare,activation.dmelu,0.83169997,0.4722558,0.84653485,0.43340957,12,0.0001,1e-05,20,2,,,332.82509422302246
13,model_type.poincare,activation.dmelu,0.8337,0.4687214,0.84903616,0.42719093,13,0.0001,1e-05,20,2,,,352.56144428253174
14,model_type.poincare,activation.dmelu,0.8365,0.46183282,0.85148746,0.4216944,14,0.0001,1e-05,20,2,,,373.27084469795227
15,model_type.poincare,activation.dmelu,0.83809996,0.4581702,0.8537053,0.41644266,15,0.0001,1e-05,20,2,,,395.4469165802002
16,model_type.poincare,activation.dmelu,0.8412,0.45370772,0.8545724,0.41169193,16,0.0001,1e-05,20,2,,,417.71888971328735
17,model_type.poincare,activation.dmelu,0.84169996,0.45021865,0.8561066,0.4074254,17,0.0001,1e-05,20,2,,,439.9731431007385
18,model_type.poincare,activation.dmelu,0.8426,0.4471987,0.8567236,0.4035094,18,0.0001,1e-05,20,2,,,460.552170753479
19,model_type.poincare,activation.dmelu,0.8443,0.4441371,0.8585579,0.3999714,19,0.0001,1e-05,20,2,,,483.51794052124023
20,model_type.poincare,activation.dmelu,0.8469,0.43996617,0.85967517,0.39645442,20,0.0001,1e-05,20,2,,,504.97895789146423
21,model_type.poincare,activation.dmelu,0.84639996,0.43871328,0.85982525,0.3935849,21,0.0001,1e-05,20,2,,,526.8020808696747
22,model_type.poincare,activation.dmelu,0.84679997,0.43523756,0.8608258,0.39065543,22,0.0001,1e-05,20,2,,,547.8807909488678
23,model_type.poincare,activation.dmelu,0.84749997,0.43269888,0.86324376,0.3874735,23,0.0001,1e-05,20,2,,,568.9054281711578
24,model_type.poincare,activation.dmelu,0.84819996,0.43062657,0.86322707,0.3852047,24,0.0001,1e-05,20,2,,,590.3194327354431
25,model_type.poincare,activation.dmelu,0.8509,0.4277886,0.8642109,0.3825578,25,0.0001,1e-05,20,2,,,611.979739189148
26,model_type.poincare,activation.dmelu,0.84959996,0.4276604,0.8656117,0.38016194,26,0.0001,1e-05,20,2,,,634.417165517807
27,model_type.poincare,activation.dmelu,0.85069996,0.42427817,0.8651614,0.3777989,27,0.0001,1e-05,20,2,,,655.8197183609009
28,model_type.poincare,activation.dmelu,0.8526,0.42379835,0.8658618,0.37573656,28,0.0001,1e-05,20,2,,,676.8143246173859
29,model_type.poincare,activation.dmelu,0.85179996,0.42100966,0.86714584,0.3737808,29,0.0001,1e-05,20,2,,,696.9653244018555
30,model_type.poincare,activation.dmelu,0.8531,0.41985768,0.86794627,0.37194335,30,0.0001,1e-05,20,2,,,719.2685070037842
31,model_type.poincare,activation.dmelu,0.8519,0.41830102,0.86849654,0.37011617,31,0.0001,1e-05,20,2,,,740.2869403362274
32,model_type.poincare,activation.dmelu,0.85469997,0.41580167,0.8688467,0.36844936,32,0.0001,1e-05,20,2,,,761.6681416034698
33,model_type.poincare,activation.dmelu,0.85459995,0.4146523,0.8692636,0.3665142,33,0.0001,1e-05,20,2,,,782.6893560886383
34,model_type.poincare,activation.dmelu,0.8538,0.41416126,0.86959714,0.36514857,34,0.0001,1e-05,20,2,,,804.0591201782227
35,model_type.poincare,activation.dmelu,0.8569,0.4114089,0.8701474,0.3632897,35,0.0001,1e-05,20,2,,,825.7260558605194
36,model_type.poincare,activation.dmelu,0.8549,0.41141352,0.8704976,0.36180514,36,0.0001,1e-05,20,2,,,848.0516819953918
37,model_type.poincare,activation.dmelu,0.85569996,0.40966162,0.8713314,0.3602725,37,0.0001,1e-05,20,2,,,869.6295530796051
38,model_type.poincare,activation.dmelu,0.85529995,0.4087905,0.87198174,0.35886908,38,0.0001,1e-05,20,2,,,891.6037356853485
39,model_type.poincare,activation.dmelu,0.85349995,0.409509,0.87218183,0.3574276,39,0.0001,1e-05,20,2,,,914.1900947093964
40,model_type.poincare,activation.dmelu,0.85609996,0.40582624,0.87313235,0.35612202,40,0.0001,1e-05,20,2,,,936.3643493652344
41,model_type.poincare,activation.dmelu,0.8545,0.4086122,0.8728989,0.35489163,41,0.0001,1e-05,20,2,,,957.4217002391815
42,model_type.poincare,activation.dmelu,0.8555,0.40416327,0.8734825,0.35335806,42,0.0001,1e-05,20,2,,,977.9306044578552
43,model_type.poincare,activation.dmelu,0.8552,0.4061646,0.87414956,0.3519292,43,0.0001,1e-05,20,2,,,998.6350085735321
44,model_type.poincare,activation.dmelu,0.85609996,0.40402704,0.8746665,0.351232,44,0.0001,1e-05,20,2,,,1019.5091724395752
45,model_type.poincare,activation.dmelu,0.85529995,0.4020191,0.8747165,0.3497483,45,0.0001,1e-05,20,2,,,1040.7958846092224
46,model_type.poincare,activation.dmelu,0.85719997,0.40076888,0.8750834,0.34884635,46,0.0001,1e-05,20,2,,,1060.983111858368
47,model_type.poincare,activation.dmelu,0.8563,0.40073693,0.87553364,0.34757927,47,0.0001,1e-05,20,2,,,1081.9735615253448
48,model_type.poincare,activation.dmelu,0.8563,0.40013438,0.8762006,0.34622404,48,0.0001,1e-05,20,2,,,1102.3488433361053
49,model_type.poincare,activation.dmelu,0.856,0.39976168,0.87678427,0.34532055,49,0.0001,1e-05,20,2,,,1123.2244846820831
50,model_type.poincare,activation.dmelu,0.85789996,0.39797708,0.87701774,0.34408715,50,0.0001,1e-05,20,2,,,1144.6422612667084
51,model_type.poincare,activation.dmelu,0.8588,0.39646375,0.8771011,0.3431305,51,0.0001,1e-05,20,2,,,1165.9271562099457
52,model_type.poincare,activation.dmelu,0.8584,0.396869,0.87778485,0.34214664,52,0.0001,1e-05,20,2,,,1186.2625052928925
53,model_type.poincare,activation.dmelu,0.8594,0.39579737,0.87775147,0.34096596,53,0.0001,1e-05,20,2,,,1208.5355384349823
54,model_type.poincare,activation.dmelu,0.8577,0.39455885,0.8786353,0.34010008,54,0.0001,1e-05,20,2,,,1228.2282876968384
55,model_type.poincare,activation.dmelu,0.8585,0.3945188,0.87816834,0.33935142,55,0.0001,1e-05,20,2,,,1250.475347995758
56,model_type.poincare,activation.dmelu,0.85929996,0.3936519,0.8784518,0.33830777,56,0.0001,1e-05,20,2,,,1272.3997271060944
57,model_type.poincare,activation.dmelu,0.8609,0.39476073,0.878652,0.33718517,57,0.0001,1e-05,20,2,,,1292.444182395935
58,model_type.poincare,activation.dmelu,0.8594,0.39253983,0.8800694,0.33599713,58,0.0001,1e-05,20,2,,,1314.2627174854279
59,model_type.poincare,activation.dmelu,0.85819995,0.39569697,0.87938565,0.3354425,59,0.0001,1e-05,20,2,,,1335.9607753753662
60,model_type.poincare,activation.dmelu,0.85889995,0.39351955,0.8797025,0.33432984,60,0.0001,1e-05,20,2,,,1358.0055124759674
61,model_type.poincare,activation.dmelu,0.8592,0.39311424,0.8794357,0.3337636,61,0.0001,1e-05,20,2,,,1379.8356964588165
62,model_type.poincare,activation.dmelu,0.8613,0.3903831,0.88050294,0.3326885,62,0.0001,1e-05,20,2,,,1401.216316461563
63,model_type.poincare,activation.dmelu,0.8606,0.38997045,0.88063633,0.33195394,63,0.0001,1e-05,20,2,,,1422.9583246707916
64,model_type.poincare,activation.dmelu,0.86109996,0.39060503,0.88045293,0.33080682,64,0.0001,1e-05,20,2,,,1442.895426750183
65,model_type.poincare,activation.dmelu,0.86109996,0.38868415,0.88180363,0.3301171,65,0.0001,1e-05,20,2,,,1464.1500358581543
66,model_type.poincare,activation.dmelu,0.8627,0.38835165,0.8811866,0.32932526,66,0.0001,1e-05,20,2,,,1486.4379353523254
67,model_type.poincare,activation.dmelu,0.86219996,0.38715863,0.8822372,0.3281204,67,0.0001,1e-05,20,2,,,1507.5625150203705
68,model_type.poincare,activation.dmelu,0.8635,0.38647857,0.8821705,0.3274252,68,0.0001,1e-05,20,2,,,1528.7696533203125
69,model_type.poincare,activation.dmelu,0.8613,0.39120665,0.8829209,0.32696858,69,0.0001,1e-05,20,2,,,1548.4527614116669
70,model_type.poincare,activation.dmelu,0.8627,0.38721886,0.8836046,0.32583794,70,0.0001,1e-05,20,2,,,1569.3077204227448
71,model_type.poincare,activation.dmelu,0.86139995,0.3878995,0.88322103,0.32536513,71,0.0001,1e-05,20,2,,,1590.7746155261993
72,model_type.poincare,activation.dmelu,0.86139995,0.3888051,0.8833211,0.32472914,72,0.0001,1e-05,20,2,,,1613.056072473526
73,model_type.poincare,activation.dmelu,0.86139995,0.3849945,0.88302094,0.32382634,73,0.0001,1e-05,20,2,,,1634.685090303421
74,model_type.poincare,activation.dmelu,0.8631,0.38496223,0.8835045,0.32306796,74,0.0001,1e-05,20,2,,,1654.7712905406952
75,model_type.poincare,activation.dmelu,0.86219996,0.38609368,0.8846885,0.32196748,75,0.0001,1e-05,20,2,,,1675.458071231842
76,model_type.poincare,activation.dmelu,0.8619,0.38608342,0.8842883,0.32126933,76,0.0001,1e-05,20,2,,,1696.914300918579
77,model_type.poincare,activation.dmelu,0.8639,0.38321364,0.8849053,0.32046193,77,0.0001,1e-05,20,2,,,1718.1690101623535
78,model_type.poincare,activation.dmelu,0.86399996,0.38240415,0.88500535,0.32007203,78,0.0001,1e-05,20,2,,,1739.4001715183258
79,model_type.poincare,activation.dmelu,0.86259997,0.38458973,0.88492197,0.3189966,79,0.0001,1e-05,20,2,,,1759.0401561260223
80,model_type.poincare,activation.dmelu,0.86359996,0.38407442,0.88498867,0.31834966,80,0.0001,1e-05,20,2,,,1780.9427933692932
81,model_type.poincare,activation.dmelu,0.8635,0.38090277,0.8854222,0.31773898,81,0.0001,1e-05,20,2,,,1802.3339290618896
82,model_type.poincare,activation.dmelu,0.8648,0.38316596,0.8857391,0.31718192,82,0.0001,1e-05,20,2,,,1822.0417993068695
83,model_type.poincare,activation.dmelu,0.8645,0.3840755,0.8859892,0.3163243,83,0.0001,1e-05,20,2,,,1844.2922050952911
84,model_type.poincare,activation.dmelu,0.8641,0.38285348,0.8856557,0.31583035,84,0.0001,1e-05,20,2,,,1865.4960715770721
85,model_type.poincare,activation.dmelu,0.86399996,0.38155407,0.8867229,0.31496376,85,0.0001,1e-05,20,2,,,1885.272409915924
86,model_type.poincare,activation.dmelu,0.86359996,0.3800763,0.8871565,0.31412876,86,0.0001,1e-05,20,2,,,1905.0072112083435
87,model_type.poincare,activation.dmelu,0.8655,0.38070157,0.88759005,0.31377366,87,0.0001,1e-05,20,2,,,1924.9681885242462
88,model_type.poincare,activation.dmelu,0.86469996,0.38024935,0.8879402,0.31268343,88,0.0001,1e-05,20,2,,,1946.8206870555878
89,model_type.poincare,activation.dmelu,0.86579996,0.38088527,0.88780683,0.3122701,89,0.0001,1e-05,20,2,,,1969.1126379966736
