,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.5432,1.4622772,0.5655683,1.5327502,0,0.0001,1e-05,20,2,,,11.213865995407104
1,model_type.euclidean,activation.dmelu,0.61399996,1.2420586,0.7401948,0.88284105,1,0.0001,1e-05,20,2,,,20.970510244369507
2,model_type.euclidean,activation.dmelu,0.6454,1.1612694,0.78406817,0.7345446,2,0.0001,1e-05,20,2,,,30.73237895965576
3,model_type.euclidean,activation.dmelu,0.6684,1.0741726,0.80571306,0.6596549,3,0.0001,1e-05,20,2,,,40.04066276550293
4,model_type.euclidean,activation.dmelu,0.6863,1.0137181,0.8195871,0.609629,4,0.0001,1e-05,20,2,,,49.56710696220398
5,model_type.euclidean,activation.dmelu,0.6957,0.97926337,0.82977587,0.5742589,5,0.0001,1e-05,20,2,,,58.849639892578125
6,model_type.euclidean,activation.dmelu,0.7039,0.95056796,0.8373966,0.5478817,6,0.0001,1e-05,20,2,,,68.25870752334595
7,model_type.euclidean,activation.dmelu,0.71419996,0.92110604,0.8436666,0.52711433,7,0.0001,1e-05,20,2,,,77.73628783226013
8,model_type.euclidean,activation.dmelu,0.7159,0.9115362,0.848119,0.50978094,8,0.0001,1e-05,20,2,,,86.80137848854065
9,model_type.euclidean,activation.dmelu,0.7195,0.906686,0.8522212,0.49522334,9,0.0001,1e-05,20,2,,,96.30606150627136
10,model_type.euclidean,activation.dmelu,0.7273,0.8773537,0.8548559,0.48237464,10,0.0001,1e-05,20,2,,,105.53846216201782
11,model_type.euclidean,activation.dmelu,0.7328,0.86478055,0.8583411,0.47072944,11,0.0001,1e-05,20,2,,,115.18742442131042
12,model_type.euclidean,activation.dmelu,0.73359996,0.8627966,0.8620598,0.46056244,12,0.0001,1e-05,20,2,,,124.57235479354858
13,model_type.euclidean,activation.dmelu,0.72959995,0.8661409,0.8643777,0.4512399,13,0.0001,1e-05,20,2,,,134.20604944229126
14,model_type.euclidean,activation.dmelu,0.7371,0.8431378,0.8665955,0.44253856,14,0.0001,1e-05,20,2,,,143.2288372516632
15,model_type.euclidean,activation.dmelu,0.7406,0.83407605,0.869347,0.43441963,15,0.0001,1e-05,20,2,,,153.14339518547058
16,model_type.euclidean,activation.dmelu,0.742,0.82826465,0.8716816,0.426742,16,0.0001,1e-05,20,2,,,162.3862235546112
17,model_type.euclidean,activation.dmelu,0.7457,0.82295305,0.8737327,0.41969702,17,0.0001,1e-05,20,2,,,171.37688398361206
18,model_type.euclidean,activation.dmelu,0.7477,0.8105445,0.8753502,0.41268423,18,0.0001,1e-05,20,2,,,180.97234869003296
19,model_type.euclidean,activation.dmelu,0.7488,0.81155556,0.8771178,0.40629444,19,0.0001,1e-05,20,2,,,190.19227075576782
20,model_type.euclidean,activation.dmelu,0.752,0.7986082,0.8789521,0.39990485,20,0.0001,1e-05,20,2,,,199.71107840538025
21,model_type.euclidean,activation.dmelu,0.754,0.79418385,0.8814868,0.39402053,21,0.0001,1e-05,20,2,,,209.50256323814392
22,model_type.euclidean,activation.dmelu,0.7528,0.79122037,0.8832377,0.3884547,22,0.0001,1e-05,20,2,,,218.6930046081543
23,model_type.euclidean,activation.dmelu,0.756,0.786772,0.88505536,0.38278437,23,0.0001,1e-05,20,2,,,227.73704171180725
