,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.58849996,1.3368714,0.59338313,1.3335124,0,0.0001,1e-05,20,2,,,23.364392042160034
1,model_type.hyperbolic,activation.dmelu,0.6554,1.1015269,0.77563035,0.78280044,1,0.0001,1e-05,20,2,,,45.74870419502258
2,model_type.hyperbolic,activation.dmelu,0.6874,1.0002189,0.813734,0.6365632,2,0.0001,1e-05,20,2,,,68.30964255332947
3,model_type.hyperbolic,activation.dmelu,0.6946,0.9694746,0.8318937,0.5678761,3,0.0001,1e-05,20,2,,,91.04969644546509
4,model_type.hyperbolic,activation.dmelu,0.71099997,0.91556853,0.8437,0.52690566,4,0.0001,1e-05,20,2,,,114.35380911827087
5,model_type.hyperbolic,activation.dmelu,0.7222,0.8871823,0.8526214,0.49644533,5,0.0001,1e-05,20,2,,,136.64488196372986
6,model_type.hyperbolic,activation.dmelu,0.7276,0.86282635,0.8584745,0.4728612,6,0.0001,1e-05,20,2,,,159.7363772392273
7,model_type.hyperbolic,activation.dmelu,0.73649997,0.8383555,0.86507803,0.4537936,7,0.0001,1e-05,20,2,,,183.18578839302063
8,model_type.hyperbolic,activation.dmelu,0.74149996,0.8282383,0.8702975,0.43619817,8,0.0001,1e-05,20,2,,,205.6414098739624
9,model_type.hyperbolic,activation.dmelu,0.74799997,0.801106,0.8745164,0.4216284,9,0.0001,1e-05,20,2,,,229.4364902973175
10,model_type.hyperbolic,activation.dmelu,0.7524,0.78696537,0.8783184,0.4084282,10,0.0001,1e-05,20,2,,,253.47646164894104
11,model_type.hyperbolic,activation.dmelu,0.75619996,0.77750134,0.8819704,0.39637858,11,0.0001,1e-05,20,2,,,276.0648572444916
12,model_type.hyperbolic,activation.dmelu,0.7535,0.7899788,0.8855556,0.38510925,12,0.0001,1e-05,20,2,,,299.22517013549805
13,model_type.hyperbolic,activation.dmelu,0.765,0.75242126,0.8883738,0.3750621,13,0.0001,1e-05,20,2,,,323.340802192688
14,model_type.hyperbolic,activation.dmelu,0.77089995,0.74474734,0.8916922,0.36600426,14,0.0001,1e-05,20,2,,,347.4286916255951
15,model_type.hyperbolic,activation.dmelu,0.769,0.74622405,0.89374334,0.35790572,15,0.0001,1e-05,20,2,,,370.2241883277893
16,model_type.hyperbolic,activation.dmelu,0.77889997,0.7262384,0.89611125,0.3499748,16,0.0001,1e-05,20,2,,,393.3595163822174
17,model_type.hyperbolic,activation.dmelu,0.7813,0.7142401,0.8976621,0.34293184,17,0.0001,1e-05,20,2,,,415.9377484321594
18,model_type.hyperbolic,activation.dmelu,0.7851,0.70696837,0.90071374,0.33620927,18,0.0001,1e-05,20,2,,,439.3046660423279
19,model_type.hyperbolic,activation.dmelu,0.78419995,0.71089363,0.90198106,0.33063012,19,0.0001,1e-05,20,2,,,461.6310625076294
20,model_type.hyperbolic,activation.dmelu,0.78529996,0.7071702,0.90354854,0.3250557,20,0.0001,1e-05,20,2,,,484.5721414089203
21,model_type.hyperbolic,activation.dmelu,0.7859,0.7012635,0.9052161,0.32022735,21,0.0001,1e-05,20,2,,,508.58924412727356
22,model_type.hyperbolic,activation.dmelu,0.79209995,0.6857512,0.9063667,0.31537196,22,0.0001,1e-05,20,2,,,532.1732804775238
23,model_type.hyperbolic,activation.dmelu,0.788,0.6912647,0.90765077,0.310911,23,0.0001,1e-05,20,2,,,555.6295113563538
24,model_type.hyperbolic,activation.dmelu,0.78929996,0.68792176,0.9098186,0.30688602,24,0.0001,1e-05,20,2,,,578.3178441524506
25,model_type.hyperbolic,activation.dmelu,0.79109997,0.6821958,0.910052,0.30306572,25,0.0001,1e-05,20,2,,,601.3208215236664
26,model_type.hyperbolic,activation.dmelu,0.79109997,0.6925153,0.91181964,0.29913917,26,0.0001,1e-05,20,2,,,623.9392638206482
27,model_type.hyperbolic,activation.dmelu,0.7941,0.6826769,0.91308695,0.29582095,27,0.0001,1e-05,20,2,,,647.1892790794373
28,model_type.hyperbolic,activation.dmelu,0.7941,0.675231,0.91387075,0.29266527,28,0.0001,1e-05,20,2,,,669.7202315330505
29,model_type.hyperbolic,activation.dmelu,0.79569995,0.67486876,0.91440433,0.28996485,29,0.0001,1e-05,20,2,,,693.076553106308
30,model_type.hyperbolic,activation.dmelu,0.7948,0.6837387,0.9158051,0.2867313,30,0.0001,1e-05,20,2,,,715.8348340988159
31,model_type.hyperbolic,activation.dmelu,0.7966,0.67332745,0.91618866,0.28418243,31,0.0001,1e-05,20,2,,,738.6915862560272
32,model_type.hyperbolic,activation.dmelu,0.7955,0.6751339,0.9173059,0.28116393,32,0.0001,1e-05,20,2,,,762.3473317623138
33,model_type.hyperbolic,activation.dmelu,0.7971,0.6827094,0.9183898,0.27878672,33,0.0001,1e-05,20,2,,,786.3123693466187
34,model_type.hyperbolic,activation.dmelu,0.79749995,0.67447156,0.9183064,0.2769881,34,0.0001,1e-05,20,2,,,809.2293334007263
35,model_type.hyperbolic,activation.dmelu,0.7955,0.680824,0.9194904,0.27445406,35,0.0001,1e-05,20,2,,,833.0937159061432
36,model_type.hyperbolic,activation.dmelu,0.8005,0.66859806,0.92019075,0.27206707,36,0.0001,1e-05,20,2,,,856.4062991142273
37,model_type.hyperbolic,activation.dmelu,0.79859996,0.6737756,0.91999066,0.26968205,37,0.0001,1e-05,20,2,,,878.8053793907166
38,model_type.hyperbolic,activation.dmelu,0.80009997,0.6662178,0.92107457,0.26807404,38,0.0001,1e-05,20,2,,,900.9143760204315
39,model_type.hyperbolic,activation.dmelu,0.7996,0.6715432,0.92127466,0.265692,39,0.0001,1e-05,20,2,,,923.5815765857697
40,model_type.hyperbolic,activation.dmelu,0.80259997,0.65787697,0.9216749,0.26415256,40,0.0001,1e-05,20,2,,,946.0711946487427
41,model_type.hyperbolic,activation.dmelu,0.8002,0.6745388,0.92279214,0.26231816,41,0.0001,1e-05,20,2,,,969.8831005096436
42,model_type.hyperbolic,activation.dmelu,0.80039996,0.66805226,0.9233758,0.26025474,42,0.0001,1e-05,20,2,,,992.9647154808044
43,model_type.hyperbolic,activation.dmelu,0.8021,0.6639173,0.92379266,0.25855017,43,0.0001,1e-05,20,2,,,1016.7231953144073
44,model_type.hyperbolic,activation.dmelu,0.8012,0.6686479,0.9244764,0.25729004,44,0.0001,1e-05,20,2,,,1040.6093790531158
45,model_type.hyperbolic,activation.dmelu,0.80009997,0.67247844,0.92465985,0.25559923,45,0.0001,1e-05,20,2,,,1063.8540077209473
46,model_type.hyperbolic,activation.dmelu,0.80259997,0.6644237,0.9254936,0.25375655,46,0.0001,1e-05,20,2,,,1087.2751705646515
