,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.6094,1.2630227,0.63770676,1.1609377,0,0.0001,1e-05,20,2,,,25.909409761428833
1,model_type.hyperbolic,activation.identity,0.65459996,1.0929215,0.7800327,0.724751,1,0.0001,1e-05,20,2,,,48.786736488342285
2,model_type.hyperbolic,activation.identity,0.67789996,1.0300128,0.8071805,0.6354346,2,0.0001,1e-05,20,2,,,71.83627796173096
3,model_type.hyperbolic,activation.identity,0.69449997,0.99076015,0.8209378,0.5930577,3,0.0001,1e-05,20,2,,,95.01597261428833
4,model_type.hyperbolic,activation.identity,0.6985,0.9870494,0.8282584,0.5674731,4,0.0001,1e-05,20,2,,,118.03526329994202
5,model_type.hyperbolic,activation.identity,0.70879996,0.9619243,0.8337113,0.549057,5,0.0001,1e-05,20,2,,,140.84068322181702
6,model_type.hyperbolic,activation.identity,0.71029997,0.94438964,0.8380803,0.5363432,6,0.0001,1e-05,20,2,,,163.2216441631317
7,model_type.hyperbolic,activation.identity,0.7109,0.9442732,0.8403649,0.5257627,7,0.0001,1e-05,20,2,,,186.31306552886963
8,model_type.hyperbolic,activation.identity,0.7173,0.9204044,0.8437166,0.5166631,8,0.0001,1e-05,20,2,,,209.24498844146729
9,model_type.hyperbolic,activation.identity,0.7224,0.9182164,0.8458511,0.50915253,9,0.0001,1e-05,20,2,,,232.60694932937622
10,model_type.hyperbolic,activation.identity,0.7241,0.9160109,0.84916955,0.50197566,10,0.0001,1e-05,20,2,,,256.63863039016724
11,model_type.hyperbolic,activation.identity,0.7249,0.9183667,0.85053694,0.49622044,11,0.0001,1e-05,20,2,,,279.70568227767944
12,model_type.hyperbolic,activation.identity,0.7273,0.90051574,0.85272145,0.49046576,12,0.0001,1e-05,20,2,,,302.9300184249878
13,model_type.hyperbolic,activation.identity,0.7265,0.90945965,0.8535719,0.48600549,13,0.0001,1e-05,20,2,,,326.22452759742737
14,model_type.hyperbolic,activation.identity,0.7292,0.89824766,0.85408884,0.4817067,14,0.0001,1e-05,20,2,,,348.28879570961
15,model_type.hyperbolic,activation.identity,0.7262,0.91289043,0.85674024,0.47756678,15,0.0001,1e-05,20,2,,,371.5572214126587
16,model_type.hyperbolic,activation.identity,0.7334,0.88551223,0.85760736,0.47422603,16,0.0001,1e-05,20,2,,,394.5745460987091
17,model_type.hyperbolic,activation.identity,0.7299,0.9043737,0.8584412,0.47064117,17,0.0001,1e-05,20,2,,,416.8657138347626
18,model_type.hyperbolic,activation.identity,0.7333,0.891811,0.85997534,0.467049,18,0.0001,1e-05,20,2,,,439.74220848083496
19,model_type.hyperbolic,activation.identity,0.7326,0.88920236,0.86097586,0.46423072,19,0.0001,1e-05,20,2,,,461.5702884197235
20,model_type.hyperbolic,activation.identity,0.7326,0.8942554,0.861943,0.4611639,20,0.0001,1e-05,20,2,,,484.1904320716858
21,model_type.hyperbolic,activation.identity,0.73569995,0.88493943,0.8621098,0.45901206,21,0.0001,1e-05,20,2,,,507.588271856308
22,model_type.hyperbolic,activation.identity,0.7337,0.8836,0.8627601,0.45638812,22,0.0001,1e-05,20,2,,,531.2057008743286
23,model_type.hyperbolic,activation.identity,0.7323,0.89669687,0.8640108,0.45398504,23,0.0001,1e-05,20,2,,,555.1444182395935
24,model_type.hyperbolic,activation.identity,0.73289996,0.89193535,0.86562836,0.45099738,24,0.0001,1e-05,20,2,,,579.9277815818787
25,model_type.hyperbolic,activation.identity,0.7349,0.8882567,0.86621195,0.4485338,25,0.0001,1e-05,20,2,,,603.1601057052612
26,model_type.hyperbolic,activation.identity,0.7348,0.88699406,0.8662787,0.4467365,26,0.0001,1e-05,20,2,,,626.312358379364
27,model_type.hyperbolic,activation.identity,0.7374,0.87527883,0.8668623,0.44439065,27,0.0001,1e-05,20,2,,,649.773179769516
28,model_type.hyperbolic,activation.identity,0.7364,0.88055634,0.8679296,0.44197738,28,0.0001,1e-05,20,2,,,672.638959646225
29,model_type.hyperbolic,activation.identity,0.7381,0.8808998,0.8677128,0.4402223,29,0.0001,1e-05,20,2,,,695.4674332141876
30,model_type.hyperbolic,activation.identity,0.73789996,0.8738621,0.86878,0.43830094,30,0.0001,1e-05,20,2,,,718.5728838443756
31,model_type.hyperbolic,activation.identity,0.7389,0.8725831,0.86958045,0.43576083,31,0.0001,1e-05,20,2,,,741.8297271728516
32,model_type.hyperbolic,activation.identity,0.74039996,0.8614794,0.8697472,0.43344232,32,0.0001,1e-05,20,2,,,765.182112455368
