,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.logr,activation.identity,0.5724,1.4218105,0.64247596,1.4221728,0,0.0001,1e-05,20,1,,,3.478092670440674
1,model_type.logr,activation.identity,0.6245,1.2381657,0.7559698,0.9079619,1,0.0001,1e-05,20,1,,,6.501977920532227
2,model_type.logr,activation.identity,0.64699996,1.1592541,0.7836012,0.7781057,2,0.0001,1e-05,20,1,,,9.589092016220093
3,model_type.logr,activation.identity,0.65999997,1.113972,0.7961246,0.71765196,3,0.0001,1e-05,20,1,,,12.88227915763855
4,model_type.logr,activation.identity,0.66719997,1.097736,0.8028782,0.68314844,4,0.0001,1e-05,20,1,,,15.781418323516846
5,model_type.logr,activation.identity,0.67219996,1.0744358,0.8080143,0.6611006,5,0.0001,1e-05,20,1,,,19.011552572250366
6,model_type.logr,activation.identity,0.67609996,1.0589188,0.8122165,0.645389,6,0.0001,1e-05,20,1,,,22.17203187942505
7,model_type.logr,activation.identity,0.6825,1.0473871,0.81445104,0.633963,7,0.0001,1e-05,20,1,,,25.288334608078003
8,model_type.logr,activation.identity,0.6842,1.0411059,0.8166022,0.6252739,8,0.0001,1e-05,20,1,,,28.33722233772278
9,model_type.logr,activation.identity,0.6881,1.0347855,0.8184865,0.61834455,9,0.0001,1e-05,20,1,,,31.344838857650757
10,model_type.logr,activation.identity,0.6913,1.0272006,0.8191869,0.61262405,10,0.0001,1e-05,20,1,,,34.45650100708008
11,model_type.logr,activation.identity,0.6895,1.026022,0.82175493,0.6077085,11,0.0001,1e-05,20,1,,,37.57597517967224
12,model_type.logr,activation.identity,0.69299996,1.028347,0.82295555,0.6038438,12,0.0001,1e-05,20,1,,,40.74966382980347
13,model_type.logr,activation.identity,0.6928,1.0221287,0.8234058,0.6001432,13,0.0001,1e-05,20,1,,,43.651346921920776
14,model_type.logr,activation.identity,0.6925,1.023991,0.8248399,0.59702176,14,0.0001,1e-05,20,1,,,46.83218812942505
15,model_type.logr,activation.identity,0.6935,1.0174505,0.8260072,0.59406906,15,0.0001,1e-05,20,1,,,49.99728035926819
16,model_type.logr,activation.identity,0.6964,1.0159197,0.82599056,0.5915746,16,0.0001,1e-05,20,1,,,53.06415152549744
17,model_type.logr,activation.identity,0.69619995,1.0165625,0.8266075,0.589489,17,0.0001,1e-05,20,1,,,56.241310358047485
18,model_type.logr,activation.identity,0.69589996,1.019427,0.8269244,0.58735436,18,0.0001,1e-05,20,1,,,59.35294485092163
19,model_type.logr,activation.identity,0.6979,1.0113629,0.8282084,0.58537686,19,0.0001,1e-05,20,1,,,62.428356647491455
20,model_type.logr,activation.identity,0.69769996,1.0152254,0.8286086,0.58362424,20,0.0001,1e-05,20,1,,,65.51176333427429
21,model_type.logr,activation.identity,0.6971,1.01121,0.8296925,0.58186084,21,0.0001,1e-05,20,1,,,68.5395278930664
22,model_type.logr,activation.identity,0.699,1.0112984,0.8296258,0.58063394,22,0.0001,1e-05,20,1,,,71.53690242767334
23,model_type.logr,activation.identity,0.6994,1.0061903,0.83005935,0.57899725,23,0.0001,1e-05,20,1,,,74.51422381401062
24,model_type.logr,activation.identity,0.6987,1.01247,0.83087647,0.5778641,24,0.0001,1e-05,20,1,,,77.71286582946777
25,model_type.logr,activation.identity,0.7001,1.0082351,0.8313267,0.57665825,25,0.0001,1e-05,20,1,,,80.99830031394958
26,model_type.logr,activation.identity,0.69979995,1.0095989,0.8314434,0.57538396,26,0.0001,1e-05,20,1,,,83.9754867553711
27,model_type.logr,activation.identity,0.6992,1.0100489,0.83221054,0.5743048,27,0.0001,1e-05,20,1,,,86.88058495521545
28,model_type.logr,activation.identity,0.7001,1.0099304,0.83221054,0.5731869,28,0.0001,1e-05,20,1,,,90.49826049804688
29,model_type.logr,activation.identity,0.6999,1.0130572,0.83279413,0.57223904,29,0.0001,1e-05,20,1,,,93.4664614200592
30,model_type.logr,activation.identity,0.7005,1.0103626,0.8330443,0.57126015,30,0.0001,1e-05,20,1,,,96.63733053207397
31,model_type.logr,activation.identity,0.7005,1.0060152,0.8330943,0.5702592,31,0.0001,1e-05,20,1,,,99.74443411827087
32,model_type.logr,activation.identity,0.7007,1.0089873,0.8332444,0.56939626,32,0.0001,1e-05,20,1,,,102.90176153182983
33,model_type.logr,activation.identity,0.7001,1.00892,0.8341115,0.5682004,33,0.0001,1e-05,20,1,,,105.90625286102295
34,model_type.logr,activation.identity,0.70019996,1.0079597,0.8340782,0.5675316,34,0.0001,1e-05,20,1,,,109.14902973175049
35,model_type.logr,activation.identity,0.7005,1.0117913,0.83469516,0.56684893,35,0.0001,1e-05,20,1,,,112.26713538169861
36,model_type.logr,activation.identity,0.7025,1.0056987,0.8348786,0.566266,36,0.0001,1e-05,20,1,,,115.24784326553345
37,model_type.logr,activation.identity,0.7014,1.0101014,0.83456177,0.5654809,37,0.0001,1e-05,20,1,,,118.27614545822144
38,model_type.logr,activation.identity,0.7001,1.0101051,0.8352621,0.5646932,38,0.0001,1e-05,20,1,,,121.41386485099792
39,model_type.logr,activation.identity,0.701,1.0097212,0.83559567,0.56379837,39,0.0001,1e-05,20,1,,,124.4671618938446
