,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.5394,1.5692493,0.5540622,1.6950912,0,0.0001,1e-05,20,2,,,72.78255462646484
1,model_type.poincare,activation.dmelu,0.61109996,1.3003805,0.72780484,1.0277512,1,0.0001,1e-05,20,2,,,97.19343280792236
2,model_type.poincare,activation.dmelu,0.6364,1.1873728,0.76737595,0.81452334,2,0.0001,1e-05,20,2,,,119.84227657318115
3,model_type.poincare,activation.dmelu,0.655,1.1264354,0.78591913,0.7207365,3,0.0001,1e-05,20,2,,,144.1151864528656
4,model_type.poincare,activation.dmelu,0.67069995,1.0718142,0.7995264,0.6666295,4,0.0001,1e-05,20,2,,,167.5369749069214
5,model_type.poincare,activation.dmelu,0.6816,1.0415328,0.8109825,0.6294835,5,0.0001,1e-05,20,2,,,191.32529640197754
6,model_type.poincare,activation.dmelu,0.692,1.0092378,0.8191869,0.60147405,6,0.0001,1e-05,20,2,,,215.36861038208008
7,model_type.poincare,activation.dmelu,0.6956,0.99379814,0.8266409,0.5791323,7,0.0001,1e-05,20,2,,,238.85584950447083
8,model_type.poincare,activation.dmelu,0.7036,0.9695935,0.83199376,0.56036055,8,0.0001,1e-05,20,2,,,262.33291482925415
9,model_type.poincare,activation.dmelu,0.7102,0.9497463,0.83566236,0.5448676,9,0.0001,1e-05,20,2,,,286.91871547698975
10,model_type.poincare,activation.dmelu,0.7132,0.9359706,0.83968115,0.5310893,10,0.0001,1e-05,20,2,,,311.00630712509155
11,model_type.poincare,activation.dmelu,0.718,0.92627,0.8437667,0.5187468,11,0.0001,1e-05,20,2,,,336.5230965614319
12,model_type.poincare,activation.dmelu,0.7236,0.9089943,0.84675163,0.5074271,12,0.0001,1e-05,20,2,,,361.5826847553253
13,model_type.poincare,activation.dmelu,0.7231,0.90220696,0.84943634,0.49719933,13,0.0001,1e-05,20,2,,,387.70035886764526
14,model_type.poincare,activation.dmelu,0.72889996,0.890597,0.853105,0.48749056,14,0.0001,1e-05,20,2,,,411.83587622642517
15,model_type.poincare,activation.dmelu,0.7333,0.8765995,0.855623,0.47810134,15,0.0001,1e-05,20,2,,,436.36967039108276
16,model_type.poincare,activation.dmelu,0.73499995,0.8684229,0.8582244,0.4694777,16,0.0001,1e-05,20,2,,,460.17863726615906
17,model_type.poincare,activation.dmelu,0.738,0.8595093,0.8606423,0.46111566,17,0.0001,1e-05,20,2,,,483.9862205982208
18,model_type.poincare,activation.dmelu,0.7381,0.85544735,0.863127,0.45319796,18,0.0001,1e-05,20,2,,,507.1581563949585
19,model_type.poincare,activation.dmelu,0.7412,0.8498246,0.86512804,0.4454181,19,0.0001,1e-05,20,2,,,530.5054893493652
20,model_type.poincare,activation.dmelu,0.7468,0.8346316,0.8677295,0.4375147,20,0.0001,1e-05,20,2,,,552.7262198925018
21,model_type.poincare,activation.dmelu,0.7471,0.82734275,0.8702975,0.43043163,21,0.0001,1e-05,20,2,,,575.5625686645508
22,model_type.poincare,activation.dmelu,0.7478,0.8318278,0.8715815,0.42367932,22,0.0001,1e-05,20,2,,,598.4387276172638
23,model_type.poincare,activation.dmelu,0.75079995,0.8152719,0.87359923,0.41708645,23,0.0001,1e-05,20,2,,,621.8166658878326
24,model_type.poincare,activation.dmelu,0.75369996,0.811419,0.87571704,0.41065994,24,0.0001,1e-05,20,2,,,645.8330399990082
25,model_type.poincare,activation.dmelu,0.75619996,0.80000776,0.87781817,0.40467325,25,0.0001,1e-05,20,2,,,670.3924250602722
26,model_type.poincare,activation.dmelu,0.75909996,0.79286003,0.8793023,0.39894196,26,0.0001,1e-05,20,2,,,695.4988629817963
27,model_type.poincare,activation.dmelu,0.7614,0.7886554,0.8815535,0.39293295,27,0.0001,1e-05,20,2,,,720.7920746803284
28,model_type.poincare,activation.dmelu,0.7618,0.7837963,0.88273746,0.38784814,28,0.0001,1e-05,20,2,,,745.4096300601959
29,model_type.poincare,activation.dmelu,0.7643,0.7794327,0.8833044,0.38267115,29,0.0001,1e-05,20,2,,,769.0357971191406
