,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.8261,0.8090187,0.6415088,1.5037036,0,0.0001,1e-05,20,2,,,11.275721549987793
1,model_type.euclidean,activation.dmelu,0.8713,0.47549653,0.84943634,0.6128497,1,0.0001,1e-05,20,2,,,20.069191217422485
2,model_type.euclidean,activation.dmelu,0.8892,0.39061645,0.87921894,0.44013157,2,0.0001,1e-05,20,2,,,29.01441526412964
3,model_type.euclidean,activation.dmelu,0.9011,0.3485627,0.89354324,0.37846115,3,0.0001,1e-05,20,2,,,38.00266194343567
4,model_type.euclidean,activation.dmelu,0.908,0.32313418,0.9018143,0.34385866,4,0.0001,1e-05,20,2,,,46.7500433921814
5,model_type.euclidean,activation.dmelu,0.91429996,0.3056216,0.90765077,0.32106367,5,0.0001,1e-05,20,2,,,56.39583110809326
6,model_type.euclidean,activation.dmelu,0.91709995,0.292137,0.9126034,0.3039649,6,0.0001,1e-05,20,2,,,65.25397777557373
7,model_type.euclidean,activation.dmelu,0.9198,0.2827759,0.91630536,0.2908189,7,0.0001,1e-05,20,2,,,74.4020745754242
8,model_type.euclidean,activation.dmelu,0.92219996,0.27291375,0.91972387,0.28014562,8,0.0001,1e-05,20,2,,,83.69054651260376
9,model_type.euclidean,activation.dmelu,0.9242,0.26562148,0.92240864,0.27104783,9,0.0001,1e-05,20,2,,,92.90701651573181
10,model_type.euclidean,activation.dmelu,0.9256,0.2600539,0.924343,0.26309428,10,0.0001,1e-05,20,2,,,102.1662425994873
11,model_type.euclidean,activation.dmelu,0.9262,0.25305244,0.92654413,0.25627738,11,0.0001,1e-05,20,2,,,110.92373919487
12,model_type.euclidean,activation.dmelu,0.92789996,0.24882017,0.92812836,0.24983975,12,0.0001,1e-05,20,2,,,119.46916484832764
13,model_type.euclidean,activation.dmelu,0.93009996,0.24238643,0.9302128,0.24442592,13,0.0001,1e-05,20,2,,,128.1767098903656
14,model_type.euclidean,activation.dmelu,0.9317,0.23915479,0.931897,0.23916592,14,0.0001,1e-05,20,2,,,136.89912223815918
15,model_type.euclidean,activation.dmelu,0.9325,0.23488753,0.9329476,0.23410363,15,0.0001,1e-05,20,2,,,146.1600205898285
16,model_type.euclidean,activation.dmelu,0.9317,0.23174976,0.9341816,0.2296726,16,0.0001,1e-05,20,2,,,155.13691186904907
17,model_type.euclidean,activation.dmelu,0.9324,0.2301238,0.93578243,0.22512235,17,0.0001,1e-05,20,2,,,163.89639687538147
18,model_type.euclidean,activation.dmelu,0.93439996,0.22430542,0.93669957,0.22121924,18,0.0001,1e-05,20,2,,,173.52146887779236
19,model_type.euclidean,activation.dmelu,0.93539995,0.22082268,0.9378502,0.21724156,19,0.0001,1e-05,20,2,,,183.4043309688568
20,model_type.euclidean,activation.dmelu,0.9363,0.21687523,0.93941766,0.21352237,20,0.0001,1e-05,20,2,,,192.3745334148407
21,model_type.euclidean,activation.dmelu,0.93729997,0.21466365,0.9402181,0.20983274,21,0.0001,1e-05,20,2,,,202.72211527824402
22,model_type.euclidean,activation.dmelu,0.93729997,0.21207395,0.9410852,0.20637138,22,0.0001,1e-05,20,2,,,212.61092448234558
23,model_type.euclidean,activation.dmelu,0.9393,0.2083592,0.9423359,0.20296156,23,0.0001,1e-05,20,2,,,222.24588084220886
24,model_type.euclidean,activation.dmelu,0.93979996,0.20488262,0.94283617,0.19978015,24,0.0001,1e-05,20,2,,,231.75231170654297
25,model_type.euclidean,activation.dmelu,0.94,0.20309478,0.94395345,0.19663997,25,0.0001,1e-05,20,2,,,240.8879418373108
26,model_type.euclidean,activation.dmelu,0.94089997,0.1982625,0.9452041,0.19342862,26,0.0001,1e-05,20,2,,,250.1147449016571
27,model_type.euclidean,activation.dmelu,0.94159997,0.19707975,0.9457044,0.19061407,27,0.0001,1e-05,20,2,,,258.53718638420105
28,model_type.euclidean,activation.dmelu,0.9414,0.19442818,0.9466382,0.18763655,28,0.0001,1e-05,20,2,,,267.2966561317444
29,model_type.euclidean,activation.dmelu,0.9428,0.19141749,0.9475387,0.1848788,29,0.0001,1e-05,20,2,,,276.5791437625885
30,model_type.euclidean,activation.dmelu,0.94329995,0.1897365,0.948089,0.18200146,30,0.0001,1e-05,20,2,,,285.03538036346436
31,model_type.euclidean,activation.dmelu,0.94409996,0.18650979,0.94887275,0.17923148,31,0.0001,1e-05,20,2,,,294.0371561050415
32,model_type.euclidean,activation.dmelu,0.9446,0.18464205,0.94975656,0.17687197,32,0.0001,1e-05,20,2,,,302.9407126903534
33,model_type.euclidean,activation.dmelu,0.94549996,0.18156104,0.95034015,0.17439966,33,0.0001,1e-05,20,2,,,312.2372975349426
34,model_type.euclidean,activation.dmelu,0.9465,0.17991312,0.9509072,0.17167123,34,0.0001,1e-05,20,2,,,320.868536233902
35,model_type.euclidean,activation.dmelu,0.9468,0.17697531,0.9518076,0.16926487,35,0.0001,1e-05,20,2,,,329.7703046798706
36,model_type.euclidean,activation.dmelu,0.9472,0.17609417,0.95235795,0.16721971,36,0.0001,1e-05,20,2,,,338.78890228271484
37,model_type.euclidean,activation.dmelu,0.94759995,0.17412391,0.9530416,0.16487274,37,0.0001,1e-05,20,2,,,347.62259435653687
38,model_type.euclidean,activation.dmelu,0.9482,0.17268546,0.9534752,0.16266347,38,0.0001,1e-05,20,2,,,356.93816089630127
39,model_type.euclidean,activation.dmelu,0.9497,0.16944355,0.95397544,0.16046624,39,0.0001,1e-05,20,2,,,365.47803950309753
40,model_type.euclidean,activation.dmelu,0.951,0.16749373,0.9543757,0.15840384,40,0.0001,1e-05,20,2,,,374.977676153183
41,model_type.euclidean,activation.dmelu,0.9507,0.16612214,0.95514274,0.15649536,41,0.0001,1e-05,20,2,,,384.12961196899414
42,model_type.euclidean,activation.dmelu,0.9518,0.16452451,0.9554262,0.15427831,42,0.0001,1e-05,20,2,,,394.5486145019531
43,model_type.euclidean,activation.dmelu,0.9517,0.16259612,0.9556764,0.15267922,43,0.0001,1e-05,20,2,,,403.28468894958496
44,model_type.euclidean,activation.dmelu,0.9526,0.16100936,0.95620996,0.1506784,44,0.0001,1e-05,20,2,,,412.5829756259918
45,model_type.euclidean,activation.dmelu,0.9526,0.1602879,0.95726055,0.1487672,45,0.0001,1e-05,20,2,,,421.6519558429718
46,model_type.euclidean,activation.dmelu,0.95269996,0.16103183,0.95729387,0.14705007,46,0.0001,1e-05,20,2,,,431.0148403644562
47,model_type.euclidean,activation.dmelu,0.9547,0.15659863,0.9576441,0.14537884,47,0.0001,1e-05,20,2,,,440.6387948989868
48,model_type.euclidean,activation.dmelu,0.95379996,0.1551551,0.9583111,0.1437217,48,0.0001,1e-05,20,2,,,449.95371985435486
49,model_type.euclidean,activation.dmelu,0.954,0.15429024,0.9588614,0.14218739,49,0.0001,1e-05,20,2,,,459.19406366348267
50,model_type.euclidean,activation.dmelu,0.9568,0.15307143,0.9588947,0.14061779,50,0.0001,1e-05,20,2,,,468.583438873291
51,model_type.euclidean,activation.dmelu,0.95419997,0.15140556,0.9596785,0.1388054,51,0.0001,1e-05,20,2,,,478.70120000839233
52,model_type.euclidean,activation.dmelu,0.9558,0.15152109,0.95976186,0.13748343,52,0.0001,1e-05,20,2,,,487.55559515953064
53,model_type.euclidean,activation.dmelu,0.9564,0.14941101,0.9605456,0.13595977,53,0.0001,1e-05,20,2,,,497.1257610321045
54,model_type.euclidean,activation.dmelu,0.95559996,0.14897093,0.96112925,0.13453309,54,0.0001,1e-05,20,2,,,506.43211030960083
55,model_type.euclidean,activation.dmelu,0.9568,0.14696352,0.961246,0.1332162,55,0.0001,1e-05,20,2,,,515.4511942863464
56,model_type.euclidean,activation.dmelu,0.9568,0.14587042,0.9617463,0.13176255,56,0.0001,1e-05,20,2,,,524.8272662162781
57,model_type.euclidean,activation.dmelu,0.95739996,0.14430803,0.9616796,0.13042724,57,0.0001,1e-05,20,2,,,533.5594427585602
58,model_type.euclidean,activation.dmelu,0.9569,0.1431835,0.96197975,0.12916113,58,0.0001,1e-05,20,2,,,542.5689396858215
59,model_type.euclidean,activation.dmelu,0.95699996,0.14336684,0.9627468,0.1278621,59,0.0001,1e-05,20,2,,,551.4307634830475
60,model_type.euclidean,activation.dmelu,0.95629996,0.14233314,0.96339715,0.12650749,60,0.0001,1e-05,20,2,,,560.4541618824005
61,model_type.euclidean,activation.dmelu,0.9569,0.14147371,0.9634305,0.12537475,61,0.0001,1e-05,20,2,,,570.1088020801544
62,model_type.euclidean,activation.dmelu,0.95769995,0.1401511,0.9636473,0.124353446,62,0.0001,1e-05,20,2,,,578.8159708976746
63,model_type.euclidean,activation.dmelu,0.9579,0.139326,0.96421427,0.12303963,63,0.0001,1e-05,20,2,,,586.8092262744904
64,model_type.euclidean,activation.dmelu,0.958,0.13947773,0.964331,0.12196305,64,0.0001,1e-05,20,2,,,596.2735066413879
65,model_type.euclidean,activation.dmelu,0.9586,0.13748963,0.9647979,0.12082269,65,0.0001,1e-05,20,2,,,604.7692272663116
66,model_type.euclidean,activation.dmelu,0.9578,0.13755052,0.9649813,0.119533576,66,0.0001,1e-05,20,2,,,614.0744287967682
67,model_type.euclidean,activation.dmelu,0.95839995,0.13622966,0.9651981,0.11870247,67,0.0001,1e-05,20,2,,,623.0177652835846
68,model_type.euclidean,activation.dmelu,0.9583,0.13640888,0.96551496,0.11739986,68,0.0001,1e-05,20,2,,,632.4352407455444
