,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.8415,0.6282552,0.6596852,1.1918982,0,0.0001,1e-05,20,2,,,23.75716257095337
1,model_type.hyperbolic,activation.dmelu,0.89169997,0.4046051,0.8669457,0.5092256,1,0.0001,1e-05,20,2,,,45.34866380691528
2,model_type.hyperbolic,activation.dmelu,0.9077,0.3311289,0.895561,0.37544405,2,0.0001,1e-05,20,2,,,68.55880832672119
3,model_type.hyperbolic,activation.dmelu,0.9173,0.29378092,0.908818,0.32171074,3,0.0001,1e-05,20,2,,,90.75145673751831
4,model_type.hyperbolic,activation.dmelu,0.92149997,0.2730305,0.9166722,0.29235885,4,0.0001,1e-05,20,2,,,112.14161276817322
5,model_type.hyperbolic,activation.dmelu,0.92569995,0.25787774,0.9217749,0.2730135,5,0.0001,1e-05,20,2,,,134.2664122581482
6,model_type.hyperbolic,activation.dmelu,0.9287,0.24775381,0.9256103,0.25820702,6,0.0001,1e-05,20,2,,,155.62758493423462
7,model_type.hyperbolic,activation.dmelu,0.9316,0.2372947,0.92872864,0.24668905,7,0.0001,1e-05,20,2,,,177.3130760192871
8,model_type.hyperbolic,activation.dmelu,0.9327,0.23075351,0.93199706,0.23669763,8,0.0001,1e-05,20,2,,,198.32355046272278
9,model_type.hyperbolic,activation.dmelu,0.9353,0.22435379,0.9346318,0.2278205,9,0.0001,1e-05,20,2,,,219.09880900382996
10,model_type.hyperbolic,activation.dmelu,0.9375,0.21758713,0.93699974,0.22027732,10,0.0001,1e-05,20,2,,,238.8089518547058
11,model_type.hyperbolic,activation.dmelu,0.93799996,0.21318774,0.93916756,0.21335797,11,0.0001,1e-05,20,2,,,258.36428332328796
12,model_type.hyperbolic,activation.dmelu,0.93909997,0.2075854,0.9409852,0.20700376,12,0.0001,1e-05,20,2,,,277.9178421497345
13,model_type.hyperbolic,activation.dmelu,0.9402,0.20380728,0.9422025,0.2009772,13,0.0001,1e-05,20,2,,,299.3197057247162
14,model_type.hyperbolic,activation.dmelu,0.94229996,0.20069055,0.94397014,0.19615653,14,0.0001,1e-05,20,2,,,317.5976164340973
15,model_type.hyperbolic,activation.dmelu,0.9432,0.19672135,0.945004,0.19141753,15,0.0001,1e-05,20,2,,,338.8816993236542
16,model_type.hyperbolic,activation.dmelu,0.9439,0.19281091,0.94655484,0.18707979,16,0.0001,1e-05,20,2,,,359.05701971054077
17,model_type.hyperbolic,activation.dmelu,0.94589996,0.19093207,0.94765544,0.18274559,17,0.0001,1e-05,20,2,,,379.6937987804413
18,model_type.hyperbolic,activation.dmelu,0.9471,0.18794917,0.94900614,0.17877068,18,0.0001,1e-05,20,2,,,398.9934403896332
19,model_type.hyperbolic,activation.dmelu,0.9472,0.1855208,0.9496231,0.17544597,19,0.0001,1e-05,20,2,,,420.7605404853821
20,model_type.hyperbolic,activation.dmelu,0.9472,0.18330643,0.95120734,0.17199877,20,0.0001,1e-05,20,2,,,442.2671661376953
21,model_type.hyperbolic,activation.dmelu,0.94909996,0.18096374,0.95150745,0.1686912,21,0.0001,1e-05,20,2,,,463.14899802207947
22,model_type.hyperbolic,activation.dmelu,0.94939995,0.17915162,0.9529249,0.16573918,22,0.0001,1e-05,20,2,,,483.6635973453522
23,model_type.hyperbolic,activation.dmelu,0.94909996,0.17792088,0.95369196,0.16293453,23,0.0001,1e-05,20,2,,,503.4465847015381
