,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.86139995,0.53626907,0.6733091,1.1256722,0,0.0001,1e-05,20,2,,,25.09369158744812
1,model_type.hyperbolic,activation.identity,0.89839995,0.3712559,0.8756837,0.45821086,1,0.0001,1e-05,20,2,,,49.37584590911865
2,model_type.hyperbolic,activation.identity,0.9087,0.3264404,0.89844584,0.36270118,2,0.0001,1e-05,20,2,,,73.06229996681213
3,model_type.hyperbolic,activation.identity,0.91389996,0.3026997,0.90811765,0.32611442,3,0.0001,1e-05,20,2,,,97.03871321678162
4,model_type.hyperbolic,activation.identity,0.91889995,0.28979972,0.9134872,0.3057023,4,0.0001,1e-05,20,2,,,120.90673232078552
5,model_type.hyperbolic,activation.identity,0.9202,0.28164512,0.91733927,0.29293028,5,0.0001,1e-05,20,2,,,144.27515602111816
6,model_type.hyperbolic,activation.identity,0.9231,0.27406815,0.9198906,0.28335556,6,0.0001,1e-05,20,2,,,168.18016934394836
7,model_type.hyperbolic,activation.identity,0.9248,0.27065894,0.9223586,0.27625427,7,0.0001,1e-05,20,2,,,191.23691272735596
8,model_type.hyperbolic,activation.identity,0.9235,0.26820043,0.9241262,0.2702484,8,0.0001,1e-05,20,2,,,215.5397069454193
9,model_type.hyperbolic,activation.identity,0.9249,0.26436839,0.9256937,0.26541898,9,0.0001,1e-05,20,2,,,239.33892798423767
10,model_type.hyperbolic,activation.identity,0.92509997,0.26401636,0.92714447,0.26097012,10,0.0001,1e-05,20,2,,,264.1518852710724
11,model_type.hyperbolic,activation.identity,0.9263,0.25925136,0.92812836,0.25713748,11,0.0001,1e-05,20,2,,,287.85513043403625
12,model_type.hyperbolic,activation.identity,0.92649996,0.25873184,0.9295124,0.25412762,12,0.0001,1e-05,20,2,,,311.62043619155884
13,model_type.hyperbolic,activation.identity,0.92689997,0.25716886,0.92994595,0.2510154,13,0.0001,1e-05,20,2,,,335.34702253341675
14,model_type.hyperbolic,activation.identity,0.92819995,0.25372437,0.93076307,0.24865143,14,0.0001,1e-05,20,2,,,358.5044059753418
15,model_type.hyperbolic,activation.identity,0.92819995,0.25212443,0.9313134,0.24619624,15,0.0001,1e-05,20,2,,,381.991094827652
16,model_type.hyperbolic,activation.identity,0.9288,0.25152406,0.93219715,0.24343191,16,0.0001,1e-05,20,2,,,405.4560830593109
17,model_type.hyperbolic,activation.identity,0.9292,0.25104198,0.9327808,0.2414818,17,0.0001,1e-05,20,2,,,430.3383045196533
18,model_type.hyperbolic,activation.identity,0.92859995,0.24874736,0.933748,0.23964334,18,0.0001,1e-05,20,2,,,453.75148844718933
19,model_type.hyperbolic,activation.identity,0.92929995,0.24806428,0.9337647,0.23733054,19,0.0001,1e-05,20,2,,,477.6808533668518
20,model_type.hyperbolic,activation.identity,0.92899996,0.24615428,0.9339314,0.23548944,20,0.0001,1e-05,20,2,,,501.61543130874634
21,model_type.hyperbolic,activation.identity,0.92829996,0.24834357,0.9347652,0.23364413,21,0.0001,1e-05,20,2,,,525.228687286377
22,model_type.hyperbolic,activation.identity,0.9302,0.24368465,0.9351154,0.23209496,22,0.0001,1e-05,20,2,,,549.1155035495758
23,model_type.hyperbolic,activation.identity,0.93039995,0.24450561,0.93581575,0.23006104,23,0.0001,1e-05,20,2,,,573.839272737503
24,model_type.hyperbolic,activation.identity,0.9298,0.24324526,0.9362327,0.22831088,24,0.0001,1e-05,20,2,,,598.2150640487671
25,model_type.hyperbolic,activation.identity,0.9298,0.24348786,0.9364661,0.22658123,25,0.0001,1e-05,20,2,,,622.1864824295044
26,model_type.hyperbolic,activation.identity,0.93119997,0.24030215,0.9370998,0.22483191,26,0.0001,1e-05,20,2,,,644.9052393436432
27,model_type.hyperbolic,activation.identity,0.9313,0.24082018,0.93693304,0.22329292,27,0.0001,1e-05,20,2,,,670.1040918827057
28,model_type.hyperbolic,activation.identity,0.93179995,0.23736447,0.9376501,0.22165327,28,0.0001,1e-05,20,2,,,693.5754606723785
29,model_type.hyperbolic,activation.identity,0.9327,0.23680696,0.9376501,0.22015865,29,0.0001,1e-05,20,2,,,717.3246836662292
30,model_type.hyperbolic,activation.identity,0.93189996,0.23552316,0.9385005,0.21841447,30,0.0001,1e-05,20,2,,,740.2368488311768
31,model_type.hyperbolic,activation.identity,0.9325,0.23678687,0.9389841,0.21686177,31,0.0001,1e-05,20,2,,,764.0147542953491
32,model_type.hyperbolic,activation.identity,0.9335,0.23334338,0.93933433,0.21555804,32,0.0001,1e-05,20,2,,,787.7250788211823
33,model_type.hyperbolic,activation.identity,0.9316,0.23580003,0.93945104,0.21405691,33,0.0001,1e-05,20,2,,,811.4026954174042
34,model_type.hyperbolic,activation.identity,0.9328,0.23292637,0.9398512,0.21211421,34,0.0001,1e-05,20,2,,,834.9542577266693
35,model_type.hyperbolic,activation.identity,0.9334,0.23146917,0.94020146,0.21129891,35,0.0001,1e-05,20,2,,,859.0999796390533
36,model_type.hyperbolic,activation.identity,0.9328,0.23002101,0.94020146,0.20992716,36,0.0001,1e-05,20,2,,,882.1476881504059
37,model_type.hyperbolic,activation.identity,0.9331,0.23170434,0.94135207,0.20821753,37,0.0001,1e-05,20,2,,,905.5697875022888
38,model_type.hyperbolic,activation.identity,0.9332,0.23030545,0.9413354,0.20692042,38,0.0001,1e-05,20,2,,,928.5248188972473
39,model_type.hyperbolic,activation.identity,0.93359995,0.22887242,0.942536,0.20594946,39,0.0001,1e-05,20,2,,,952.0565826892853
40,model_type.hyperbolic,activation.identity,0.93359995,0.22787222,0.9423192,0.20434792,40,0.0001,1e-05,20,2,,,975.5275361537933
41,model_type.hyperbolic,activation.identity,0.9328,0.22750679,0.9421358,0.20345995,41,0.0001,1e-05,20,2,,,998.733225107193
42,model_type.hyperbolic,activation.identity,0.93439996,0.22611113,0.9434198,0.20177026,42,0.0001,1e-05,20,2,,,1022.406218290329
43,model_type.hyperbolic,activation.identity,0.9356,0.22634612,0.9434198,0.20086917,43,0.0001,1e-05,20,2,,,1045.8396453857422
44,model_type.hyperbolic,activation.identity,0.9363,0.2241585,0.9435032,0.19942579,44,0.0001,1e-05,20,2,,,1069.5931961536407
45,model_type.hyperbolic,activation.identity,0.93659997,0.22284566,0.94410354,0.19828698,45,0.0001,1e-05,20,2,,,1094.066513299942
46,model_type.hyperbolic,activation.identity,0.93479997,0.22279768,0.9446205,0.1968165,46,0.0001,1e-05,20,2,,,1117.808346271515
47,model_type.hyperbolic,activation.identity,0.93549997,0.22291535,0.94528747,0.19537616,47,0.0001,1e-05,20,2,,,1141.870829820633
48,model_type.hyperbolic,activation.identity,0.935,0.2209766,0.9448039,0.19434495,48,0.0001,1e-05,20,2,,,1165.790622472763
49,model_type.hyperbolic,activation.identity,0.93649995,0.22166248,0.9448373,0.19351916,49,0.0001,1e-05,20,2,,,1189.0079228878021
50,model_type.hyperbolic,activation.identity,0.93689996,0.22031075,0.9458878,0.19219193,50,0.0001,1e-05,20,2,,,1213.1951174736023
51,model_type.hyperbolic,activation.identity,0.93759996,0.21990322,0.9462547,0.19151364,51,0.0001,1e-05,20,2,,,1236.9161393642426
52,model_type.hyperbolic,activation.identity,0.9364,0.22028142,0.94665486,0.19019681,52,0.0001,1e-05,20,2,,,1261.2122333049774
53,model_type.hyperbolic,activation.identity,0.93649995,0.21631399,0.9464381,0.1890106,53,0.0001,1e-05,20,2,,,1284.8724417686462
54,model_type.hyperbolic,activation.identity,0.9382,0.21730517,0.9470051,0.1879488,54,0.0001,1e-05,20,2,,,1308.8457162380219
55,model_type.hyperbolic,activation.identity,0.93659997,0.21635035,0.9473219,0.18699938,55,0.0001,1e-05,20,2,,,1333.1389210224152
56,model_type.hyperbolic,activation.identity,0.9367,0.21691088,0.94778883,0.18594484,56,0.0001,1e-05,20,2,,,1355.2832689285278
57,model_type.hyperbolic,activation.identity,0.937,0.21605276,0.9474553,0.18508294,57,0.0001,1e-05,20,2,,,1379.1466841697693
58,model_type.hyperbolic,activation.identity,0.9378,0.21694416,0.94797224,0.1841484,58,0.0001,1e-05,20,2,,,1403.2802991867065
59,model_type.hyperbolic,activation.identity,0.93719995,0.21558374,0.9484058,0.18307847,59,0.0001,1e-05,20,2,,,1427.9648344516754
