,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.logr,activation.identity,0.8419,0.8570323,0.73247397,1.3754762,0,0.0001,1e-05,20,1,,,4.874203205108643
1,model_type.logr,activation.identity,0.87469995,0.5821453,0.85160416,0.71583986,1,0.0001,1e-05,20,1,,,8.357909202575684
2,model_type.logr,activation.identity,0.8896,0.47499585,0.8726488,0.5439409,2,0.0001,1e-05,20,1,,,11.987934350967407
3,model_type.logr,activation.identity,0.8962,0.4185882,0.88430494,0.4647078,3,0.0001,1e-05,20,1,,,15.312342882156372
4,model_type.logr,activation.identity,0.9032,0.38381952,0.8921425,0.41896284,4,0.0001,1e-05,20,1,,,18.657947063446045
5,model_type.logr,activation.identity,0.9055,0.3622134,0.89716184,0.38921005,5,0.0001,1e-05,20,1,,,22.190616369247437
6,model_type.logr,activation.identity,0.90929997,0.34533808,0.901214,0.36887902,6,0.0001,1e-05,20,1,,,25.609471797943115
7,model_type.logr,activation.identity,0.9111,0.33334905,0.90463245,0.3537696,7,0.0001,1e-05,20,1,,,29.10771417617798
8,model_type.logr,activation.identity,0.91279995,0.32454318,0.90686697,0.34222695,8,0.0001,1e-05,20,1,,,33.05450940132141
9,model_type.logr,activation.identity,0.9147,0.31646383,0.9088014,0.33323404,9,0.0001,1e-05,20,1,,,36.483938694000244
10,model_type.logr,activation.identity,0.91609997,0.31101355,0.91053563,0.3256918,10,0.0001,1e-05,20,1,,,40.05441212654114
11,model_type.logr,activation.identity,0.91569996,0.30594137,0.91186965,0.31968462,11,0.0001,1e-05,20,1,,,43.499237060546875
12,model_type.logr,activation.identity,0.91609997,0.30206743,0.9132037,0.31437242,12,0.0001,1e-05,20,1,,,46.89582800865173
13,model_type.logr,activation.identity,0.91789997,0.29825002,0.91440433,0.3099607,13,0.0001,1e-05,20,1,,,50.48008179664612
14,model_type.logr,activation.identity,0.91819996,0.2957182,0.9151214,0.30585614,14,0.0001,1e-05,20,1,,,53.85378408432007
15,model_type.logr,activation.identity,0.91929996,0.2931689,0.9158384,0.30258164,15,0.0001,1e-05,20,1,,,57.36915874481201
16,model_type.logr,activation.identity,0.9173,0.29066697,0.91670555,0.29948553,16,0.0001,1e-05,20,1,,,60.62631130218506
17,model_type.logr,activation.identity,0.91889995,0.28866577,0.91788954,0.29679585,17,0.0001,1e-05,20,1,,,64.09457683563232
18,model_type.logr,activation.identity,0.9199,0.2862654,0.9185232,0.29425454,18,0.0001,1e-05,20,1,,,67.71417045593262
19,model_type.logr,activation.identity,0.921,0.28452,0.91897345,0.29191473,19,0.0001,1e-05,20,1,,,71.07001900672913
20,model_type.logr,activation.identity,0.92039996,0.28422365,0.91912353,0.2898736,20,0.0001,1e-05,20,1,,,74.60082411766052
21,model_type.logr,activation.identity,0.9216,0.28271902,0.9199073,0.2879838,21,0.0001,1e-05,20,1,,,78.4090268611908
22,model_type.logr,activation.identity,0.92139995,0.28038052,0.9205243,0.28616765,22,0.0001,1e-05,20,1,,,82.11151885986328
23,model_type.logr,activation.identity,0.92179996,0.2797674,0.9209412,0.28461212,23,0.0001,1e-05,20,1,,,85.76329851150513
24,model_type.logr,activation.identity,0.9226,0.2791191,0.9211913,0.28288904,24,0.0001,1e-05,20,1,,,89.15067744255066
25,model_type.logr,activation.identity,0.9228,0.27789432,0.92132473,0.2814701,25,0.0001,1e-05,20,1,,,92.62725520133972
26,model_type.logr,activation.identity,0.923,0.27651456,0.9217249,0.2802095,26,0.0001,1e-05,20,1,,,96.19565629959106
27,model_type.logr,activation.identity,0.923,0.27633378,0.921825,0.27882195,27,0.0001,1e-05,20,1,,,99.68793559074402
28,model_type.logr,activation.identity,0.92329997,0.27502584,0.92230856,0.27776313,28,0.0001,1e-05,20,1,,,102.98457860946655
29,model_type.logr,activation.identity,0.9234,0.2744992,0.92234194,0.27660546,29,0.0001,1e-05,20,1,,,106.4782886505127
30,model_type.logr,activation.identity,0.9237,0.27398202,0.9231423,0.27545273,30,0.0001,1e-05,20,1,,,109.875559091568
31,model_type.logr,activation.identity,0.92359996,0.27288508,0.9233758,0.27461153,31,0.0001,1e-05,20,1,,,113.43015933036804
32,model_type.logr,activation.identity,0.92359996,0.27259776,0.9235759,0.27349442,32,0.0001,1e-05,20,1,,,116.93038702011108
33,model_type.logr,activation.identity,0.9237,0.27210683,0.924443,0.27248222,33,0.0001,1e-05,20,1,,,120.41219449043274
34,model_type.logr,activation.identity,0.9238,0.27166486,0.9244097,0.2718093,34,0.0001,1e-05,20,1,,,123.98818182945251
35,model_type.logr,activation.identity,0.9242,0.2705336,0.92402613,0.27074918,35,0.0001,1e-05,20,1,,,127.41811537742615
36,model_type.logr,activation.identity,0.92399997,0.2701905,0.92475986,0.2701249,36,0.0001,1e-05,20,1,,,130.87006449699402
37,model_type.logr,activation.identity,0.9249,0.2698214,0.92465985,0.26927444,37,0.0001,1e-05,20,1,,,134.3882167339325
38,model_type.logr,activation.identity,0.9238,0.2694792,0.9249433,0.2686028,38,0.0001,1e-05,20,1,,,137.88970756530762
39,model_type.logr,activation.identity,0.9244,0.26949498,0.92506003,0.26774818,39,0.0001,1e-05,20,1,,,141.5859875679016
40,model_type.logr,activation.identity,0.9242,0.26884696,0.9252935,0.26695645,40,0.0001,1e-05,20,1,,,144.72463822364807
41,model_type.logr,activation.identity,0.9248,0.26852143,0.92572707,0.2664535,41,0.0001,1e-05,20,1,,,149.4628667831421
42,model_type.logr,activation.identity,0.9252,0.26790705,0.925577,0.2658621,42,0.0001,1e-05,20,1,,,152.5247962474823
43,model_type.logr,activation.identity,0.9253,0.26795053,0.92596054,0.2652269,43,0.0001,1e-05,20,1,,,155.46774196624756
44,model_type.logr,activation.identity,0.9242,0.26751882,0.926244,0.26449877,44,0.0001,1e-05,20,1,,,158.4661900997162
45,model_type.logr,activation.identity,0.9246,0.26681498,0.92602724,0.2641483,45,0.0001,1e-05,20,1,,,161.4116725921631
46,model_type.logr,activation.identity,0.9249,0.2669152,0.92616063,0.26349828,46,0.0001,1e-05,20,1,,,164.32555961608887
47,model_type.logr,activation.identity,0.92569995,0.26654533,0.9265108,0.26303032,47,0.0001,1e-05,20,1,,,167.29489946365356
48,model_type.logr,activation.identity,0.9255,0.2665726,0.9265775,0.26241213,48,0.0001,1e-05,20,1,,,170.22399950027466
49,model_type.logr,activation.identity,0.9253,0.26620457,0.9268777,0.26195064,49,0.0001,1e-05,20,1,,,173.213928937912
50,model_type.logr,activation.identity,0.92539996,0.26566136,0.9269444,0.26155496,50,0.0001,1e-05,20,1,,,176.235036611557
51,model_type.logr,activation.identity,0.92609996,0.26619312,0.9273946,0.26079455,51,0.0001,1e-05,20,1,,,179.17826199531555
52,model_type.logr,activation.identity,0.926,0.2651796,0.92721117,0.26058,52,0.0001,1e-05,20,1,,,182.19539999961853
53,model_type.logr,activation.identity,0.9256,0.26539665,0.9276614,0.26015574,53,0.0001,1e-05,20,1,,,185.22012901306152
54,model_type.logr,activation.identity,0.9255,0.26601565,0.9276614,0.25961792,54,0.0001,1e-05,20,1,,,188.26964902877808
55,model_type.logr,activation.identity,0.92579997,0.26538986,0.9277781,0.25917244,55,0.0001,1e-05,20,1,,,191.3096263408661
56,model_type.logr,activation.identity,0.9263,0.26488176,0.9277114,0.25876978,56,0.0001,1e-05,20,1,,,194.17653489112854
57,model_type.logr,activation.identity,0.92609996,0.26443344,0.9279449,0.25839242,57,0.0001,1e-05,20,1,,,197.21661901474
58,model_type.logr,activation.identity,0.92579997,0.26409283,0.9282284,0.25803888,58,0.0001,1e-05,20,1,,,200.2525155544281
59,model_type.logr,activation.identity,0.9263,0.26384264,0.92826176,0.25771493,59,0.0001,1e-05,20,1,,,203.1864025592804
60,model_type.logr,activation.identity,0.926,0.2646807,0.92832845,0.25727695,60,0.0001,1e-05,20,1,,,206.2541286945343
61,model_type.logr,activation.identity,0.92649996,0.26366338,0.92851186,0.25682363,61,0.0001,1e-05,20,1,,,209.14129424095154
62,model_type.logr,activation.identity,0.9263,0.26426545,0.9290288,0.25638938,62,0.0001,1e-05,20,1,,,211.9552981853485
63,model_type.logr,activation.identity,0.9264,0.26389498,0.9290955,0.2561428,63,0.0001,1e-05,20,1,,,215.06052017211914
64,model_type.logr,activation.identity,0.9266,0.2637151,0.9289121,0.25577757,64,0.0001,1e-05,20,1,,,218.07815742492676
65,model_type.logr,activation.identity,0.926,0.2632952,0.92879534,0.25551122,65,0.0001,1e-05,20,1,,,221.0371687412262
