,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.74079996,0.97728926,0.581827,1.5870224,0,0.0001,1e-05,20,2,,,24.01129722595215
1,model_type.poincare,activation.dmelu,0.852,0.6090913,0.80222785,0.7746843,1,0.0001,1e-05,20,2,,,46.37621712684631
2,model_type.poincare,activation.dmelu,0.8847,0.4524041,0.8643443,0.5342124,2,0.0001,1e-05,20,2,,,68.87601113319397
3,model_type.poincare,activation.dmelu,0.8953,0.37825528,0.8866062,0.4244584,3,0.0001,1e-05,20,2,,,89.8373863697052
4,model_type.poincare,activation.dmelu,0.9061,0.33646336,0.89844584,0.36701643,4,0.0001,1e-05,20,2,,,112.35699367523193
5,model_type.poincare,activation.dmelu,0.9108,0.31106806,0.90625,0.33300757,5,0.0001,1e-05,20,2,,,136.069349527359
6,model_type.poincare,activation.dmelu,0.9152,0.29401276,0.91180295,0.31050965,6,0.0001,1e-05,20,2,,,158.1969916820526
7,model_type.poincare,activation.dmelu,0.91749996,0.2808644,0.91542155,0.29431257,7,0.0001,1e-05,20,2,,,179.88552570343018
8,model_type.poincare,activation.dmelu,0.9202,0.27223417,0.91909015,0.28193915,8,0.0001,1e-05,20,2,,,201.62525129318237
9,model_type.poincare,activation.dmelu,0.9223,0.26269954,0.92150813,0.27235848,9,0.0001,1e-05,20,2,,,223.98584604263306
10,model_type.poincare,activation.dmelu,0.9245,0.25642198,0.9238594,0.26407892,10,0.0001,1e-05,20,2,,,245.03010416030884
11,model_type.poincare,activation.dmelu,0.9255,0.25147155,0.9254769,0.25696042,11,0.0001,1e-05,20,2,,,266.44150257110596
12,model_type.poincare,activation.dmelu,0.9278,0.24513188,0.92732793,0.25054327,12,0.0001,1e-05,20,2,,,287.9123685359955
13,model_type.poincare,activation.dmelu,0.9291,0.24043599,0.9291622,0.24484235,13,0.0001,1e-05,20,2,,,309.7407395839691
14,model_type.poincare,activation.dmelu,0.9309,0.23618177,0.9299293,0.23942658,14,0.0001,1e-05,20,2,,,330.8605480194092
15,model_type.poincare,activation.dmelu,0.93109995,0.23205689,0.93196374,0.23468193,15,0.0001,1e-05,20,2,,,351.88375186920166
16,model_type.poincare,activation.dmelu,0.932,0.22800305,0.93314767,0.2297761,16,0.0001,1e-05,20,2,,,373.97403144836426
17,model_type.poincare,activation.dmelu,0.9338,0.2238337,0.93468183,0.22551686,17,0.0001,1e-05,20,2,,,395.57945442199707
18,model_type.poincare,activation.dmelu,0.9342,0.2209072,0.93583244,0.22150539,18,0.0001,1e-05,20,2,,,415.9522759914398
19,model_type.poincare,activation.dmelu,0.935,0.21723172,0.9370998,0.21739446,19,0.0001,1e-05,20,2,,,435.7854919433594
