Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
eucl,relu,fmnist,0.757099986076355,0.6404892802238464,0.6253331556503199,1.129687191612685,0,0.01,1e-05,sgd,200,3,7.616958379745483
eucl,relu,fmnist,0.8066999912261963,0.5216943025588989,0.7978078358208955,0.5537981965394416,1,0.01,1e-05,sgd,200,3,15.171500205993652
eucl,relu,fmnist,0.8262999653816223,0.4780474603176117,0.8295409115138592,0.4744252219383142,2,0.01,1e-05,sgd,200,3,22.91573143005371
eucl,relu,fmnist,0.8399999737739563,0.4468051791191101,0.8435834221748401,0.4319794250767368,3,0.01,1e-05,sgd,200,3,30.476598024368286
eucl,relu,fmnist,0.8459999561309814,0.4281553328037262,0.8538945895522388,0.4056130820182341,4,0.01,1e-05,sgd,200,3,38.25154757499695
eucl,relu,fmnist,0.8468999862670898,0.42434433102607727,0.861307302771855,0.38431830578712006,5,0.01,1e-05,sgd,200,3,45.88425087928772
eucl,relu,fmnist,0.85589998960495,0.40198665857315063,0.8677038912579957,0.36754645438972056,6,0.01,1e-05,sgd,200,3,53.52875280380249
eucl,relu,fmnist,0.85589998960495,0.39007654786109924,0.8727345415778252,0.35381448998856646,7,0.01,1e-05,sgd,200,3,61.28554964065552
eucl,relu,fmnist,0.8550999760627747,0.3927631080150604,0.8773320895522388,0.3413941707930712,8,0.01,1e-05,sgd,200,3,68.92267441749573
eucl,relu,fmnist,0.8604999780654907,0.3867935240268707,0.8804637526652452,0.3310524343030412,9,0.01,1e-05,sgd,200,3,76.64520835876465
eucl,relu,fmnist,0.864799976348877,0.37101468443870544,0.8837953091684435,0.32091791565611416,10,0.01,1e-05,sgd,200,3,84.28835415840149
eucl,relu,fmnist,0.8642999529838562,0.36768868565559387,0.8874600213219617,0.31270972474901154,11,0.01,1e-05,sgd,200,3,92.0253336429596
eucl,relu,fmnist,0.8648999929428101,0.3776180148124695,0.8907082889125799,0.3033021267479671,12,0.01,1e-05,sgd,200,3,99.64891815185547
eucl,relu,fmnist,0.8700000047683716,0.3660479485988617,0.8912746535181236,0.2963835747003047,13,0.01,1e-05,sgd,200,3,107.32558703422546
eucl,relu,fmnist,0.8689000010490417,0.36485785245895386,0.8941897654584222,0.28917829751936613,14,0.01,1e-05,sgd,200,3,115.13312101364136
eucl,relu,fmnist,0.8750999569892883,0.3509521186351776,0.8965718283582089,0.2816050382835397,15,0.01,1e-05,sgd,200,3,122.75715470314026
eucl,relu,fmnist,0.8773999810218811,0.34225374460220337,0.8993536780383795,0.2758288635993436,16,0.01,1e-05,sgd,200,3,130.5324957370758
eucl,relu,fmnist,0.8734999895095825,0.3458839952945709,0.9014525586353944,0.2698672034624797,17,0.01,1e-05,sgd,200,3,138.1606101989746
eucl,relu,fmnist,0.8766999840736389,0.3478783667087555,0.9044343017057569,0.2630183490386396,18,0.01,1e-05,sgd,200,3,145.7856776714325
eucl,relu,fmnist,0.8780999779701233,0.34046757221221924,0.9066164712153518,0.2566128380135941,19,0.01,1e-05,sgd,200,3,153.63410568237305
eucl,relu,fmnist,0.8716999888420105,0.35694241523742676,0.9079490938166311,0.25199646456663544,20,0.01,1e-05,sgd,200,3,161.27222609519958
eucl,relu,fmnist,0.8834999799728394,0.33050382137298584,0.910147921108742,0.24645687163924612,21,0.01,1e-05,sgd,200,3,169.01993536949158
eucl,relu,fmnist,0.8637999892234802,0.3865538239479065,0.9117803837953091,0.24037446265122783,22,0.01,1e-05,sgd,200,3,176.65058040618896
eucl,relu,fmnist,0.883899986743927,0.3301692306995392,0.9144123134328358,0.23514376340040774,23,0.01,1e-05,sgd,200,3,184.27249479293823
eucl,relu,fmnist,0.8848999738693237,0.3328407108783722,0.9155950159914712,0.23122513214789475,24,0.01,1e-05,sgd,200,3,192.01480078697205
eucl,relu,fmnist,0.8834999799728394,0.33211082220077515,0.9176605810234542,0.22500461745443248,25,0.01,1e-05,sgd,200,3,199.66137623786926
eucl,relu,fmnist,0.8791999816894531,0.341805636882782,0.9189932036247335,0.2215785950120451,26,0.01,1e-05,sgd,200,3,207.32958674430847
eucl,relu,fmnist,0.8795999884605408,0.3390583097934723,0.921758395522388,0.2160350602747662,27,0.01,1e-05,sgd,200,3,215.02290606498718
eucl,relu,fmnist,0.8725999593734741,0.3549114167690277,0.9229744136460555,0.21260586770565143,28,0.01,1e-05,sgd,200,3,222.73051929473877
eucl,relu,fmnist,0.8855999708175659,0.33212801814079285,0.9245069296375267,0.20592606984086828,29,0.01,1e-05,sgd,200,3,230.38235425949097
eucl,relu,fmnist,0.875499963760376,0.367420494556427,0.925856210021322,0.20222504428629554,30,0.01,1e-05,sgd,200,3,237.94107508659363
eucl,relu,fmnist,0.8881999850273132,0.3219468891620636,0.9271055437100213,0.19703639476204604,31,0.01,1e-05,sgd,200,3,245.73155784606934
eucl,relu,fmnist,0.8784999847412109,0.3545120656490326,0.9292044243070362,0.1936297430349057,32,0.01,1e-05,sgd,200,3,253.2710645198822
eucl,relu,fmnist,0.8726999759674072,0.36702078580856323,0.931703091684435,0.18906685366019257,33,0.01,1e-05,sgd,200,3,260.99540853500366
eucl,relu,fmnist,0.8833000063896179,0.3399042785167694,0.9329357675906184,0.1860176037941406,34,0.01,1e-05,sgd,200,3,268.5749411582947
eucl,relu,fmnist,0.8866999745368958,0.3291007876396179,0.9341351279317697,0.18115863767164603,35,0.01,1e-05,sgd,200,3,276.19879627227783
eucl,relu,fmnist,0.8876999616622925,0.3300991654396057,0.9352345415778252,0.1784367698258651,36,0.01,1e-05,sgd,200,3,283.9241635799408
eucl,relu,fmnist,0.8811999559402466,0.35513564944267273,0.9366337953091685,0.17431710142570772,37,0.01,1e-05,sgd,200,3,291.56584668159485
eucl,relu,fmnist,0.8887999653816223,0.33764564990997314,0.9382995735607675,0.17069385638400944,38,0.01,1e-05,sgd,200,3,299.3402650356293
eucl,relu,fmnist,0.8829999566078186,0.35234132409095764,0.9395988805970149,0.16738592979631253,39,0.01,1e-05,sgd,200,3,306.9597179889679
eucl,relu,fmnist,0.882099986076355,0.359215646982193,0.9408315565031983,0.1636215938346536,40,0.01,1e-05,sgd,200,3,314.62739276885986
eucl,relu,fmnist,0.8895999789237976,0.32943785190582275,0.9430803571428571,0.15984118809856013,41,0.01,1e-05,sgd,200,3,322.36725330352783
eucl,relu,fmnist,0.8903999924659729,0.33484259247779846,0.9443796641791045,0.15440104081075012,42,0.01,1e-05,sgd,200,3,330.0396556854248
eucl,relu,fmnist,0.8921999931335449,0.3381831645965576,0.9442963752665245,0.1525077651411708,43,0.01,1e-05,sgd,200,3,337.7372975349426
eucl,relu,fmnist,0.8804000020027161,0.3751450479030609,0.9457789179104478,0.1500065392459125,44,0.01,1e-05,sgd,200,3,345.35949659347534
eucl,relu,fmnist,0.8878999948501587,0.3456290066242218,0.9465951492537313,0.14571111103984466,45,0.01,1e-05,sgd,200,3,352.92768025398254
