Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,fmnist,0.8654999732971191,0.39481019973754883,0.9123467484008528,0.24323192264225438,0,0.01,1e-05,sgd,20,1,11.497254610061646
hyp,relu,fmnist,0.8648999929428101,0.39494556188583374,0.9110807569296375,0.2435450739999697,1,0.01,1e-05,sgd,20,1,22.84399652481079
hyp,relu,fmnist,0.8658999800682068,0.39551791548728943,0.9120135927505331,0.2422606988248032,2,0.01,1e-05,sgd,20,1,34.33646774291992
hyp,relu,fmnist,0.8625999689102173,0.3972456455230713,0.9127798507462687,0.24237323638949312,3,0.01,1e-05,sgd,20,1,45.66722297668457
hyp,relu,fmnist,0.8637999892234802,0.39681780338287354,0.9130463752665245,0.2414331335359926,4,0.01,1e-05,sgd,20,1,56.97518253326416
hyp,relu,fmnist,0.8655999898910522,0.3969342112541199,0.913945895522388,0.24060144749229778,5,0.01,1e-05,sgd,20,1,68.43747353553772
hyp,relu,fmnist,0.8641999959945679,0.3967263400554657,0.9135461087420043,0.2403652500996648,6,0.01,1e-05,sgd,20,1,79.69308066368103
hyp,relu,fmnist,0.8626999855041504,0.39930853247642517,0.9147121535181236,0.2389310458972891,7,0.01,1e-05,sgd,20,1,91.17075705528259
hyp,relu,fmnist,0.8628999590873718,0.40042924880981445,0.9144956023454158,0.23853265622785605,8,0.01,1e-05,sgd,20,1,102.50088262557983
hyp,relu,fmnist,0.8631999492645264,0.3965127170085907,0.9132629264392325,0.2387452138099335,9,0.01,1e-05,sgd,20,1,113.6724808216095
hyp,relu,fmnist,0.865399956703186,0.3968222439289093,0.9142957089552238,0.2378936920092622,10,0.01,1e-05,sgd,20,1,125.15051031112671
hyp,relu,fmnist,0.85589998960495,0.41853296756744385,0.9151119402985075,0.23777356744606867,11,0.01,1e-05,sgd,20,1,136.3819432258606
hyp,relu,fmnist,0.8675999641418457,0.39190545678138733,0.9151785714285714,0.237089525630225,12,0.01,1e-05,sgd,20,1,147.73082637786865
hyp,relu,fmnist,0.8642999529838562,0.3997758626937866,0.9145289179104478,0.23637530535681925,13,0.01,1e-05,sgd,20,1,158.98569107055664
hyp,relu,fmnist,0.8628000020980835,0.4018325209617615,0.9154617537313433,0.23563725529496732,14,0.01,1e-05,sgd,20,1,170.36779499053955
hyp,relu,fmnist,0.857699990272522,0.43062880635261536,0.9154117803837953,0.2355585975655869,15,0.01,1e-05,sgd,20,1,181.69763588905334
hyp,relu,fmnist,0.8668999671936035,0.3913484513759613,0.9150286513859275,0.23498372335249046,16,0.01,1e-05,sgd,20,1,193.05469799041748
hyp,relu,fmnist,0.8641999959945679,0.4000445306301117,0.9146954957356077,0.2346021927901105,17,0.01,1e-05,sgd,20,1,204.45453143119812
hyp,relu,fmnist,0.8675000071525574,0.39792755246162415,0.915844882729211,0.23385941127994295,18,0.01,1e-05,sgd,20,1,215.81587076187134
hyp,relu,fmnist,0.8697999715805054,0.397195041179657,0.9151952292110874,0.23383930247269077,19,0.01,1e-05,sgd,20,1,227.22101378440857
hyp,relu,fmnist,0.8643999695777893,0.41553834080696106,0.9166444562899787,0.23295813587619296,20,0.01,1e-05,sgd,20,1,238.4616572856903
hyp,relu,fmnist,0.8596000075340271,0.40808239579200745,0.9169442963752665,0.23277929558682797,21,0.01,1e-05,sgd,20,1,249.7472791671753
hyp,relu,fmnist,0.8673999905586243,0.39976051449775696,0.9169442963752665,0.23241957975253622,22,0.01,1e-05,sgd,20,1,261.0996241569519
hyp,relu,fmnist,0.8690999746322632,0.3959120213985443,0.9172607942430704,0.23187729302070922,23,0.01,1e-05,sgd,20,1,272.38709568977356
hyp,relu,fmnist,0.8660999536514282,0.4028700888156891,0.9169776119402985,0.23090164615973227,24,0.01,1e-05,sgd,20,1,283.88083720207214
hyp,relu,fmnist,0.8603999614715576,0.40950554609298706,0.9172274786780383,0.23175089679229488,25,0.01,1e-05,sgd,20,1,295.22276520729065
hyp,relu,fmnist,0.8610999584197998,0.4102233350276947,0.9174440298507462,0.23059014618587392,26,0.01,1e-05,sgd,20,1,306.39418864250183
hyp,relu,fmnist,0.8661999702453613,0.39886751770973206,0.9171275319829424,0.23007884373002724,27,0.01,1e-05,sgd,20,1,317.91963958740234
hyp,relu,fmnist,0.8657999634742737,0.4104241728782654,0.9185934168443497,0.2294446715016736,28,0.01,1e-05,sgd,20,1,329.26386880874634
hyp,relu,fmnist,0.8657999634742737,0.40316832065582275,0.9188932569296375,0.22891628166346917,29,0.01,1e-05,sgd,20,1,340.6454453468323
hyp,relu,fmnist,0.8668999671936035,0.40043309330940247,0.917860474413646,0.22899171902236146,30,0.01,1e-05,sgd,20,1,351.9258472919464
