Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
lorentz,relu,fmnist,0.6699999570846558,0.9443676471710205,0.4553404850746269,1.5240956197288245,0,0.01,1e-05,sgd,40,2,10.873846292495728
lorentz,relu,fmnist,0.7423999905586243,0.707408607006073,0.7212153518123667,0.7803211521619419,1,0.01,1e-05,sgd,40,2,22.169062852859497
lorentz,relu,fmnist,0.7878999710083008,0.6009687185287476,0.7827991737739872,0.6081057699885704,2,0.01,1e-05,sgd,40,2,33.72649168968201
lorentz,relu,fmnist,0.8073999881744385,0.5388017892837524,0.8130330490405118,0.5292646880152383,3,0.01,1e-05,sgd,40,2,44.64257478713989
lorentz,relu,fmnist,0.8181999921798706,0.5135294198989868,0.8296408582089553,0.48643403854578543,4,0.01,1e-05,sgd,40,2,56.017704010009766
lorentz,relu,fmnist,0.828499972820282,0.483928382396698,0.8377531982942431,0.45811101613141325,5,0.01,1e-05,sgd,40,2,67.25819659233093
lorentz,relu,fmnist,0.8219999670982361,0.49892768263816833,0.8471481876332623,0.43676240723143256,6,0.01,1e-05,sgd,40,2,78.37932324409485
lorentz,relu,fmnist,0.8394999504089355,0.45484691858291626,0.8529284381663113,0.41943140723494327,7,0.01,1e-05,sgd,40,2,89.68984389305115
lorentz,relu,fmnist,0.8455999493598938,0.4434560537338257,0.857525986140725,0.4051756699646968,8,0.01,1e-05,sgd,40,2,100.64190077781677
lorentz,relu,fmnist,0.8440999984741211,0.44330286979675293,0.8618403518123667,0.39328430721691165,9,0.01,1e-05,sgd,40,2,111.94790172576904
lorentz,relu,fmnist,0.8482999801635742,0.43315717577934265,0.8651552505330491,0.3817936004097782,10,0.01,1e-05,sgd,40,2,123.21834540367126
lorentz,relu,fmnist,0.8455999493598938,0.4438115656375885,0.8687866471215352,0.37331509749009917,11,0.01,1e-05,sgd,40,2,134.24215650558472
lorentz,relu,fmnist,0.85589998960495,0.41004398465156555,0.8714852078891258,0.3658948179278801,12,0.01,1e-05,sgd,40,2,145.3960931301117
lorentz,relu,fmnist,0.8611999750137329,0.3997891843318939,0.8744169776119403,0.35804550513339195,13,0.01,1e-05,sgd,40,2,156.6398434638977
