Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,fmnist,0.8703999519348145,0.4144188463687897,0.9185601012793176,0.22212165019024155,0,0.01,1e-05,sgd,20,2,20.900182723999023
poincare,relu,fmnist,0.8748999834060669,0.4026508927345276,0.9189265724946695,0.22125322310162632,1,0.01,1e-05,sgd,20,2,41.938072204589844
poincare,relu,fmnist,0.8707999587059021,0.3986019492149353,0.9195262526652452,0.22198695622321005,2,0.01,1e-05,sgd,20,2,62.83729124069214
poincare,relu,fmnist,0.8733999729156494,0.4032212197780609,0.918077025586354,0.2219890427432144,3,0.01,1e-05,sgd,20,2,83.72920250892639
poincare,relu,fmnist,0.8697999715805054,0.4078746438026428,0.9194263059701493,0.2203892511941159,4,0.01,1e-05,sgd,20,2,104.81572484970093
poincare,relu,fmnist,0.8695999979972839,0.41939735412597656,0.9192763859275054,0.21913948707552608,5,0.01,1e-05,sgd,20,2,126.0879602432251
poincare,relu,fmnist,0.8739999532699585,0.4129118025302887,0.9206922974413646,0.21833449105487895,6,0.01,1e-05,sgd,20,2,147.18103981018066
poincare,relu,fmnist,0.8732999563217163,0.4075244963169098,0.9208588752665245,0.21799099721761148,7,0.01,1e-05,sgd,20,2,168.15077471733093
poincare,relu,fmnist,0.8657000064849854,0.42429009079933167,0.9189765458422174,0.2201278984649921,8,0.01,1e-05,sgd,20,2,189.07990622520447
poincare,relu,fmnist,0.8712999820709229,0.40208035707473755,0.9204757462686567,0.21660453040621427,9,0.01,1e-05,sgd,20,2,210.11715936660767
poincare,relu,fmnist,0.8714999556541443,0.4097662568092346,0.9214752132196162,0.21501643826235842,10,0.01,1e-05,sgd,20,2,231.01884961128235
poincare,relu,fmnist,0.864799976348877,0.4251613914966583,0.9214085820895522,0.2134222098346204,11,0.01,1e-05,sgd,20,2,252.0948417186737
poincare,relu,fmnist,0.8741999864578247,0.4085209369659424,0.9222081556503199,0.214769156447161,12,0.01,1e-05,sgd,20,2,272.9561913013458
poincare,relu,fmnist,0.8695999979972839,0.4097703993320465,0.9213086353944563,0.21645705572673,13,0.01,1e-05,sgd,20,2,293.94149017333984
poincare,relu,fmnist,0.8746999502182007,0.4146190285682678,0.9214585554371002,0.2137891799330648,14,0.01,1e-05,sgd,20,2,315.1034896373749
poincare,relu,fmnist,0.8658999800682068,0.4389650523662567,0.9220082622601279,0.21241008919248702,15,0.01,1e-05,sgd,20,2,335.9236891269684
poincare,relu,fmnist,0.8657000064849854,0.4280201196670532,0.9209088486140725,0.21412184188710348,16,0.01,1e-05,sgd,20,2,356.95828008651733
