,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.alexnet,0.31625205592105265,1.8063325819216276,0.27725005,1.8475176,0,0.01,0.0005,420.2309410572052
1,model_type.alexnet,0.3597861842105263,1.7835993955009861,0.38341156,1.6332641,1,0.01,0.0005,689.927267074585
2,model_type.alexnet,0.6464329769736842,0.9708627619241413,0.62569433,1.0191153,2,0.01,0.0005,947.7401916980743
3,model_type.alexnet,0.682360197368421,0.8480005640732614,0.71989286,0.7515304,3,0.01,0.0005,1202.896485567093
4,model_type.alexnet,0.7146381578947368,0.7541992632966292,0.7453918,0.67951334,4,0.01,0.0005,1462.3822405338287
5,model_type.alexnet,0.7323190789473685,0.7121065823655379,0.761496,0.6323963,5,0.01,0.0005,1718.5623412132263
6,model_type.alexnet,0.7313425164473685,0.7129776509184587,0.7740366,0.5978678,6,0.01,0.0005,1975.7643022537231
7,model_type.alexnet,0.7450657894736842,0.6740833615001879,0.78307486,0.57317525,7,0.01,0.0005,2234.1151020526886
8,model_type.alexnet,0.7501541940789473,0.6521849632263184,0.7901101,0.555153,8,0.01,0.0005,2492.962625980377
9,model_type.alexnet,0.7451171875,0.6682402711165579,0.79458934,0.5423962,9,0.01,0.0005,2752.9094030857086
10,model_type.alexnet,0.7394120065789473,0.6873758874441448,0.79885346,0.53184915,10,0.01,0.0005,3011.332453727722
11,model_type.alexnet,0.7427014802631579,0.6785062018193697,0.80171674,0.52147496,11,0.01,0.0005,3270.5190415382385
12,model_type.alexnet,0.7635176809210527,0.6203632825299313,0.80325896,0.5149053,12,0.01,0.0005,3528.3624544143677
13,model_type.alexnet,0.7579152960526315,0.6352934460890921,0.80689025,0.50707185,13,0.01,0.0005,3787.0620410442352
14,model_type.alexnet,0.7632606907894737,0.6146126358132613,0.80911446,0.5014347,14,0.01,0.0005,4047.9351301193237
15,model_type.alexnet,0.7568873355263158,0.6386093560018038,0.8107857,0.49545643,15,0.01,0.0005,4302.942764520645
16,model_type.alexnet,0.7557051809210527,0.6428227738330239,0.81252456,0.49090564,16,0.01,0.0005,4558.999522686005
17,model_type.alexnet,0.7581208881578947,0.6354756261173048,0.8139869,0.48658302,17,0.01,0.0005,4815.9138724803925
18,model_type.alexnet,0.7305715460526315,0.70795161159415,0.8153817,0.4812128,18,0.01,0.0005,5080.362124443054
19,model_type.alexnet,0.7569387335526315,0.6294002658442447,0.8165921,0.47796124,19,0.01,0.0005,5338.698348999023
20,model_type.alexnet,0.7657277960526315,0.6153567151019448,0.81867504,0.47345924,20,0.01,0.0005,5596.557988882065
21,model_type.alexnet,0.7637232730263158,0.6122084448212072,0.81982404,0.46982342,21,0.01,0.0005,5853.268015384674
22,model_type.alexnet,0.7732833059210527,0.596298518933748,0.8204016,0.46697626,22,0.01,0.0005,6110.263732433319
23,model_type.alexnet,0.7423930921052632,0.6813615309564691,0.82177794,0.46364978,23,0.01,0.0005,6370.55645775795
24,model_type.alexnet,0.7390522203947368,0.7021711311842266,0.8221773,0.46158403,24,0.01,0.0005,6629.156471729279
25,model_type.alexnet,0.7449629934210527,0.6816756160635697,0.82418036,0.4569697,25,0.01,0.0005,6886.953732967377
26,model_type.alexnet,0.7786800986842105,0.5792601547743145,0.8249484,0.45454976,26,0.01,0.0005,7155.689091205597
27,model_type.alexnet,0.7719469572368421,0.5972815155982971,0.8254706,0.45226267,27,0.01,0.0005,7414.189116239548
28,model_type.alexnet,0.7533922697368421,0.6338598822292528,0.8268101,0.44910556,28,0.01,0.0005,7671.128703355789
29,model_type.alexnet,0.7766755756578947,0.5921582610983598,0.82928014,0.44626248,29,0.01,0.0005,7932.470678329468
30,model_type.alexnet,0.7649568256578947,0.6020895336803637,0.82893604,0.44359943,30,0.01,0.0005,8191.25726723671
31,model_type.alexnet,0.7666015625,0.6267804754407782,0.83018947,0.4409433,31,0.01,0.0005,8448.180757284164
32,model_type.alexnet,0.7560135690789473,0.6565455166917098,0.8301649,0.43968767,32,0.01,0.0005,8706.506345510483
33,model_type.alexnet,0.7680921052631579,0.6100524852150365,0.8323584,0.43664694,33,0.01,0.0005,8963.261376619339
34,model_type.alexnet,0.7520045230263158,0.6447460118092989,0.83359957,0.4334531,34,0.01,0.0005,9222.885790586472
35,model_type.alexnet,0.7542660361842105,0.6502102456594768,0.8330773,0.43255305,35,0.01,0.0005,9480.03691291809
36,model_type.alexnet,0.7709189967105263,0.6162079666790209,0.83463186,0.42886674,36,0.01,0.0005,9737.184905529022
37,model_type.alexnet,0.7622841282894737,0.6358548277302792,0.8350619,0.42717206,37,0.01,0.0005,9996.030818223953
38,model_type.alexnet,0.7630037006578947,0.623297067064988,0.8476332,0.3968311,38,0.01,0.0005,10254.18209695816
39,model_type.alexnet,0.7613589638157895,0.6222617971269708,0.84792197,0.39298192,39,0.01,0.0005,10512.787523031235
40,model_type.alexnet,0.7611019736842105,0.6280858673547444,0.8489235,0.38983795,40,0.01,0.0005,10771.938020706177
