,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.alexnet,activation.relu,0.3560855263157895,1.7432841313512701,0.28708094,1.9431792,0,0.01,0.0005,535.7241911888123
1,model_type.alexnet,activation.relu,0.5428145559210527,1.2175530948136981,0.43815744,1.4970294,1,0.01,0.0005,812.9624421596527
2,model_type.alexnet,activation.relu,0.6709498355263158,0.8798714280128479,0.66129446,0.9173371,2,0.01,0.0005,1075.8280427455902
3,model_type.alexnet,activation.relu,0.6384662828947368,0.9675015430701407,0.724796,0.7338979,3,0.01,0.0005,1346.9266295433044
4,model_type.alexnet,activation.relu,0.7025596217105263,0.8063389439331857,0.750172,0.6618608,4,0.01,0.0005,1611.9157540798187
5,model_type.alexnet,activation.relu,0.7136615953947368,0.7575118573088395,0.76556355,0.6202504,5,0.01,0.0005,1882.4314081668854
6,model_type.alexnet,activation.relu,0.7304173519736842,0.7258179909304568,0.7764697,0.59117484,6,0.01,0.0005,2162.754125595093
7,model_type.alexnet,activation.relu,0.7406455592105263,0.6901147616536993,0.78524995,0.5686579,7,0.01,0.0005,2439.906453847885
8,model_type.alexnet,activation.relu,0.7211143092105263,0.7475018783619529,0.79006094,0.5536738,8,0.01,0.0005,2754.6770191192627
9,model_type.alexnet,activation.relu,0.763928865131579,0.625650029433401,0.7938274,0.54201007,9,0.01,0.0005,3027.893543958664
10,model_type.alexnet,activation.relu,0.734375,0.6922477326895061,0.7980793,0.53111047,10,0.01,0.0005,3300.801475048065
11,model_type.alexnet,activation.relu,0.7667043585526315,0.6144830490413465,0.80120677,0.5224697,11,0.01,0.0005,3573.9376254081726
12,model_type.alexnet,activation.relu,0.7581722861842105,0.6296359771176389,0.80400854,0.5148795,12,0.01,0.0005,3854.7840390205383
13,model_type.alexnet,activation.relu,0.7174650493421053,0.7557980229980067,0.8054402,0.50749177,13,0.01,0.0005,4120.20201921463
14,model_type.alexnet,activation.relu,0.7452199835526315,0.6653799508747301,0.8084079,0.5026712,14,0.01,0.0005,4402.635584592819
15,model_type.alexnet,activation.relu,0.7695826480263158,0.6074278197790447,0.80945855,0.49638104,15,0.01,0.0005,4674.6758248806
16,model_type.alexnet,activation.relu,0.7652138157894737,0.6323340535163879,0.81219894,0.49169466,16,0.01,0.0005,4942.6872136592865
17,model_type.alexnet,activation.relu,0.7520559210526315,0.6555757836291665,0.8139685,0.4875257,17,0.01,0.0005,5235.844789266586
18,model_type.alexnet,activation.relu,0.7509251644736842,0.6484276652336121,0.81468123,0.48396933,18,0.01,0.0005,5528.137835741043
19,model_type.alexnet,activation.relu,0.7461451480263158,0.6679093022095529,0.8171451,0.48049918,19,0.01,0.0005,5811.037342071533
20,model_type.alexnet,activation.relu,0.757092927631579,0.6435143539780065,0.8177595,0.47558403,20,0.01,0.0005,6088.042296886444
21,model_type.alexnet,activation.relu,0.7624897203947368,0.6167382503810682,0.8199469,0.47251123,21,0.01,0.0005,6362.745488405228
22,model_type.alexnet,activation.relu,0.7607935855263158,0.6199717584409212,0.8200575,0.4691283,22,0.01,0.0005,6668.386459350586
23,model_type.alexnet,activation.relu,0.7530324835526315,0.6563251771424946,0.8216305,0.46520928,23,0.01,0.0005,6960.192314863205
24,model_type.alexnet,activation.relu,0.7515419407894737,0.6481668760902003,0.822718,0.46147177,24,0.01,0.0005,7228.350337505341
25,model_type.alexnet,activation.relu,0.7716899671052632,0.5939351759458843,0.8241988,0.45900002,25,0.01,0.0005,7500.502146959305
26,model_type.alexnet,activation.relu,0.7528268914473685,0.6530825087898656,0.8251757,0.45610422,26,0.01,0.0005,7773.619504213333
27,model_type.alexnet,activation.relu,0.758069490131579,0.6406062998269734,0.82563657,0.45367876,27,0.01,0.0005,8054.221448421478
28,model_type.alexnet,activation.relu,0.7554995888157895,0.6724300039441962,0.82660735,0.4504045,28,0.01,0.0005,8318.635254144669
29,model_type.alexnet,activation.relu,0.7433182565789473,0.6706023090764096,0.82722795,0.44876924,29,0.01,0.0005,8588.041068315506
30,model_type.alexnet,activation.relu,0.7566303453947368,0.6366010527861746,0.82828474,0.44586223,30,0.01,0.0005,8885.59842467308
31,model_type.alexnet,activation.relu,0.7632092927631579,0.6402231862670497,0.8284199,0.44359103,31,0.01,0.0005,9148.939529180527
32,model_type.alexnet,activation.relu,0.7444490131578947,0.654868389430799,0.8308715,0.44078898,32,0.01,0.0005,9410.49576306343
33,model_type.alexnet,activation.relu,0.7498458059210527,0.6566227862709447,0.8306196,0.43824518,33,0.01,0.0005,9671.301779985428
34,model_type.alexnet,activation.relu,0.7465049342105263,0.6749408872503984,0.83229697,0.4359354,34,0.01,0.0005,9933.391629934311
35,model_type.alexnet,activation.relu,0.7530324835526315,0.6466372013092041,0.83312035,0.43372306,35,0.01,0.0005,10203.23655462265
36,model_type.alexnet,activation.relu,0.7599712171052632,0.6401923738027874,0.8339682,0.43037307,36,0.01,0.0005,10503.494888067245
37,model_type.alexnet,activation.relu,0.7607935855263158,0.6343703395441959,0.844899,0.399944,37,0.01,0.0005,10796.335711479187
38,model_type.alexnet,activation.relu,0.7590974506578947,0.6330175682118064,0.8479834,0.39389583,38,0.01,0.0005,11062.646367311478
39,model_type.alexnet,activation.relu,0.7602796052631579,0.6335044691437169,0.84959936,0.39012757,39,0.01,0.0005,11324.347601175308
