,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.halexnet,activation.relu,0.3824013157894737,1.6137896148782027,0.32378712,1.831221,0,0.01,0.0005,533.3007249832153
1,model_type.halexnet,activation.relu,0.6758326480263158,0.8755828455874795,0.59161794,1.1064436,1,0.01,0.0005,937.4388864040375
2,model_type.halexnet,activation.relu,0.671875,0.9094628440706354,0.7196962,0.7509881,2,0.01,0.0005,1332.9391469955444
3,model_type.halexnet,activation.relu,0.7101665296052632,0.7570141961700038,0.7491828,0.6669263,3,0.01,0.0005,1727.8814697265625
4,model_type.halexnet,activation.relu,0.7232216282894737,0.7413416849939447,0.7656742,0.6180524,4,0.01,0.0005,2157.7748918533325
5,model_type.halexnet,activation.relu,0.7286184210526315,0.7055571800784061,0.7775757,0.5886626,5,0.01,0.0005,2562.9295420646667
6,model_type.halexnet,activation.relu,0.7485608552631579,0.6603712910100034,0.7859627,0.56493735,6,0.01,0.0005,2969.978567838669
7,model_type.halexnet,activation.relu,0.7484066611842105,0.6583924952306246,0.7909703,0.55132174,7,0.01,0.0005,3398.639167547226
8,model_type.halexnet,activation.relu,0.740953947368421,0.7145840556998002,0.79548025,0.5385302,8,0.01,0.0005,3812.311546564102
9,model_type.halexnet,activation.relu,0.7257401315789473,0.7033932146273161,0.7999287,0.52772367,9,0.01,0.0005,4228.38920044899
10,model_type.halexnet,activation.relu,0.7496916118421053,0.6481468363812095,0.80185187,0.519862,10,0.01,0.0005,4650.98126244545
11,model_type.halexnet,activation.relu,0.7371504934210527,0.666917107607189,0.80534804,0.51081854,11,0.01,0.0005,5077.903995752335
12,model_type.halexnet,activation.relu,0.7475842927631579,0.6513461062782689,0.8061099,0.5050343,12,0.01,0.0005,5525.354585409164
13,model_type.halexnet,activation.relu,0.7419819078947368,0.6670870279010973,0.8092927,0.49799147,13,0.01,0.0005,5958.717922449112
14,model_type.halexnet,activation.relu,0.7554995888157895,0.6404104515125877,0.81154764,0.49241835,14,0.01,0.0005,6386.466185331345
15,model_type.halexnet,activation.relu,0.7511821546052632,0.6479846082235637,0.81252456,0.48799968,15,0.01,0.0005,6826.204374551773
16,model_type.halexnet,activation.relu,0.7733347039473685,0.5934995601051732,0.81504375,0.4828996,16,0.01,0.0005,7240.8110065460205
17,model_type.halexnet,activation.relu,0.7481496710526315,0.6617213205287331,0.8162849,0.47941372,17,0.01,0.0005,7667.8673620224
18,model_type.halexnet,activation.relu,0.7454769736842105,0.6733618723718744,0.81684405,0.47606808,18,0.01,0.0005,8122.483507394791
19,model_type.halexnet,activation.relu,0.7596114309210527,0.6323315124762686,0.81917274,0.4708491,19,0.01,0.0005,8552.32704782486
20,model_type.halexnet,activation.relu,0.7509765625,0.6471683163391916,0.8207211,0.46759793,20,0.01,0.0005,8971.090649843216
21,model_type.halexnet,activation.relu,0.7538548519736842,0.635915219783783,0.8215137,0.4644006,21,0.01,0.0005,9381.71450996399
22,model_type.halexnet,activation.relu,0.7526212993421053,0.6536495465981332,0.82283473,0.4615719,22,0.01,0.0005,9787.726699590683
23,model_type.halexnet,activation.relu,0.7689144736842105,0.6099018203584772,0.8239837,0.45833063,23,0.01,0.0005,10238.911436319351
24,model_type.halexnet,activation.relu,0.750256990131579,0.6387994446252522,0.82555056,0.45490015,24,0.01,0.0005,10707.898919582367
25,model_type.halexnet,activation.relu,0.7552425986842105,0.649016377172972,0.8253539,0.45248032,25,0.01,0.0005,11120.274856805801
26,model_type.halexnet,activation.relu,0.7608963815789473,0.6332821720524838,0.8274245,0.44856256,26,0.01,0.0005,11523.585393667221
27,model_type.halexnet,activation.relu,0.7779605263157895,0.5802288055419922,0.82741225,0.44621676,27,0.01,0.0005,11971.165975093842
28,model_type.halexnet,activation.relu,0.7540604440789473,0.6517709336782757,0.8287087,0.44403607,28,0.01,0.0005,12390.530424118042
29,model_type.halexnet,activation.relu,0.7377672697368421,0.6835882130422091,0.8293907,0.44143763,29,0.01,0.0005,12857.091069698334
30,model_type.halexnet,activation.relu,0.755139802631579,0.6408154682109231,0.8308469,0.43915993,30,0.01,0.0005,13291.729137897491
31,model_type.halexnet,activation.relu,0.7553453947368421,0.6303226696817499,0.8310374,0.4372645,31,0.01,0.0005,13719.695423603058
32,model_type.halexnet,activation.relu,0.7412109375,0.673986205929204,0.83253664,0.4324921,32,0.01,0.0005,14125.887360572815
33,model_type.halexnet,activation.relu,0.7629009046052632,0.6262382676726893,0.83294827,0.4314952,33,0.01,0.0005,14554.570949792862
34,model_type.halexnet,activation.relu,0.746813322368421,0.6637340878185473,0.8339068,0.42906088,34,0.01,0.0005,15018.496883630753
35,model_type.halexnet,activation.relu,0.7611533717105263,0.6183564129628634,0.83536917,0.4260997,35,0.01,0.0005,15452.007737636566
36,model_type.halexnet,activation.relu,0.7400287828947368,0.6981312130626879,0.83764255,0.42335424,36,0.01,0.0005,15918.515787124634
37,model_type.halexnet,activation.relu,0.7586348684210527,0.6433656090184262,0.8367762,0.42101672,37,0.01,0.0005,16369.129863739014
38,model_type.halexnet,activation.relu,0.7503597861842105,0.6637400451459383,0.8389021,0.418282,38,0.01,0.0005,16797.194984197617
39,model_type.halexnet,activation.relu,0.7618729440789473,0.6397503551683927,0.85121536,0.386398,39,0.01,0.0005,17270.74404478073
40,model_type.halexnet,activation.relu,0.762438322368421,0.6286357766703555,0.85302794,0.38117397,40,0.01,0.0005,17694.20070052147
41,model_type.halexnet,activation.relu,0.7612047697368421,0.6318811240949129,0.8544104,0.3775054,41,0.01,0.0005,18097.123430013657
