,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.alexnet,activation.relu,0.2201605902777778,2.1344234148661294,0.13506322,2.8599122,0,0.01,0.0005,79.93295431137085
1,model_type.alexnet,activation.relu,0.2409939236111111,2.0743606090545654,0.22173095,2.1087613,1,0.01,0.0005,155.30217957496643
2,model_type.alexnet,activation.relu,0.3396267361111111,1.805044584804111,0.27016646,1.9738657,2,0.01,0.0005,230.52720069885254
3,model_type.alexnet,activation.relu,0.3972439236111111,1.634166677792867,0.3456906,1.7632891,3,0.01,0.0005,305.8559672832489
4,model_type.alexnet,activation.relu,0.4181857638888889,1.5871103604634602,0.38930458,1.6414629,4,0.01,0.0005,382.31346249580383
5,model_type.alexnet,activation.relu,0.4567057291666667,1.4788357549243503,0.42913732,1.5427117,5,0.01,0.0005,458.1850278377533
6,model_type.alexnet,activation.relu,0.4973958333333333,1.353939135869344,0.45934698,1.4672164,6,0.01,0.0005,533.3475153446198
7,model_type.alexnet,activation.relu,0.5323350694444444,1.2795897987153795,0.48389485,1.4065707,7,0.01,0.0005,608.0831456184387
8,model_type.alexnet,activation.relu,0.5447048611111112,1.2651037507587009,0.5057818,1.3544503,8,0.01,0.0005,683.4346866607666
9,model_type.alexnet,activation.relu,0.5737847222222222,1.176996111869812,0.52926934,1.3032761,9,0.01,0.0005,759.9568367004395
10,model_type.alexnet,activation.relu,0.5705295138888888,1.1824544138378568,0.5486156,1.2548684,10,0.01,0.0005,835.7380323410034
11,model_type.alexnet,activation.relu,0.5984157986111112,1.135656436284383,0.5665213,1.2051781,11,0.01,0.0005,912.5316753387451
12,model_type.alexnet,activation.relu,0.6012369791666666,1.1347951491673787,0.59114915,1.1497734,12,0.01,0.0005,987.8192176818848
13,model_type.alexnet,activation.relu,0.6303168402777778,1.0559322304195828,0.61071545,1.0956255,13,0.01,0.0005,1063.2227320671082
14,model_type.alexnet,activation.relu,0.6614583333333334,0.9516663882467482,0.6271207,1.0556601,14,0.01,0.0005,1138.496191740036
15,model_type.alexnet,activation.relu,0.6690538194444444,0.9497661590576172,0.6431458,1.0097052,15,0.01,0.0005,1213.1748600006104
16,model_type.alexnet,activation.relu,0.669921875,0.9530085192786323,0.6634523,0.95502293,16,0.01,0.0005,1288.8707530498505
17,model_type.alexnet,activation.relu,0.7093098958333334,0.8404559161927965,0.6763964,0.91883606,17,0.01,0.0005,1364.2622022628784
18,model_type.alexnet,activation.relu,0.6962890625,0.8825952675607469,0.6910411,0.8786719,18,0.01,0.0005,1439.2110607624054
19,model_type.alexnet,activation.relu,0.7291666666666666,0.7704872820112441,0.7039853,0.841388,19,0.01,0.0005,1514.577122926712
20,model_type.alexnet,activation.relu,0.7234157986111112,0.8073946171336703,0.7149088,0.80900264,20,0.01,0.0005,1589.7123138904572
21,model_type.alexnet,activation.relu,0.7476128472222222,0.7272562980651855,0.72635245,0.77715963,21,0.01,0.0005,1665.1936218738556
22,model_type.alexnet,activation.relu,0.7149522569444444,0.8412984013557434,0.73543537,0.7500207,22,0.01,0.0005,1739.8512263298035
23,model_type.alexnet,activation.relu,0.7628038194444444,0.687326086892022,0.7477993,0.72143024,23,0.01,0.0005,1815.4409461021423
24,model_type.alexnet,activation.relu,0.7626953125,0.6804093784756131,0.7536812,0.6992931,24,0.01,0.0005,1891.1031942367554
25,model_type.alexnet,activation.relu,0.7709418402777778,0.6679556237326728,0.76258403,0.6781249,25,0.01,0.0005,1965.6475410461426
26,model_type.alexnet,activation.relu,0.7826605902777778,0.6334597534603543,0.7684859,0.66120356,26,0.01,0.0005,2040.1608612537384
27,model_type.alexnet,activation.relu,0.7710503472222222,0.6656323141521878,0.7757282,0.6388108,27,0.01,0.0005,2115.230925321579
28,model_type.alexnet,activation.relu,0.8026258680555556,0.5848293370670743,0.7824904,0.6201606,28,0.01,0.0005,2190.35174536705
29,model_type.alexnet,activation.relu,0.8041449652777778,0.5688420799043443,0.7903329,0.6043444,29,0.01,0.0005,2265.0315170288086
30,model_type.alexnet,activation.relu,0.7873263888888888,0.6238995724254184,0.79455423,0.58887166,30,0.01,0.0005,2339.5923805236816
31,model_type.alexnet,activation.relu,0.8023003472222222,0.5772113932503594,0.80023605,0.5738211,31,0.01,0.0005,2413.972475528717
32,model_type.alexnet,activation.relu,0.8047960069444444,0.5655456847614713,0.80679816,0.5534268,32,0.01,0.0005,2488.6375062465668
33,model_type.alexnet,activation.relu,0.8167317708333334,0.541267044014401,0.8121599,0.539914,33,0.01,0.0005,2563.208817243576
34,model_type.alexnet,activation.relu,0.8177083333333334,0.5407605965932211,0.8154609,0.52878827,34,0.01,0.0005,2639.0564012527466
