,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.halexnet,activation.relu,0.009765625,4.604483975304498,0.009082907,4.605144,0,0.01,0.0005,124.05288052558899
1,model_type.halexnet,activation.relu,0.023220486111111112,4.5704953405592175,0.011603713,4.5746555,1,0.01,0.0005,241.27675342559814
2,model_type.halexnet,activation.relu,0.021592881944444444,4.535944037967258,0.019006083,4.53326,2,0.01,0.0005,358.2552080154419
3,model_type.halexnet,activation.relu,0.03927951388888889,4.374002774556478,0.02852913,4.45379,3,0.01,0.0005,476.1172535419464
4,model_type.halexnet,activation.relu,0.0595703125,4.187304125891791,0.043533932,4.2702637,4,0.01,0.0005,594.8802025318146
5,model_type.halexnet,activation.relu,0.07921006944444445,4.08096981048584,0.06564101,4.121335,5,0.01,0.0005,712.5070242881775
6,model_type.halexnet,activation.relu,0.10123697916666667,3.9607320626576743,0.087147884,3.9892228,6,0.01,0.0005,830.3834941387177
7,model_type.halexnet,activation.relu,0.11631944444444445,3.843627585305108,0.10493358,3.8665211,7,0.01,0.0005,948.4264960289001
8,model_type.halexnet,activation.relu,0.1400824652777778,3.6725457774268255,0.12696062,3.7351263,8,0.01,0.0005,1067.4096159934998
9,model_type.halexnet,activation.relu,0.1752387152777778,3.479917738172743,0.1474872,3.5998585,9,0.01,0.0005,1184.9427540302277
10,model_type.halexnet,activation.relu,0.1978081597222222,3.3531244066026478,0.17087469,3.4675546,10,0.01,0.0005,1302.0025300979614
11,model_type.halexnet,activation.relu,0.1984592013888889,3.3295883337656655,0.18888044,3.3570056,11,0.01,0.0005,1419.828549861908
12,model_type.halexnet,activation.relu,0.2365451388888889,3.15577761332194,0.20820662,3.2559135,12,0.01,0.0005,1538.2799518108368
13,model_type.halexnet,activation.relu,0.2456597222222222,3.049168825149536,0.2262724,3.159945,13,0.01,0.0005,1656.6873548030853
14,model_type.halexnet,activation.relu,0.2611762152777778,2.9866454336378307,0.2412372,3.0741136,14,0.01,0.0005,1774.6888706684113
15,model_type.halexnet,activation.relu,0.2926432291666667,2.857304652531942,0.25858274,2.9889581,15,0.01,0.0005,1892.1561017036438
16,model_type.halexnet,activation.relu,0.2917751736111111,2.8409172428978815,0.27502802,2.9091773,16,0.01,0.0005,2009.93705534935
17,model_type.halexnet,activation.relu,0.3019748263888889,2.7954630851745605,0.29041293,2.829472,17,0.01,0.0005,2128.0494480133057
18,model_type.halexnet,activation.relu,0.3253038194444444,2.695484002431234,0.30317703,2.7560985,18,0.01,0.0005,2246.0324416160583
19,model_type.halexnet,activation.relu,0.3465711805555556,2.582651588651869,0.31892204,2.6846046,19,0.01,0.0005,2363.3413977622986
20,model_type.halexnet,activation.relu,0.3576388888888889,2.558770497639974,0.3338068,2.6175916,20,0.01,0.0005,2482.4905009269714
21,model_type.halexnet,activation.relu,0.3598090277777778,2.5051996972825794,0.3475112,2.5500627,21,0.01,0.0005,2601.0407495498657
22,model_type.halexnet,activation.relu,0.3778211805555556,2.44251110818651,0.36007524,2.4867811,22,0.01,0.0005,2720.174957752228
23,model_type.halexnet,activation.relu,0.3823784722222222,2.4132404592302112,0.37221912,2.4193633,23,0.01,0.0005,2838.1407284736633
24,model_type.halexnet,activation.relu,0.3985460069444444,2.3446829319000244,0.3866037,2.361357,24,0.01,0.0005,2956.2566905021667
25,model_type.halexnet,activation.relu,0.4009331597222222,2.3488256401485867,0.3987276,2.2964253,25,0.01,0.0005,3074.3223264217377
26,model_type.halexnet,activation.relu,0.4039713541666667,2.3155606587727866,0.41385242,2.2347856,26,0.01,0.0005,3191.969766139984
27,model_type.halexnet,activation.relu,0.4266493055555556,2.208142571979099,0.42273527,2.1838562,27,0.01,0.0005,3310.202621459961
28,model_type.halexnet,activation.relu,0.4332682291666667,2.191119988759359,0.43733996,2.12532,28,0.01,0.0005,3428.1374020576477
29,model_type.halexnet,activation.relu,0.4493272569444444,2.1175047291649713,0.4484235,2.0678735,29,0.01,0.0005,3546.9970276355743
30,model_type.halexnet,activation.relu,0.4536675347222222,2.073317527770996,0.46244797,2.0092132,30,0.01,0.0005,3665.148830652237
31,model_type.halexnet,activation.relu,0.4635416666666667,2.051731732156542,0.47163093,1.9572572,31,0.01,0.0005,3782.7521352767944
32,model_type.halexnet,activation.relu,0.4582248263888889,2.066408289803399,0.484355,1.9018633,32,0.01,0.0005,3900.2202956676483
33,model_type.halexnet,activation.relu,0.4791666666666667,1.9595723549524944,0.49489838,1.8573612,33,0.01,0.0005,4022.0903646945953
34,model_type.halexnet,activation.relu,0.4870876736111111,1.9622937440872192,0.5071823,1.8048306,34,0.01,0.0005,4139.433657884598
35,model_type.halexnet,activation.relu,0.4927300347222222,1.9492257038752239,0.5178457,1.7524751,35,0.01,0.0005,4257.838402748108
36,model_type.halexnet,activation.relu,0.4912109375,1.9269343349668715,0.53034973,1.7033914,36,0.01,0.0005,4375.4923305511475
37,model_type.halexnet,activation.relu,0.5029296875,1.8832289112938776,0.54359394,1.6548741,37,0.01,0.0005,4493.024641990662
38,model_type.halexnet,activation.relu,0.5093315972222222,1.8423697816001043,0.553117,1.6104552,38,0.01,0.0005,4610.878892183304
39,model_type.halexnet,activation.relu,0.5091145833333334,1.8558221790525649,0.5643406,1.5652459,39,0.01,0.0005,4727.823757171631
40,model_type.halexnet,activation.relu,0.5162760416666666,1.8327609035703871,0.5730234,1.519027,40,0.01,0.0005,4846.4100461006165
41,model_type.halexnet,activation.relu,0.5094401041666666,1.8976978990766737,0.5822463,1.4800454,41,0.01,0.0005,4965.227991104126
42,model_type.halexnet,activation.relu,0.5233289930555556,1.842109415266249,0.5915093,1.4405453,42,0.01,0.0005,5083.594763040543
43,model_type.halexnet,activation.relu,0.52734375,1.7894174257914226,0.5988516,1.4018039,43,0.01,0.0005,5201.647179841995
44,model_type.halexnet,activation.relu,0.5251736111111112,1.8154467476738825,0.6147567,1.3524868,44,0.01,0.0005,5321.196618556976
45,model_type.halexnet,activation.relu,0.5370008680555556,1.8037994967566595,0.6226192,1.3106378,45,0.01,0.0005,5439.569459915161
46,model_type.halexnet,activation.relu,0.5450303819444444,1.7574574947357178,0.63410294,1.27172,46,0.01,0.0005,5557.925539255142
47,model_type.halexnet,activation.relu,0.5377604166666666,1.7704573604795668,0.64170533,1.2346102,47,0.01,0.0005,5675.899184465408
48,model_type.halexnet,activation.relu,0.54296875,1.765885591506958,0.65230876,1.1917487,48,0.01,0.0005,5793.901191473007
49,model_type.halexnet,activation.relu,0.5439453125,1.77105798986223,0.6617918,1.1557101,49,0.01,0.0005,5911.490663528442
50,model_type.halexnet,activation.relu,0.54296875,1.7936232222451105,0.67261523,1.1189227,50,0.01,0.0005,6029.731517076492
51,model_type.halexnet,activation.relu,0.5467664930555556,1.7728718519210815,0.68073785,1.0885139,51,0.01,0.0005,6148.036027908325
52,model_type.halexnet,activation.relu,0.5428602430555556,1.7825815545188055,0.69082105,1.0457563,52,0.01,0.0005,6266.102942466736
53,model_type.halexnet,activation.relu,0.5479600694444444,1.77269889248742,0.6997839,1.0193197,53,0.01,0.0005,6383.399610042572
54,model_type.halexnet,activation.relu,0.5489366319444444,1.7683572901619806,0.706226,0.9811082,54,0.01,0.0005,6500.743003368378
55,model_type.halexnet,activation.relu,0.5509982638888888,1.817577322324117,0.7159291,0.9506361,55,0.01,0.0005,6617.987332344055
56,model_type.halexnet,activation.relu,0.5360243055555556,1.8585821390151978,0.72231114,0.91718715,56,0.01,0.0005,6735.859905004501
57,model_type.halexnet,activation.relu,0.5483940972222222,1.823406908247206,0.73201424,0.8906059,57,0.01,0.0005,6853.666466474533
58,model_type.halexnet,activation.relu,0.5804036458333334,1.7515557209650676,0.803137,0.656059,58,0.01,0.0005,6971.764041423798
59,model_type.halexnet,activation.relu,0.5805121527777778,1.7858323123719957,0.8133203,0.6104181,59,0.01,0.0005,7088.998784065247
60,model_type.halexnet,activation.relu,0.5795355902777778,1.8026462925804987,0.8182818,0.59323907,60,0.01,0.0005,7206.230674743652
61,model_type.halexnet,activation.relu,0.5789930555555556,1.8161843352847629,0.8240037,0.57717544,61,0.01,0.0005,7323.926607370377
62,model_type.halexnet,activation.relu,0.5759548611111112,1.8357049889034696,0.8278449,0.55901974,62,0.01,0.0005,7442.2158579826355
63,model_type.halexnet,activation.relu,0.5817057291666666,1.8289426565170288,0.8300056,0.5525483,63,0.01,0.0005,7559.73635840416
64,model_type.halexnet,activation.relu,0.5779079861111112,1.8473954068289862,0.83048576,0.548453,64,0.01,0.0005,7677.00882434845
65,model_type.halexnet,activation.relu,0.5887586805555556,1.829213301340739,0.8350072,0.5305445,65,0.01,0.0005,7794.055588006973
66,model_type.halexnet,activation.relu,0.5771484375,1.854517141977946,0.83586746,0.52960247,66,0.01,0.0005,7911.630805492401
67,model_type.halexnet,activation.relu,0.5818142361111112,1.8315568500094943,0.8378881,0.522201,67,0.01,0.0005,8029.531629085541
68,model_type.halexnet,activation.relu,0.5804036458333334,1.84368544154697,0.8412892,0.5120405,68,0.01,0.0005,8147.587365627289
69,model_type.halexnet,activation.relu,0.580078125,1.8570850160386827,0.8433499,0.50799745,69,0.01,0.0005,8266.11807179451
70,model_type.halexnet,activation.relu,0.5809461805555556,1.875839935408698,0.8448703,0.49563733,70,0.01,0.0005,8383.605349302292
71,model_type.halexnet,activation.relu,0.5784505208333334,1.8673578235838149,0.8461308,0.4924731,71,0.01,0.0005,8501.526460170746
72,model_type.halexnet,activation.relu,0.5837673611111112,1.8431573576397366,0.8481514,0.48403946,72,0.01,0.0005,8619.603788137436
