,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.alexnet,0.005126953125,5.298316478729248,0.004591469,5.2984505,0,0.01,0.0005,143.53339767456055
1,model_type.alexnet,0.005615234375,5.2982341051101685,0.0046414854,5.298413,1,0.01,0.0005,269.9717552661896
2,model_type.alexnet,0.005126953125,5.29821252822876,0.0046814983,5.2983694,2,0.01,0.0005,395.00957107543945
3,model_type.alexnet,0.0048828125,5.298178553581238,0.00503161,5.298324,3,0.01,0.0005,518.7817296981812
4,model_type.alexnet,0.00537109375,5.298127055168152,0.0051516485,5.2982554,4,0.01,0.0005,642.1958854198456
5,model_type.alexnet,0.0048828125,5.297916293144226,0.0051716547,5.2981553,5,0.01,0.0005,764.5307841300964
6,model_type.alexnet,0.007080078125,5.297613859176636,0.0056418055,5.2979655,6,0.01,0.0005,888.423351764679
7,model_type.alexnet,0.009521484375,5.2963374853134155,0.0057418374,5.297419,7,0.01,0.0005,1017.0743055343628
8,model_type.alexnet,0.009765625,5.211708426475525,0.006081946,5.26637,8,0.01,0.0005,1149.3048405647278
9,model_type.alexnet,0.01318359375,5.1908323764801025,0.011203585,5.2034125,9,0.01,0.0005,1295.4967260360718
10,model_type.alexnet,0.0126953125,5.164197683334351,0.01409451,5.1846824,10,0.01,0.0005,1426.3551580905914
11,model_type.alexnet,0.02294921875,5.012986540794373,0.017295534,5.099184,11,0.01,0.0005,1549.9742186069489
12,model_type.alexnet,0.029052734375,4.936204671859741,0.02365757,4.997954,12,0.01,0.0005,1674.9935479164124
13,model_type.alexnet,0.045654296875,4.812265038490295,0.032020245,4.9032297,13,0.01,0.0005,1798.8310959339142
14,model_type.alexnet,0.056640625,4.7242714166641235,0.04556458,4.7829437,14,0.01,0.0005,1922.4238691329956
15,model_type.alexnet,0.06640625,4.607367753982544,0.056017924,4.670129,15,0.01,0.0005,2046.4376301765442
16,model_type.alexnet,0.080078125,4.494312405586243,0.06679137,4.561959,16,0.01,0.0005,2170.4318523406982
17,model_type.alexnet,0.09765625,4.347373843193054,0.08106594,4.440444,17,0.01,0.0005,2294.642025947571
18,model_type.alexnet,0.11669921875,4.167565226554871,0.09833147,4.2989554,18,0.01,0.0005,2417.850452184677
19,model_type.alexnet,0.11279296875,4.1661834716796875,0.113546334,4.165443,19,0.01,0.0005,2540.6339914798737
20,model_type.alexnet,0.1416015625,3.914617419242859,0.13026169,4.037058,20,0.01,0.0005,2668.740964412689
21,model_type.alexnet,0.146484375,3.9041146636009216,0.14646687,3.9251997,21,0.01,0.0005,2797.0932931900024
22,model_type.alexnet,0.1611328125,3.8535521626472473,0.16242197,3.8199837,22,0.01,0.0005,2925.4193885326385
23,model_type.alexnet,0.19140625,3.622524321079254,0.17703666,3.7272146,23,0.01,0.0005,3048.341698884964
24,model_type.alexnet,0.203369140625,3.5803070068359375,0.19193141,3.633358,24,0.01,0.0005,3173.443555831909
25,model_type.alexnet,0.21337890625,3.5144010186195374,0.20660612,3.5483449,25,0.01,0.0005,3297.0190994739532
26,model_type.alexnet,0.243408203125,3.3574898838996887,0.22084066,3.4662316,26,0.01,0.0005,3420.83123755455
27,model_type.alexnet,0.229736328125,3.412265181541443,0.2331346,3.3846653,27,0.01,0.0005,3544.944732904434
28,model_type.alexnet,0.258544921875,3.2286192178726196,0.24756922,3.309064,28,0.01,0.0005,3668.227171421051
29,model_type.alexnet,0.265625,3.225563168525696,0.26113355,3.2309215,29,0.01,0.0005,3791.2138936519623
30,model_type.alexnet,0.25927734375,3.293717086315155,0.2713068,3.161688,30,0.01,0.0005,3917.9215185642242
31,model_type.alexnet,0.289794921875,3.110609710216522,0.2846811,3.084849,31,0.01,0.0005,4041.562382221222
32,model_type.alexnet,0.2861328125,3.1073049902915955,0.2959547,3.0170927,32,0.01,0.0005,4165.886232376099
