,Model,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Time
0,model_type.halexnet,0.00537109375,5.298030734062195,0.0043914053,5.2984204,0,0.01,0.0005,227.3403022289276
1,model_type.halexnet,0.00634765625,5.2834391593933105,0.005141645,5.2915506,1,0.01,0.0005,439.48902106285095
2,model_type.halexnet,0.009521484375,5.217240810394287,0.0078125,5.223145,2,0.01,0.0005,653.3803987503052
3,model_type.halexnet,0.014404296875,5.109356045722961,0.0130341705,5.1248336,3,0.01,0.0005,863.6810703277588
4,model_type.halexnet,0.021240234375,5.042133212089539,0.016055137,5.0693536,4,0.01,0.0005,1071.8180499076843
5,model_type.halexnet,0.02783203125,4.923803806304932,0.022557218,4.9867353,5,0.01,0.0005,1280.8917031288147
6,model_type.halexnet,0.040771484375,4.8282448053359985,0.029629482,4.898886,6,0.01,0.0005,1488.2751154899597
7,model_type.halexnet,0.050048828125,4.773184537887573,0.04337388,4.771023,7,0.01,0.0005,1697.919252872467
8,model_type.halexnet,0.07568359375,4.480744123458862,0.061669733,4.601462,8,0.01,0.0005,1908.1187500953674
9,model_type.halexnet,0.087646484375,4.335713148117065,0.074763924,4.46744,9,0.01,0.0005,2119.1170003414154
10,model_type.halexnet,0.097412109375,4.266035199165344,0.09302977,4.310533,10,0.01,0.0005,2326.7425005435944
11,model_type.halexnet,0.118408203125,4.135432720184326,0.118007764,4.1380796,11,0.01,0.0005,2540.4809980392456
12,model_type.halexnet,0.1591796875,3.8153730034828186,0.13793413,3.9904387,12,0.01,0.0005,2764.0448155403137
13,model_type.halexnet,0.181396484375,3.6994904279708862,0.15705025,3.8580534,13,0.01,0.0005,2972.694249868393
14,model_type.halexnet,0.191162109375,3.6151517033576965,0.17598632,3.737544,14,0.01,0.0005,3180.147723197937
15,model_type.halexnet,0.2041015625,3.5511500239372253,0.19242157,3.630551,15,0.01,0.0005,3387.4224739074707
16,model_type.halexnet,0.220947265625,3.448174476623535,0.20863676,3.5396495,16,0.01,0.0005,3596.9007725715637
17,model_type.halexnet,0.220947265625,3.441246509552002,0.22141086,3.4542198,17,0.01,0.0005,3803.8321743011475
18,model_type.halexnet,0.240234375,3.3557505011558533,0.2352853,3.3739743,18,0.01,0.0005,4012.4222660064697
19,model_type.halexnet,0.251708984375,3.2782275080680847,0.24857955,3.2966537,19,0.01,0.0005,4220.5186285972595
20,model_type.halexnet,0.26611328125,3.1889538168907166,0.2639945,3.215467,20,0.01,0.0005,4427.337561130524
21,model_type.halexnet,0.29052734375,3.054204523563385,0.27509803,3.1444175,21,0.01,0.0005,4637.215506315231
22,model_type.halexnet,0.28125,3.091852605342865,0.2862416,3.0739648,22,0.01,0.0005,4864.349830150604
23,model_type.halexnet,0.296142578125,2.996934473514557,0.30201665,3.0060852,23,0.01,0.0005,5071.611047506332
24,model_type.halexnet,0.314453125,2.9643808007240295,0.31090948,2.943728,24,0.01,0.0005,5279.235890388489
25,model_type.halexnet,0.327880859375,2.892189621925354,0.3212128,2.8806958,25,0.01,0.0005,5485.973407745361
26,model_type.halexnet,0.318603515625,2.9140172600746155,0.33302656,2.8184953,26,0.01,0.0005,5692.199889421463
27,model_type.halexnet,0.32763671875,2.8458430767059326,0.34573063,2.7561097,27,0.01,0.0005,5899.0476043224335
