Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
eucl,relu,kmnist,0.8854999542236328,0.4398168921470642,0.9929537579957356,0.04128556980241114,0,0.01,1e-05,sgd,100,1,7.818824052810669
eucl,relu,kmnist,0.8849999904632568,0.44730082154273987,0.9934868070362474,0.04002053907929437,1,0.01,1e-05,sgd,100,1,15.384429454803467
eucl,relu,kmnist,0.8877999782562256,0.44444844126701355,0.9936200692963753,0.03877538243092215,2,0.01,1e-05,sgd,100,1,23.10119104385376
eucl,relu,kmnist,0.8872999548912048,0.44506698846817017,0.9943863272921108,0.03743705662118315,3,0.01,1e-05,sgd,100,1,30.856151819229126
eucl,relu,kmnist,0.8867999911308289,0.4485545754432678,0.9944862739872068,0.036246442633158744,4,0.01,1e-05,sgd,100,1,38.513073444366455
eucl,relu,kmnist,0.8851999640464783,0.4476358890533447,0.9946695095948828,0.03512860961538404,5,0.01,1e-05,sgd,100,1,46.29180288314819
eucl,relu,kmnist,0.8868999481201172,0.4507070779800415,0.9950193230277186,0.03409759706354885,6,0.01,1e-05,sgd,100,1,53.94465684890747
eucl,relu,kmnist,0.8872999548912048,0.4517470598220825,0.9953191631130064,0.03306349987503705,7,0.01,1e-05,sgd,100,1,61.70056343078613
eucl,relu,kmnist,0.8859999775886536,0.45500966906547546,0.9958022388059702,0.03194281292348496,8,0.01,1e-05,sgd,100,1,69.3275957107544
eucl,relu,kmnist,0.8855999708175659,0.4590464234352112,0.996018789978678,0.031031553646418523,9,0.01,1e-05,sgd,100,1,76.91610860824585
eucl,relu,kmnist,0.8836999535560608,0.4646974205970764,0.9962353411513859,0.03012631596329171,10,0.01,1e-05,sgd,100,1,84.65017604827881
eucl,relu,kmnist,0.8873999714851379,0.4580662250518799,0.9965351812366737,0.02922624148510849,11,0.01,1e-05,sgd,100,1,92.27453517913818
eucl,relu,kmnist,0.8852999806404114,0.46652835607528687,0.9965851545842217,0.028207866809587045,12,0.01,1e-05,sgd,100,1,100.0212152004242
eucl,relu,kmnist,0.8862999677658081,0.46630194783210754,0.9969516257995735,0.0274522812847894,13,0.01,1e-05,sgd,100,1,107.58787322044373
eucl,relu,kmnist,0.887499988079071,0.46402865648269653,0.9972014925373134,0.02664999695279316,14,0.01,1e-05,sgd,100,1,115.21578645706177
