Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
h_plusplus,relu,kmnist,0.11969999969005585,2.2606899738311768,0.1423740671641791,2.193759400326052,0,0.01,1e-05,sgd,20,4,19.42631721496582
h_plusplus,relu,kmnist,0.11509999632835388,2.2692465782165527,0.14049173773987206,2.195183972687101,1,0.01,1e-05,sgd,20,4,38.8206901550293
h_plusplus,relu,kmnist,0.1127999946475029,2.274064302444458,0.13231276652452026,2.225168085555786,2,0.01,1e-05,sgd,20,4,57.78710436820984
h_plusplus,relu,kmnist,0.11059999465942383,2.278564453125,0.1253997867803838,2.2441987335554825,3,0.01,1e-05,sgd,20,4,77.36110401153564
h_plusplus,relu,kmnist,0.1096000000834465,2.282665491104126,0.12410047974413646,2.2438718126272597,4,0.01,1e-05,sgd,20,4,97.07148575782776
h_plusplus,relu,kmnist,0.11099999397993088,2.2782156467437744,0.12626599147121534,2.243063292777869,5,0.01,1e-05,sgd,20,4,116.22166299819946
h_plusplus,relu,kmnist,0.11089999973773956,2.279362201690674,0.12529984008528786,2.2397111814413497,6,0.01,1e-05,sgd,20,4,135.47305607795715
h_plusplus,relu,kmnist,0.11079999804496765,2.278247594833374,0.12621601812366737,2.2393523805431212,7,0.01,1e-05,sgd,20,4,154.51979541778564
h_plusplus,relu,kmnist,0.11129999905824661,2.276834011077881,0.12533315565031983,2.2406607505355054,8,0.01,1e-05,sgd,20,4,174.0318899154663
h_plusplus,relu,kmnist,0.11180000007152557,2.27801513671875,0.1263492803837953,2.2382675493195623,9,0.01,1e-05,sgd,20,4,193.2924382686615
h_plusplus,relu,kmnist,0.11189999431371689,2.2774813175201416,0.12718216950959488,2.2363330962052985,10,0.01,1e-05,sgd,20,4,212.59324645996094
h_plusplus,relu,kmnist,0.11149999499320984,2.2771713733673096,0.12559968017057568,2.2380242701024136,11,0.01,1e-05,sgd,20,4,232.09388899803162
h_plusplus,relu,kmnist,0.11159999668598175,2.276616096496582,0.1261993603411514,2.2381457399203577,12,0.01,1e-05,sgd,20,4,251.35080695152283
h_plusplus,relu,kmnist,0.11169999837875366,2.276167392730713,0.1277318763326226,2.2364275163170624,13,0.01,1e-05,sgd,20,4,270.5159068107605
h_plusplus,relu,kmnist,0.11239999532699585,2.274972677230835,0.12858142324093816,2.2351670628671707,14,0.01,1e-05,sgd,20,4,289.2240409851074
