Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,kmnist,0.8459999561309814,0.5606245994567871,0.9653018390191898,0.12119729255737145,0,0.01,1e-05,sgd,40,1,11.343222379684448
hyp,relu,kmnist,0.849399983882904,0.5486460328102112,0.9664678837953091,0.11900036091576698,1,0.01,1e-05,sgd,40,1,22.729891300201416
hyp,relu,kmnist,0.8467999696731567,0.5632330179214478,0.966851012793177,0.11659721201404866,2,0.01,1e-05,sgd,40,1,33.976943492889404
hyp,relu,kmnist,0.8496999740600586,0.555493950843811,0.9670509061833689,0.11489527894934612,3,0.01,1e-05,sgd,40,1,45.23963212966919
hyp,relu,kmnist,0.8503999710083008,0.5593792200088501,0.968633395522388,0.1124515638573528,4,0.01,1e-05,sgd,40,1,56.47857642173767
hyp,relu,kmnist,0.8467999696731567,0.5656216144561768,0.9688999200426439,0.11051495706658564,5,0.01,1e-05,sgd,40,1,67.7810263633728
hyp,relu,kmnist,0.8482999801635742,0.5699332356452942,0.9700326492537313,0.1081487510059434,6,0.01,1e-05,sgd,40,1,79.14833045005798
hyp,relu,kmnist,0.8459999561309814,0.5762041211128235,0.970632329424307,0.1063231196520584,7,0.01,1e-05,sgd,40,1,90.39966177940369
hyp,relu,kmnist,0.843999981880188,0.5879247784614563,0.9708655383795309,0.1041924476123123,8,0.01,1e-05,sgd,40,1,101.73887586593628
hyp,relu,kmnist,0.8454999923706055,0.5758496522903442,0.9714652185501066,0.10259276252589437,9,0.01,1e-05,sgd,40,1,112.94897985458374
hyp,relu,kmnist,0.8501999974250793,0.5744359493255615,0.9723147654584222,0.10074557739196778,10,0.01,1e-05,sgd,40,1,124.22597694396973
hyp,relu,kmnist,0.8434999585151672,0.5887538194656372,0.9730143923240938,0.09862491248775201,11,0.01,1e-05,sgd,40,1,135.54243350028992
hyp,relu,kmnist,0.8459999561309814,0.5878986120223999,0.9734641524520256,0.09719302954831358,12,0.01,1e-05,sgd,40,1,146.77084803581238
hyp,relu,kmnist,0.8527999520301819,0.5723976492881775,0.974496934968017,0.09557243802054509,13,0.01,1e-05,sgd,40,1,158.16520619392395
hyp,relu,kmnist,0.8484999537467957,0.5796176791191101,0.9745135927505331,0.09425014394051484,14,0.01,1e-05,sgd,40,1,169.3794469833374
hyp,relu,kmnist,0.8496999740600586,0.5802595019340515,0.9742304104477612,0.09257885384589815,15,0.01,1e-05,sgd,40,1,180.80867719650269
