Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,kmnist,0.597000002861023,1.2520357370376587,0.534981343283582,1.4445921068887975,0,0.01,1e-05,sgd,40,4,25.470611333847046
hyp,relu,kmnist,0.7145000100135803,0.9127933382987976,0.8142490671641791,0.6057319277162745,1,0.01,1e-05,sgd,40,4,50.942607164382935
hyp,relu,kmnist,0.7544999718666077,0.7745019793510437,0.8668543443496801,0.44014876189707186,2,0.01,1e-05,sgd,40,4,76.36285352706909
hyp,relu,kmnist,0.7622999548912048,0.7664856910705566,0.8914079157782516,0.3608929848890188,3,0.01,1e-05,sgd,40,4,101.90852069854736
hyp,relu,kmnist,0.7942999601364136,0.6644772887229919,0.9057169509594882,0.31298470140488416,4,0.01,1e-05,sgd,40,4,127.71259188652039
hyp,relu,kmnist,0.8090999722480774,0.6313953399658203,0.9155950159914712,0.2805371031816453,5,0.01,1e-05,sgd,40,4,153.22626090049744
hyp,relu,kmnist,0.8193999528884888,0.601276695728302,0.9226745735607675,0.255267877687714,6,0.01,1e-05,sgd,40,4,178.93680214881897
hyp,relu,kmnist,0.8211999535560608,0.5882209539413452,0.9289378997867804,0.2352414268738171,7,0.01,1e-05,sgd,40,4,204.3105731010437
hyp,relu,kmnist,0.823199987411499,0.6105220913887024,0.9353344882729211,0.2176486955586273,8,0.01,1e-05,sgd,40,4,230.04353547096252
hyp,relu,kmnist,0.8393999934196472,0.5587388873100281,0.9389992004264393,0.20451277950361593,9,0.01,1e-05,sgd,40,4,255.70655369758606
hyp,relu,kmnist,0.8371999859809875,0.56020188331604,0.9420642324093816,0.19277689104149145,10,0.01,1e-05,sgd,40,4,281.2853739261627
hyp,relu,kmnist,0.8363999724388123,0.5878111124038696,0.9462286780383795,0.1808230104540457,11,0.01,1e-05,sgd,40,4,307.0852975845337
hyp,relu,kmnist,0.8432999849319458,0.5717469453811646,0.9487106876332623,0.17054849252629,12,0.01,1e-05,sgd,40,4,332.7180154323578
hyp,relu,kmnist,0.8427000045776367,0.5705323219299316,0.9511427238805971,0.16255429182757639,13,0.01,1e-05,sgd,40,4,358.3988835811615
hyp,relu,kmnist,0.8445999622344971,0.5715824961662292,0.9539578891257996,0.1551924675131149,14,0.01,1e-05,sgd,40,4,383.91772055625916
hyp,relu,kmnist,0.8307999968528748,0.615464985370636,0.9560567697228145,0.14683391988229777,15,0.01,1e-05,sgd,40,4,409.4642958641052
hyp,relu,kmnist,0.8513000011444092,0.56452876329422,0.9562566631130064,0.14270852184864377,16,0.01,1e-05,sgd,40,4,435.3047299385071
hyp,relu,kmnist,0.840499997138977,0.5921292901039124,0.9596215351812367,0.1352403905314169,17,0.01,1e-05,sgd,40,4,460.929399728775
hyp,relu,kmnist,0.8533999919891357,0.5668028593063354,0.9618869936034116,0.12869983035495192,18,0.01,1e-05,sgd,40,4,486.6979823112488
hyp,relu,kmnist,0.8509999513626099,0.5673260688781738,0.9621368603411514,0.12444629764823771,19,0.01,1e-05,sgd,40,4,512.2136478424072
hyp,relu,kmnist,0.8517999649047852,0.5796888470649719,0.9642690565031983,0.1193529307228654,20,0.01,1e-05,sgd,40,4,537.6619999408722
hyp,relu,kmnist,0.8499000072479248,0.5885635018348694,0.9658848614072495,0.11446167073691133,21,0.01,1e-05,sgd,40,4,563.4092466831207
hyp,relu,kmnist,0.8468999862670898,0.6084182858467102,0.9672341417910447,0.10984110475174272,22,0.01,1e-05,sgd,40,4,589.0956144332886
hyp,relu,kmnist,0.8179000020027161,0.7316601872444153,0.9686667110874201,0.10505034665523498,23,0.01,1e-05,sgd,40,4,614.8273136615753
