,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.6062,1.2732193,0.6767276,1.2845664,0,0.0001,1e-05,40,1,,,10.815213918685913
1,model_type.euclidean,activation.dmelu,0.657,1.1153916,0.783768,0.7537089,1,0.0001,1e-05,40,1,,,18.785658359527588
2,model_type.euclidean,activation.dmelu,0.6785,1.044206,0.80701375,0.6600902,2,0.0001,1e-05,40,1,,,27.269716262817383
3,model_type.euclidean,activation.dmelu,0.69049996,1.0059317,0.81818634,0.6165846,3,0.0001,1e-05,40,1,,,36.02815914154053
4,model_type.euclidean,activation.dmelu,0.7043,0.9665958,0.82774144,0.58522797,4,0.0001,1e-05,40,1,,,44.012083530426025
5,model_type.euclidean,activation.dmelu,0.7147,0.93844736,0.83592916,0.5581601,5,0.0001,1e-05,40,1,,,51.995139598846436
6,model_type.euclidean,activation.dmelu,0.7229,0.9003513,0.84421694,0.5314456,6,0.0001,1e-05,40,1,,,60.502294301986694
7,model_type.euclidean,activation.dmelu,0.7308,0.87335086,0.8517876,0.50595665,7,0.0001,1e-05,40,1,,,68.03086352348328
8,model_type.euclidean,activation.dmelu,0.736,0.8506217,0.8580576,0.4817621,8,0.0001,1e-05,40,1,,,76.32925176620483
9,model_type.euclidean,activation.dmelu,0.7457,0.821475,0.86466116,0.46031654,9,0.0001,1e-05,40,1,,,84.80755805969238
10,model_type.euclidean,activation.dmelu,0.7549,0.7921617,0.86978054,0.44107938,10,0.0001,1e-05,40,1,,,93.19279026985168
11,model_type.euclidean,activation.dmelu,0.76129997,0.77565897,0.8749666,0.423872,11,0.0001,1e-05,40,1,,,101.54674649238586
12,model_type.euclidean,activation.dmelu,0.766,0.75559497,0.88015276,0.4081221,12,0.0001,1e-05,40,1,,,109.8665840625763
13,model_type.euclidean,activation.dmelu,0.77089995,0.74143094,0.8836213,0.3941728,13,0.0001,1e-05,40,1,,,118.84182786941528
14,model_type.euclidean,activation.dmelu,0.7737,0.7311636,0.88792354,0.38121057,14,0.0001,1e-05,40,1,,,127.47800064086914
15,model_type.euclidean,activation.dmelu,0.78059995,0.71397024,0.89167553,0.3697946,15,0.0001,1e-05,40,1,,,135.8882577419281
16,model_type.euclidean,activation.dmelu,0.7848,0.7004283,0.894327,0.3590972,16,0.0001,1e-05,40,1,,,144.32000517845154
17,model_type.euclidean,activation.dmelu,0.79219997,0.6814105,0.8978122,0.34918213,17,0.0001,1e-05,40,1,,,152.57855439186096
