,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.6609,1.1107363,0.7089948,0.99391586,0,0.0001,1e-05,100,1,,,18.398104429244995
1,model_type.hyperbolic,activation.dmelu,0.6985,0.979703,0.8171858,0.6235146,1,0.0001,1e-05,100,1,,,34.88053488731384
2,model_type.hyperbolic,activation.dmelu,0.71959996,0.8995392,0.83963114,0.5375336,2,0.0001,1e-05,100,1,,,51.501405477523804
3,model_type.hyperbolic,activation.dmelu,0.73649997,0.83754,0.8559398,0.48307142,3,0.0001,1e-05,100,1,,,67.8304386138916
4,model_type.hyperbolic,activation.dmelu,0.74869996,0.7962557,0.8688134,0.4413827,4,0.0001,1e-05,100,1,,,85.08225798606873
5,model_type.hyperbolic,activation.dmelu,0.76049995,0.7533052,0.87995267,0.40638176,5,0.0001,1e-05,100,1,,,102.22231245040894
6,model_type.hyperbolic,activation.dmelu,0.7729,0.72010046,0.8880903,0.3774117,6,0.0001,1e-05,100,1,,,118.92860984802246
7,model_type.hyperbolic,activation.dmelu,0.7793,0.70200205,0.8971785,0.3530025,7,0.0001,1e-05,100,1,,,136.08065724372864
8,model_type.hyperbolic,activation.dmelu,0.7909,0.6666871,0.90328175,0.3312502,8,0.0001,1e-05,100,1,,,151.47472381591797
9,model_type.hyperbolic,activation.dmelu,0.7958,0.6493551,0.90910155,0.31249556,9,0.0001,1e-05,100,1,,,167.01872181892395
10,model_type.hyperbolic,activation.dmelu,0.8038,0.6267579,0.9134372,0.2955765,10,0.0001,1e-05,100,1,,,182.67091822624207
11,model_type.hyperbolic,activation.dmelu,0.8067,0.6176083,0.91770613,0.2809192,11,0.0001,1e-05,100,1,,,197.14951729774475
12,model_type.hyperbolic,activation.dmelu,0.8154,0.5927626,0.9220751,0.26744777,12,0.0001,1e-05,100,1,,,213.5253849029541
13,model_type.hyperbolic,activation.dmelu,0.81949997,0.5839832,0.92609394,0.25480178,13,0.0001,1e-05,100,1,,,229.25947332382202
14,model_type.hyperbolic,activation.dmelu,0.8226,0.57225484,0.92989594,0.24402113,14,0.0001,1e-05,100,1,,,244.54760098457336
