,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.identity,0.6656,1.139481,0.7272879,0.937266,0,0.0001,1e-05,100,6,,,40.78372812271118
1,model_type.hyperbolic,activation.identity,0.70269996,0.9896743,0.82043755,0.59191746,1,0.0001,1e-05,100,6,,,78.39323496818542
2,model_type.hyperbolic,activation.identity,0.7114,0.9767121,0.83921427,0.5320225,2,0.0001,1e-05,100,6,,,120.62435746192932
3,model_type.hyperbolic,activation.identity,0.7238,0.9249215,0.85160416,0.49112946,3,0.0001,1e-05,100,6,,,161.22896575927734
4,model_type.hyperbolic,activation.identity,0.7258,0.9209728,0.8653782,0.45071808,4,0.0001,1e-05,100,6,,,202.21227192878723
5,model_type.hyperbolic,activation.identity,0.7578,0.8310116,0.87646747,0.41199353,5,0.0001,1e-05,100,6,,,244.3109896183014
6,model_type.hyperbolic,activation.identity,0.754,0.8457625,0.88663954,0.38346553,6,0.0001,1e-05,100,6,,,287.58652210235596
7,model_type.hyperbolic,activation.identity,0.7637,0.8059894,0.89215916,0.36272883,7,0.0001,1e-05,100,6,,,329.4477028846741
8,model_type.hyperbolic,activation.identity,0.7697,0.81799847,0.8971785,0.34580603,8,0.0001,1e-05,100,6,,,372.56958293914795
9,model_type.hyperbolic,activation.identity,0.7647,0.81814796,0.90203106,0.32918793,9,0.0001,1e-05,100,6,,,413.3000650405884
10,model_type.hyperbolic,activation.identity,0.7759,0.7877892,0.90690035,0.31518653,10,0.0001,1e-05,100,6,,,452.4959833621979
11,model_type.hyperbolic,activation.identity,0.7906,0.7625037,0.90910155,0.30327937,11,0.0001,1e-05,100,6,,,492.687460899353
12,model_type.hyperbolic,activation.identity,0.79319996,0.7370421,0.91418755,0.2889846,12,0.0001,1e-05,100,6,,,533.1028001308441
13,model_type.hyperbolic,activation.identity,0.78819996,0.7637965,0.9173726,0.27560604,13,0.0001,1e-05,100,6,,,574.3119080066681
14,model_type.hyperbolic,activation.identity,0.78679997,0.772204,0.92114127,0.26238513,14,0.0001,1e-05,100,6,,,617.5851581096649
15,model_type.hyperbolic,activation.identity,0.8005,0.735533,0.9241095,0.25320715,15,0.0001,1e-05,100,6,,,655.9764912128448
16,model_type.hyperbolic,activation.identity,0.8064,0.7239858,0.92614394,0.24348375,16,0.0001,1e-05,100,6,,,697.7545952796936
17,model_type.hyperbolic,activation.identity,0.80259997,0.7325108,0.92962915,0.2306711,17,0.0001,1e-05,100,6,,,736.8204231262207
18,model_type.hyperbolic,activation.identity,0.8007,0.7373195,0.932514,0.22371373,18,0.0001,1e-05,100,6,,,774.6972093582153
19,model_type.hyperbolic,activation.identity,0.8107,0.7185077,0.93453175,0.2124029,19,0.0001,1e-05,100,6,,,818.2212560176849
20,model_type.hyperbolic,activation.identity,0.8096,0.7440942,0.9381837,0.20432815,20,0.0001,1e-05,100,6,,,857.6416327953339
21,model_type.hyperbolic,activation.identity,0.81149995,0.7392626,0.93921757,0.19687016,21,0.0001,1e-05,100,6,,,898.8380615711212
22,model_type.hyperbolic,activation.identity,0.82049996,0.7003175,0.9421358,0.18873723,22,0.0001,1e-05,100,6,,,941.1080601215363
23,model_type.hyperbolic,activation.identity,0.81219995,0.7501895,0.94528747,0.18000059,23,0.0001,1e-05,100,6,,,982.7488126754761
24,model_type.hyperbolic,activation.identity,0.8157,0.72961843,0.94667155,0.17553501,24,0.0001,1e-05,100,6,,,1023.1672399044037
25,model_type.hyperbolic,activation.identity,0.8232,0.7016047,0.94885606,0.16882527,25,0.0001,1e-05,100,6,,,1065.6318626403809
26,model_type.hyperbolic,activation.identity,0.8165,0.73673433,0.9499233,0.16170163,26,0.0001,1e-05,100,6,,,1105.1724152565002
27,model_type.hyperbolic,activation.identity,0.8294,0.7007604,0.9520077,0.15631878,27,0.0001,1e-05,100,6,,,1147.063642501831
28,model_type.hyperbolic,activation.identity,0.82269996,0.72306085,0.9535419,0.14961563,28,0.0001,1e-05,100,6,,,1185.187833070755
29,model_type.hyperbolic,activation.identity,0.8243,0.7243571,0.9553929,0.14492358,29,0.0001,1e-05,100,6,,,1226.2007143497467
30,model_type.hyperbolic,activation.identity,0.8183,0.7568523,0.9569604,0.13998646,30,0.0001,1e-05,100,6,,,1266.7267022132874
31,model_type.hyperbolic,activation.identity,0.81409997,0.7747998,0.95887804,0.13427979,31,0.0001,1e-05,100,6,,,1306.2753760814667
32,model_type.hyperbolic,activation.identity,0.82769996,0.74295896,0.96091247,0.12768894,32,0.0001,1e-05,100,6,,,1346.3011434078217
33,model_type.hyperbolic,activation.identity,0.8315,0.75528675,0.96092916,0.12522833,33,0.0001,1e-05,100,6,,,1386.7652926445007
34,model_type.hyperbolic,activation.identity,0.8278,0.7556028,0.963097,0.120147794,34,0.0001,1e-05,100,6,,,1426.6004359722137
35,model_type.hyperbolic,activation.identity,0.8278,0.78302205,0.9626968,0.117677815,35,0.0001,1e-05,100,6,,,1468.8124351501465
36,model_type.hyperbolic,activation.identity,0.83489996,0.75098497,0.96591514,0.110648245,36,0.0001,1e-05,100,6,,,1510.287071466446
