,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.poincare,activation.dmelu,0.5554,1.4854283,0.54620796,1.6031498,0,0.0001,1e-05,20,4,,,129.32984256744385
1,model_type.poincare,activation.dmelu,0.6227,1.2326903,0.741262,0.96466655,1,0.0001,1e-05,20,4,,,165.02978229522705
2,model_type.poincare,activation.dmelu,0.65059996,1.1294215,0.7858191,0.75489444,2,0.0001,1e-05,20,4,,,200.49542498588562
3,model_type.poincare,activation.dmelu,0.67219996,1.0639209,0.80624664,0.6642448,3,0.0001,1e-05,20,4,,,236.22893238067627
4,model_type.poincare,activation.dmelu,0.6881,1.017932,0.81882006,0.61036044,4,0.0001,1e-05,20,4,,,269.4239573478699
5,model_type.poincare,activation.dmelu,0.6974,0.98693615,0.8301094,0.5719385,5,0.0001,1e-05,20,4,,,302.2241220474243
6,model_type.poincare,activation.dmelu,0.7109,0.9470831,0.8375634,0.5430173,6,0.0001,1e-05,20,4,,,335.3271541595459
7,model_type.poincare,activation.dmelu,0.71669996,0.929042,0.84446704,0.51994884,7,0.0001,1e-05,20,4,,,372.00147247314453
8,model_type.poincare,activation.dmelu,0.7215,0.91516125,0.84908617,0.5007901,8,0.0001,1e-05,20,4,,,408.2439754009247
9,model_type.poincare,activation.dmelu,0.72749996,0.89732206,0.8548059,0.48419586,9,0.0001,1e-05,20,4,,,443.8000497817993
10,model_type.poincare,activation.dmelu,0.72999996,0.8872145,0.85885805,0.46962753,10,0.0001,1e-05,20,4,,,477.4473624229431
11,model_type.poincare,activation.dmelu,0.7341,0.87844884,0.86251,0.45634475,11,0.0001,1e-05,20,4,,,513.1871559619904
12,model_type.poincare,activation.dmelu,0.7384,0.8638231,0.8653615,0.44391057,12,0.0001,1e-05,20,4,,,547.2352261543274
13,model_type.poincare,activation.dmelu,0.7453,0.8525903,0.86951375,0.43210614,13,0.0001,1e-05,20,4,,,580.0662951469421
14,model_type.poincare,activation.dmelu,0.7453,0.84656316,0.8728322,0.42114094,14,0.0001,1e-05,20,4,,,617.1979749202728
15,model_type.poincare,activation.dmelu,0.7502,0.83169824,0.8761006,0.4106904,15,0.0001,1e-05,20,4,,,653.5593023300171
16,model_type.poincare,activation.dmelu,0.7558,0.82083577,0.87931895,0.4009002,16,0.0001,1e-05,20,4,,,687.3675677776337
17,model_type.poincare,activation.dmelu,0.75519997,0.81897265,0.88165355,0.3913171,17,0.0001,1e-05,20,4,,,723.6884694099426
18,model_type.poincare,activation.dmelu,0.7564,0.81223816,0.8845051,0.3827103,18,0.0001,1e-05,20,4,,,766.6667864322662
19,model_type.poincare,activation.dmelu,0.7608,0.7999513,0.88675624,0.37457585,19,0.0001,1e-05,20,4,,,801.0880992412567
20,model_type.poincare,activation.dmelu,0.7597,0.79626733,0.88992465,0.36670506,20,0.0001,1e-05,20,4,,,836.6517708301544
21,model_type.poincare,activation.dmelu,0.7615,0.78771585,0.8915088,0.35939103,21,0.0001,1e-05,20,4,,,872.2037723064423
22,model_type.poincare,activation.dmelu,0.7635,0.7845621,0.89376,0.35240123,22,0.0001,1e-05,20,4,,,906.9726002216339
23,model_type.poincare,activation.dmelu,0.7683,0.77908856,0.8954109,0.34589043,23,0.0001,1e-05,20,4,,,939.5553131103516
