Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,kmnist,0.8844999670982361,0.5833903551101685,0.9944363006396588,0.020570106443287908,0,0.01,1e-05,sgd,100,3,26.867961406707764
poincare,relu,kmnist,0.8868999481201172,0.620651364326477,0.9948527452025586,0.01798119065908108,1,0.01,1e-05,sgd,100,3,54.07568907737732
poincare,relu,kmnist,0.8788999915122986,0.6397079825401306,0.994036513859275,0.021558565909349754,2,0.01,1e-05,sgd,100,3,81.0454773902893
poincare,relu,kmnist,0.8812999725341797,0.5951074361801147,0.9940031982942431,0.02176903033365512,3,0.01,1e-05,sgd,100,3,108.1458637714386
poincare,relu,kmnist,0.8592000007629395,0.7562945485115051,0.9951692430703625,0.016920661293543568,4,0.01,1e-05,sgd,100,3,134.91870212554932
poincare,relu,kmnist,0.8865999579429626,0.5946965217590332,0.9955523720682303,0.016924243418888665,5,0.01,1e-05,sgd,100,3,161.71905970573425
poincare,relu,kmnist,0.8854999542236328,0.6407477259635925,0.9966851012793176,0.012569254766175732,6,0.01,1e-05,sgd,100,3,188.5774712562561
poincare,relu,kmnist,0.8876000046730042,0.6236172318458557,0.9976512526652452,0.009785268879130057,7,0.01,1e-05,sgd,100,3,215.21747589111328
poincare,relu,kmnist,0.8917999863624573,0.6315209269523621,0.998217617270789,0.007371964551233089,8,0.01,1e-05,sgd,100,3,242.0637412071228
poincare,relu,kmnist,0.8889999985694885,0.6569304466247559,0.998067697228145,0.007745895587872944,9,0.01,1e-05,sgd,100,3,268.7552089691162
poincare,relu,kmnist,0.8881999850273132,0.6697198152542114,0.9992837153518124,0.003473433355120622,10,0.01,1e-05,sgd,100,3,295.74896693229675
poincare,relu,kmnist,0.8859999775886536,0.6943587064743042,0.9994336353944563,0.0025404358941337854,11,0.01,1e-05,sgd,100,3,322.3443429470062
poincare,relu,kmnist,0.8860999941825867,0.6941348910331726,0.9995668976545842,0.0021144413220764674,12,0.01,1e-05,sgd,100,3,348.8154344558716
poincare,relu,kmnist,0.8853999972343445,0.7123177647590637,0.9996168710021321,0.0017956893788340666,13,0.01,1e-05,sgd,100,3,375.73296546936035
poincare,relu,kmnist,0.8858000040054321,0.7131430506706238,0.9996668443496801,0.0015441598337568767,14,0.01,1e-05,sgd,100,3,402.3222699165344
