Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,kmnist,0.895799994468689,0.6873745918273926,1.0,2.415622759623741e-05,0,0.01,1e-05,sgd,200,3,27.888554096221924
poincare,relu,kmnist,0.8953999876976013,0.6888850331306458,1.0,2.299432715198467e-05,1,0.01,1e-05,sgd,200,3,55.77134561538696
poincare,relu,kmnist,0.8953999876976013,0.6896407604217529,1.0,2.2073757283795937e-05,2,0.01,1e-05,sgd,200,3,83.77253293991089
poincare,relu,kmnist,0.8959999680519104,0.6895528435707092,1.0,2.1208721338930184e-05,3,0.01,1e-05,sgd,200,3,111.67953109741211
poincare,relu,kmnist,0.8956999778747559,0.6915346384048462,1.0,2.03268110669045e-05,4,0.01,1e-05,sgd,200,3,139.31085228919983
poincare,relu,kmnist,0.895799994468689,0.6916223168373108,1.0,1.9683553345007247e-05,5,0.01,1e-05,sgd,200,3,167.04786825180054
poincare,relu,kmnist,0.895799994468689,0.692842423915863,1.0,1.902881034051721e-05,6,0.01,1e-05,sgd,200,3,195.01886129379272
poincare,relu,kmnist,0.8959999680519104,0.6928034424781799,1.0,1.8429382677739627e-05,7,0.01,1e-05,sgd,200,3,222.7409327030182
poincare,relu,kmnist,0.895799994468689,0.69405198097229,1.0,1.78088356314625e-05,8,0.01,1e-05,sgd,200,3,250.37079119682312
poincare,relu,kmnist,0.895799994468689,0.6941178441047668,1.0,1.730595005898331e-05,9,0.01,1e-05,sgd,200,3,278.1600272655487
poincare,relu,kmnist,0.8959999680519104,0.694983184337616,1.0,1.680953177909707e-05,10,0.01,1e-05,sgd,200,3,306.02097272872925
poincare,relu,kmnist,0.8958999514579773,0.6960098147392273,1.0,1.634515106626829e-05,11,0.01,1e-05,sgd,200,3,333.8479654788971
poincare,relu,kmnist,0.8958999514579773,0.6971918940544128,1.0,1.5907508103977663e-05,12,0.01,1e-05,sgd,200,3,361.47264981269836
poincare,relu,kmnist,0.8959999680519104,0.6978796720504761,1.0,1.5532824335498987e-05,13,0.01,1e-05,sgd,200,3,389.7074465751648
poincare,relu,kmnist,0.8959999680519104,0.6979560852050781,1.0,1.5133815877910634e-05,14,0.01,1e-05,sgd,200,3,417.44122672080994
