Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
eucl,relu,mnist,0.971299946308136,0.15743637084960938,0.9998667377398721,0.002950264053450384,0,0.01,1e-05,sgd,40,3,7.5276899337768555
eucl,relu,mnist,0.9709999561309814,0.1600395292043686,0.9998500799573561,0.002844467848080579,1,0.01,1e-05,sgd,40,3,15.04344630241394
eucl,relu,mnist,0.9716999530792236,0.1599336862564087,0.9999167110874201,0.002644092848211329,2,0.01,1e-05,sgd,40,3,22.675243139266968
eucl,relu,mnist,0.971299946308136,0.16140615940093994,0.9999000533049041,0.0026196455520824304,3,0.01,1e-05,sgd,40,3,30.107758283615112
eucl,relu,mnist,0.9711999893188477,0.16138887405395508,0.999933368869936,0.0024215214053876443,4,0.01,1e-05,sgd,40,3,37.673858642578125
eucl,relu,mnist,0.9710999727249146,0.16360487043857574,0.999950026652452,0.0023927018120903356,5,0.01,1e-05,sgd,40,3,45.1941282749176
eucl,relu,mnist,0.9714999794960022,0.16420042514801025,0.999950026652452,0.0022969475696003223,6,0.01,1e-05,sgd,40,3,52.62929010391235
eucl,relu,mnist,0.9722999930381775,0.1635713130235672,0.9999666844349681,0.002207883464169752,7,0.01,1e-05,sgd,40,3,60.26906704902649
eucl,relu,mnist,0.9716999530792236,0.1673843115568161,0.9999666844349681,0.0021273620438705134,8,0.01,1e-05,sgd,40,3,67.76536798477173
eucl,relu,mnist,0.9715999960899353,0.16623833775520325,0.999983342217484,0.0020169130530004685,9,0.01,1e-05,sgd,40,3,75.38466048240662
eucl,relu,mnist,0.9710999727249146,0.1664508432149887,0.9999666844349681,0.001988561457044092,10,0.01,1e-05,sgd,40,3,82.90236687660217
eucl,relu,mnist,0.9713999629020691,0.1664678454399109,0.9999666844349681,0.0019067446497736452,11,0.01,1e-05,sgd,40,3,90.41234850883484
eucl,relu,mnist,0.9706999659538269,0.1672089546918869,0.9999666844349681,0.0018711371939406662,12,0.01,1e-05,sgd,40,3,97.97762489318848
eucl,relu,mnist,0.972000002861023,0.16780486702919006,0.9999666844349681,0.0018003835258907574,13,0.01,1e-05,sgd,40,3,105.46265149116516
eucl,relu,mnist,0.9711999893188477,0.16885459423065186,0.999950026652452,0.0017574434039096829,14,0.01,1e-05,sgd,40,3,113.08750557899475
