Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
hyp,relu,mnist,0.9139999747276306,0.3010496497154236,0.7981909648187633,0.7435818002867037,0,0.01,1e-05,sgd,200,3,20.828903198242188
hyp,relu,mnist,0.9303999543190002,0.2347601056098938,0.9184434968017058,0.277947347944797,1,0.01,1e-05,sgd,200,3,41.78998279571533
hyp,relu,mnist,0.9411999583244324,0.2008177638053894,0.9368836620469083,0.2156835220166361,2,0.01,1e-05,sgd,200,3,62.67184567451477
hyp,relu,mnist,0.9521999955177307,0.1586129069328308,0.9477778518123667,0.17768245076200664,3,0.01,1e-05,sgd,200,3,83.75852489471436
hyp,relu,mnist,0.9546999931335449,0.14745530486106873,0.9552405383795309,0.15162191748706452,4,0.01,1e-05,sgd,200,3,104.6037917137146
hyp,relu,mnist,0.958899974822998,0.13396607339382172,0.9611373933901919,0.1309964723253587,5,0.01,1e-05,sgd,200,3,125.60034966468811
hyp,relu,mnist,0.9637999534606934,0.11942398548126221,0.9656183368869936,0.11482569462518448,6,0.01,1e-05,sgd,200,3,146.6122796535492
hyp,relu,mnist,0.9648000001907349,0.11285468935966492,0.9702325426439232,0.10134808048169051,7,0.01,1e-05,sgd,200,3,167.47978806495667
hyp,relu,mnist,0.9693999886512756,0.09953346848487854,0.9741970948827292,0.09039780104767157,8,0.01,1e-05,sgd,200,3,188.58029699325562
hyp,relu,mnist,0.9684999585151672,0.1028752475976944,0.9763959221748401,0.08135758245340002,9,0.01,1e-05,sgd,200,3,209.56523084640503
hyp,relu,mnist,0.9716999530792236,0.09045831859111786,0.9789778784648188,0.0731706844085752,10,0.01,1e-05,sgd,200,3,230.44740295410156
hyp,relu,mnist,0.972599983215332,0.08675296604633331,0.9815598347547975,0.06608958227504323,11,0.01,1e-05,sgd,200,3,251.44763898849487
hyp,relu,mnist,0.9745000004768372,0.08412159234285355,0.9829424307036247,0.06018060986185943,12,0.01,1e-05,sgd,200,3,272.30523777008057
hyp,relu,mnist,0.971299946308136,0.09100640565156937,0.9845582356076759,0.05479673789377247,13,0.01,1e-05,sgd,200,3,293.18854451179504
hyp,relu,mnist,0.973800003528595,0.08707154542207718,0.9859908049040512,0.04980505767391562,14,0.01,1e-05,sgd,200,3,314.11122941970825
hyp,relu,mnist,0.9770999550819397,0.07778581231832504,0.9876232675906184,0.0453411194782303,15,0.01,1e-05,sgd,200,3,335.1969065666199
hyp,relu,mnist,0.9763999581336975,0.07531415671110153,0.988456156716418,0.04138268244083919,16,0.01,1e-05,sgd,200,3,356.18239641189575
hyp,relu,mnist,0.976699948310852,0.074977345764637,0.9893556769722814,0.03787982817401669,17,0.01,1e-05,sgd,200,3,377.09215331077576
hyp,relu,mnist,0.9782999753952026,0.07452371716499329,0.9907049573560768,0.034281090904982374,18,0.01,1e-05,sgd,200,3,398.0484108924866
hyp,relu,mnist,0.9775999784469604,0.0716540738940239,0.9914045842217484,0.03166358169393618,19,0.01,1e-05,sgd,200,3,419.0120122432709
hyp,relu,mnist,0.9776999950408936,0.07369231432676315,0.9923540778251599,0.02900218896330523,20,0.01,1e-05,sgd,200,3,439.9724164009094
hyp,relu,mnist,0.9777999520301819,0.07242423295974731,0.9931536513859275,0.02643830343377965,21,0.01,1e-05,sgd,200,3,460.9202780723572
hyp,relu,mnist,0.9718999862670898,0.08857864141464233,0.9943863272921108,0.023914784135451832,22,0.01,1e-05,sgd,200,3,481.7547821998596
hyp,relu,mnist,0.9786999821662903,0.06976266205310822,0.9947361407249466,0.02200062785159622,23,0.01,1e-05,sgd,200,3,502.69545555114746
hyp,relu,mnist,0.9799999594688416,0.0707908496260643,0.9951192697228145,0.020278061545495666,24,0.01,1e-05,sgd,200,3,523.6203556060791
hyp,relu,mnist,0.9802999496459961,0.06962117552757263,0.9960021321961621,0.01859957094789286,25,0.01,1e-05,sgd,200,3,544.7889964580536
hyp,relu,mnist,0.9784999489784241,0.07233713567256927,0.9966018123667377,0.016808795877536243,26,0.01,1e-05,sgd,200,3,565.6086916923523
hyp,relu,mnist,0.9801999926567078,0.07004909217357635,0.9968849946695096,0.015462622468321046,27,0.01,1e-05,sgd,200,3,586.4798715114594
hyp,relu,mnist,0.9781000018119812,0.07490407675504684,0.9973514125799574,0.013958352967537741,28,0.01,1e-05,sgd,200,3,607.501980304718
hyp,relu,mnist,0.979699969291687,0.07217715680599213,0.9976512526652452,0.012768126780607564,29,0.01,1e-05,sgd,200,3,628.405148267746
hyp,relu,mnist,0.9797999858856201,0.0710446685552597,0.997984408315565,0.011978045291602929,30,0.01,1e-05,sgd,200,3,649.547470331192
hyp,relu,mnist,0.9794999957084656,0.07093536853790283,0.9984674840085288,0.010785127731860737,31,0.01,1e-05,sgd,200,3,670.4204950332642
hyp,relu,mnist,0.9789999723434448,0.07322096824645996,0.9987506663113006,0.009777051298869159,32,0.01,1e-05,sgd,200,3,691.2884373664856
hyp,relu,mnist,0.9797999858856201,0.07314147800207138,0.9990171908315565,0.009047550592086971,33,0.01,1e-05,sgd,200,3,712.3484106063843
hyp,relu,mnist,0.9799999594688416,0.07251903414726257,0.9991337953091685,0.008342250994785673,34,0.01,1e-05,sgd,200,3,733.2878112792969
hyp,relu,mnist,0.9799999594688416,0.07202611118555069,0.9993170309168443,0.007505493560013597,35,0.01,1e-05,sgd,200,3,754.3979651927948
hyp,relu,mnist,0.9799000024795532,0.07523393630981445,0.9993670042643923,0.007037879570283299,36,0.01,1e-05,sgd,200,3,775.3142366409302
hyp,relu,mnist,0.9799000024795532,0.07449264079332352,0.9995835554371002,0.006494938660085873,37,0.01,1e-05,sgd,200,3,796.3055045604706
hyp,relu,mnist,0.9811999797821045,0.07462265342473984,0.9995002665245203,0.006017639227608007,38,0.01,1e-05,sgd,200,3,817.157292842865
hyp,relu,mnist,0.9794999957084656,0.07682238519191742,0.9995668976545842,0.005585894437934603,39,0.01,1e-05,sgd,200,3,838.080329656601
