,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.8178,0.579499,0.670691,0.9611856,0,0.0001,1e-05,100,7,,,4.549854278564453
1,model_type.euclidean,activation.dmelu,0.8715,0.41784805,0.84174895,0.5069165,1,0.0001,1e-05,100,7,,,8.80843210220337
2,model_type.euclidean,activation.dmelu,0.9034,0.31661922,0.8920591,0.3630433,2,0.0001,1e-05,100,7,,,12.959712982177734
3,model_type.euclidean,activation.dmelu,0.9176,0.27252683,0.9112527,0.29532593,3,0.0001,1e-05,100,7,,,17.47840905189514
4,model_type.euclidean,activation.dmelu,0.922,0.25514925,0.92365927,0.252718,4,0.0001,1e-05,100,7,,,21.59024453163147
5,model_type.euclidean,activation.dmelu,0.9362,0.21291421,0.93326443,0.22171366,5,0.0001,1e-05,100,7,,,25.789974689483643
6,model_type.euclidean,activation.dmelu,0.9426,0.19186063,0.941302,0.19454709,6,0.0001,1e-05,100,7,,,30.06879234313965
7,model_type.euclidean,activation.dmelu,0.946,0.17744254,0.94783884,0.17325002,7,0.0001,1e-05,100,7,,,34.17754578590393
8,model_type.euclidean,activation.dmelu,0.9493,0.16418009,0.9528915,0.15689343,8,0.0001,1e-05,100,7,,,38.471741676330566
9,model_type.euclidean,activation.dmelu,0.9502,0.16004303,0.95490927,0.14556187,9,0.0001,1e-05,100,7,,,42.74801445007324
10,model_type.euclidean,activation.dmelu,0.9531,0.1501694,0.9593617,0.13407753,10,0.0001,1e-05,100,7,,,47.025230169296265
11,model_type.euclidean,activation.dmelu,0.9579,0.14422747,0.9617463,0.12571515,11,0.0001,1e-05,100,7,,,51.375736713409424
12,model_type.euclidean,activation.dmelu,0.9587,0.1335492,0.96454775,0.11789292,12,0.0001,1e-05,100,7,,,55.568039417266846
13,model_type.euclidean,activation.dmelu,0.9589,0.13428275,0.96596515,0.1122816,13,0.0001,1e-05,100,7,,,59.789175033569336
14,model_type.euclidean,activation.dmelu,0.9607,0.12967984,0.9673159,0.10627939,14,0.0001,1e-05,100,7,,,64.02432489395142
15,model_type.euclidean,activation.dmelu,0.9625,0.1234868,0.9696505,0.10023209,15,0.0001,1e-05,100,7,,,68.17312169075012
