,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.euclidean,activation.dmelu,0.4012,1.4319519,0.2577041,1.8299179,0,0.0001,1e-05,20,7,,,4.0066304206848145
1,model_type.euclidean,activation.dmelu,0.5676,1.1221024,0.5096552,1.2418588,1,0.0001,1e-05,20,7,,,7.607588768005371
2,model_type.euclidean,activation.dmelu,0.6366,1.0117407,0.6026214,1.0637615,2,0.0001,1e-05,20,7,,,11.099443674087524
3,model_type.euclidean,activation.dmelu,0.6853,0.911257,0.6612527,0.9571112,3,0.0001,1e-05,20,7,,,14.743964195251465
4,model_type.euclidean,activation.dmelu,0.7308,0.8128623,0.7083278,0.85434675,4,0.0001,1e-05,20,7,,,18.40797710418701
5,model_type.euclidean,activation.dmelu,0.7745,0.71659905,0.75285155,0.7578908,5,0.0001,1e-05,20,7,,,22.132282495498657
6,model_type.euclidean,activation.dmelu,0.8222,0.6186638,0.796925,0.6614972,6,0.0001,1e-05,20,7,,,26.002086877822876
7,model_type.euclidean,activation.dmelu,0.8485,0.5373208,0.8355123,0.5708026,7,0.0001,1e-05,20,7,,,29.787315130233765
8,model_type.euclidean,activation.dmelu,0.864,0.47917724,0.85612327,0.50223684,8,0.0001,1e-05,20,7,,,33.54030704498291
9,model_type.euclidean,activation.dmelu,0.8753,0.43509844,0.86841315,0.4536062,9,0.0001,1e-05,20,7,,,37.17742037773132
10,model_type.euclidean,activation.dmelu,0.886,0.40033746,0.8790188,0.41527238,10,0.0001,1e-05,20,7,,,40.82814979553223
11,model_type.euclidean,activation.dmelu,0.8914,0.37438345,0.88749,0.38441688,11,0.0001,1e-05,20,7,,,44.60067272186279
12,model_type.euclidean,activation.dmelu,0.8966,0.35833362,0.8952775,0.35852012,12,0.0001,1e-05,20,7,,,48.260905265808105
13,model_type.euclidean,activation.dmelu,0.9044,0.33579892,0.9015975,0.33737558,13,0.0001,1e-05,20,7,,,52.128859519958496
14,model_type.euclidean,activation.dmelu,0.9059,0.3235562,0.9076841,0.31844887,14,0.0001,1e-05,20,7,,,55.72134566307068
15,model_type.euclidean,activation.dmelu,0.9096,0.30576158,0.91263676,0.30138034,15,0.0001,1e-05,20,7,,,59.32417869567871
16,model_type.euclidean,activation.dmelu,0.9143,0.2924928,0.9169724,0.286431,16,0.0001,1e-05,20,7,,,63.11964249610901
17,model_type.euclidean,activation.dmelu,0.9168,0.28367648,0.9216582,0.27272743,17,0.0001,1e-05,20,7,,,66.64078044891357
18,model_type.euclidean,activation.dmelu,0.9198,0.2717223,0.92517674,0.26055086,18,0.0001,1e-05,20,7,,,70.20725893974304
19,model_type.euclidean,activation.dmelu,0.9221,0.26282355,0.92841184,0.24969557,19,0.0001,1e-05,20,7,,,73.9142677783966
20,model_type.euclidean,activation.dmelu,0.9249,0.25524402,0.9314468,0.23997395,20,0.0001,1e-05,20,7,,,77.47385382652283
21,model_type.euclidean,activation.dmelu,0.9284,0.24707277,0.9338647,0.23158549,21,0.0001,1e-05,20,7,,,81.08735656738281
22,model_type.euclidean,activation.dmelu,0.9287,0.24272718,0.93581575,0.22399503,22,0.0001,1e-05,20,7,,,84.64919304847717
23,model_type.euclidean,activation.dmelu,0.9302,0.23726211,0.93780017,0.21665427,23,0.0001,1e-05,20,7,,,88.10327410697937
24,model_type.euclidean,activation.dmelu,0.9328,0.22915322,0.93930095,0.21072154,24,0.0001,1e-05,20,7,,,92.18923044204712
25,model_type.euclidean,activation.dmelu,0.9341,0.22758174,0.9412353,0.20527527,25,0.0001,1e-05,20,7,,,95.97830557823181
26,model_type.euclidean,activation.dmelu,0.9347,0.22403355,0.94295293,0.19986223,26,0.0001,1e-05,20,7,,,99.64589262008667
27,model_type.euclidean,activation.dmelu,0.9346,0.22051081,0.94412017,0.19493546,27,0.0001,1e-05,20,7,,,103.50204277038574
28,model_type.euclidean,activation.dmelu,0.9357,0.21805225,0.94565433,0.19036618,28,0.0001,1e-05,20,7,,,107.0660490989685
29,model_type.euclidean,activation.dmelu,0.9361,0.21419995,0.9462213,0.18599251,29,0.0001,1e-05,20,7,,,110.785236120224
30,model_type.euclidean,activation.dmelu,0.9388,0.20746711,0.9483558,0.1818381,30,0.0001,1e-05,20,7,,,114.25813364982605
31,model_type.euclidean,activation.dmelu,0.9386,0.20493728,0.9484392,0.17868432,31,0.0001,1e-05,20,7,,,117.72422695159912
32,model_type.euclidean,activation.dmelu,0.9388,0.20740898,0.9495231,0.17474258,32,0.0001,1e-05,20,7,,,121.42034792900085
33,model_type.euclidean,activation.dmelu,0.9415,0.19905952,0.9509405,0.17121667,33,0.0001,1e-05,20,7,,,125.19979548454285
34,model_type.euclidean,activation.dmelu,0.9418,0.19541998,0.95145744,0.16802515,34,0.0001,1e-05,20,7,,,128.9207661151886
35,model_type.euclidean,activation.dmelu,0.9409,0.19705462,0.9529582,0.16492935,35,0.0001,1e-05,20,7,,,132.80701398849487
36,model_type.euclidean,activation.dmelu,0.942,0.19421887,0.95370865,0.16171812,36,0.0001,1e-05,20,7,,,136.4536952972412
37,model_type.euclidean,activation.dmelu,0.9428,0.19428541,0.954359,0.15892085,37,0.0001,1e-05,20,7,,,140.09568548202515
38,model_type.euclidean,activation.dmelu,0.943,0.1902955,0.95489264,0.15622163,38,0.0001,1e-05,20,7,,,143.77856421470642
39,model_type.euclidean,activation.dmelu,0.9428,0.18926519,0.9558598,0.15328811,39,0.0001,1e-05,20,7,,,147.57320833206177
40,model_type.euclidean,activation.dmelu,0.9439,0.18793017,0.9565935,0.15031289,40,0.0001,1e-05,20,7,,,151.22722578048706
41,model_type.euclidean,activation.dmelu,0.9455,0.18479031,0.95744395,0.14888309,41,0.0001,1e-05,20,7,,,154.72816276550293
42,model_type.euclidean,activation.dmelu,0.946,0.1838249,0.95746064,0.14643118,42,0.0001,1e-05,20,7,,,158.30156588554382
43,model_type.euclidean,activation.dmelu,0.946,0.1845017,0.9581944,0.1434578,43,0.0001,1e-05,20,7,,,162.02744030952454
44,model_type.euclidean,activation.dmelu,0.9451,0.18352585,0.9591115,0.14127302,44,0.0001,1e-05,20,7,,,165.62671661376953
45,model_type.euclidean,activation.dmelu,0.9475,0.1832747,0.95949507,0.13940096,45,0.0001,1e-05,20,7,,,169.48467302322388
46,model_type.euclidean,activation.dmelu,0.947,0.18130992,0.95974517,0.1373488,46,0.0001,1e-05,20,7,,,173.14220643043518
47,model_type.euclidean,activation.dmelu,0.9485,0.1785987,0.96094584,0.13520262,47,0.0001,1e-05,20,7,,,176.94807982444763
48,model_type.euclidean,activation.dmelu,0.9479,0.17647663,0.9613127,0.13326292,48,0.0001,1e-05,20,7,,,180.67978715896606
49,model_type.euclidean,activation.dmelu,0.9486,0.17473991,0.96196306,0.13120288,49,0.0001,1e-05,20,7,,,184.4180510044098
50,model_type.euclidean,activation.dmelu,0.9472,0.17750749,0.96236324,0.12980318,50,0.0001,1e-05,20,7,,,187.96791291236877
51,model_type.euclidean,activation.dmelu,0.9506,0.17150268,0.9629469,0.12789527,51,0.0001,1e-05,20,7,,,191.78987956047058
52,model_type.euclidean,activation.dmelu,0.9498,0.172977,0.96336377,0.12568554,52,0.0001,1e-05,20,7,,,195.51277041435242
53,model_type.euclidean,activation.dmelu,0.9502,0.17085451,0.9636473,0.1243215,53,0.0001,1e-05,20,7,,,199.22925448417664
54,model_type.euclidean,activation.dmelu,0.9497,0.17430058,0.96428096,0.12312788,54,0.0001,1e-05,20,7,,,202.8652799129486
55,model_type.euclidean,activation.dmelu,0.9514,0.1696275,0.964998,0.12125828,55,0.0001,1e-05,20,7,,,206.52701902389526
56,model_type.euclidean,activation.dmelu,0.951,0.1698001,0.9649146,0.119820654,56,0.0001,1e-05,20,7,,,210.39970326423645
57,model_type.euclidean,activation.dmelu,0.9513,0.16849172,0.96549827,0.11817031,57,0.0001,1e-05,20,7,,,213.99381160736084
58,model_type.euclidean,activation.dmelu,0.9517,0.16937739,0.9660152,0.11672589,58,0.0001,1e-05,20,7,,,217.73285150527954
59,model_type.euclidean,activation.dmelu,0.9516,0.1696346,0.96611524,0.115868874,59,0.0001,1e-05,20,7,,,221.48439860343933
60,model_type.euclidean,activation.dmelu,0.953,0.16614737,0.9663487,0.11424743,60,0.0001,1e-05,20,7,,,225.30373167991638
61,model_type.euclidean,activation.dmelu,0.9534,0.16497539,0.96696573,0.11294298,61,0.0001,1e-05,20,7,,,228.90455317497253
62,model_type.euclidean,activation.dmelu,0.9518,0.16908409,0.9672492,0.1108275,62,0.0001,1e-05,20,7,,,232.5265085697174
63,model_type.euclidean,activation.dmelu,0.9538,0.16323845,0.96803296,0.110233516,63,0.0001,1e-05,20,7,,,236.2285716533661
64,model_type.euclidean,activation.dmelu,0.9533,0.16457446,0.96783286,0.10908959,64,0.0001,1e-05,20,7,,,239.944406747818
65,model_type.euclidean,activation.dmelu,0.9526,0.16484435,0.9691002,0.10756339,65,0.0001,1e-05,20,7,,,243.60784006118774
66,model_type.euclidean,activation.dmelu,0.9547,0.16049507,0.96875,0.1064128,66,0.0001,1e-05,20,7,,,247.1983871459961
67,model_type.euclidean,activation.dmelu,0.9535,0.16105206,0.9690835,0.10512844,67,0.0001,1e-05,20,7,,,250.92112398147583
68,model_type.euclidean,activation.dmelu,0.9558,0.15966833,0.9697672,0.10357519,68,0.0001,1e-05,20,7,,,254.52169680595398
69,model_type.euclidean,activation.dmelu,0.9555,0.1602304,0.969934,0.102879934,69,0.0001,1e-05,20,7,,,258.22482109069824
70,model_type.euclidean,activation.dmelu,0.9555,0.15774803,0.9701341,0.10081886,70,0.0001,1e-05,20,7,,,262.03580927848816
71,model_type.euclidean,activation.dmelu,0.955,0.16080342,0.97075105,0.10048591,71,0.0001,1e-05,20,7,,,265.68632459640503
72,model_type.euclidean,activation.dmelu,0.9555,0.15807831,0.9711179,0.09926751,72,0.0001,1e-05,20,7,,,269.363094329834
73,model_type.euclidean,activation.dmelu,0.9548,0.1648496,0.9709512,0.09810153,73,0.0001,1e-05,20,7,,,273.03576612472534
74,model_type.euclidean,activation.dmelu,0.9564,0.15896206,0.971168,0.097549975,74,0.0001,1e-05,20,7,,,276.6771695613861
75,model_type.euclidean,activation.dmelu,0.9555,0.15891683,0.97173494,0.09603095,75,0.0001,1e-05,20,7,,,280.4027783870697
76,model_type.euclidean,activation.dmelu,0.9577,0.1565136,0.9722018,0.095153585,76,0.0001,1e-05,20,7,,,284.0461950302124
77,model_type.euclidean,activation.dmelu,0.9567,0.15638298,0.9725187,0.09391914,77,0.0001,1e-05,20,7,,,287.7676463127136
78,model_type.euclidean,activation.dmelu,0.9555,0.16061002,0.97273546,0.09309664,78,0.0001,1e-05,20,7,,,291.48021960258484
79,model_type.euclidean,activation.dmelu,0.9577,0.15685053,0.9725687,0.092294164,79,0.0001,1e-05,20,7,,,295.1979513168335
80,model_type.euclidean,activation.dmelu,0.9575,0.15596524,0.973119,0.09085738,80,0.0001,1e-05,20,7,,,298.8892138004303
81,model_type.euclidean,activation.dmelu,0.9569,0.15471707,0.9735025,0.08991128,81,0.0001,1e-05,20,7,,,302.5295705795288
82,model_type.euclidean,activation.dmelu,0.9571,0.15600164,0.97335243,0.08912555,82,0.0001,1e-05,20,7,,,306.2964115142822
83,model_type.euclidean,activation.dmelu,0.9579,0.15522662,0.973786,0.08815997,83,0.0001,1e-05,20,7,,,309.9718174934387
84,model_type.euclidean,activation.dmelu,0.9583,0.15610309,0.97428626,0.08683324,84,0.0001,1e-05,20,7,,,313.4886305332184
85,model_type.euclidean,activation.dmelu,0.9574,0.15561268,0.9747198,0.08592526,85,0.0001,1e-05,20,7,,,317.064106464386
86,model_type.euclidean,activation.dmelu,0.958,0.15631539,0.9746698,0.08564166,86,0.0001,1e-05,20,7,,,321.1152219772339
87,model_type.euclidean,activation.dmelu,0.9588,0.15435632,0.9745364,0.08466075,87,0.0001,1e-05,20,7,,,324.6448984146118
88,model_type.euclidean,activation.dmelu,0.956,0.16033648,0.97512007,0.08373295,88,0.0001,1e-05,20,7,,,328.79939103126526
89,model_type.euclidean,activation.dmelu,0.9589,0.1541175,0.9756203,0.08241911,89,0.0001,1e-05,20,7,,,332.41085839271545
90,model_type.euclidean,activation.dmelu,0.9581,0.15582708,0.9759872,0.08201004,90,0.0001,1e-05,20,7,,,336.10430908203125
91,model_type.euclidean,activation.dmelu,0.9587,0.15374833,0.9759538,0.081143245,91,0.0001,1e-05,20,7,,,339.8614842891693
92,model_type.euclidean,activation.dmelu,0.9593,0.1536484,0.97650415,0.080185115,92,0.0001,1e-05,20,7,,,343.5089371204376
93,model_type.euclidean,activation.dmelu,0.9585,0.15690106,0.97652084,0.079542786,93,0.0001,1e-05,20,7,,,347.26890206336975
94,model_type.euclidean,activation.dmelu,0.9575,0.15539014,0.976871,0.07876626,94,0.0001,1e-05,20,7,,,350.85673236846924
95,model_type.euclidean,activation.dmelu,0.959,0.15781023,0.97697103,0.07802225,95,0.0001,1e-05,20,7,,,354.485276222229
96,model_type.euclidean,activation.dmelu,0.9602,0.15555574,0.9772545,0.077649824,96,0.0001,1e-05,20,7,,,358.2122013568878
97,model_type.euclidean,activation.dmelu,0.958,0.1565347,0.97770476,0.07662666,97,0.0001,1e-05,20,7,,,361.79211688041687
98,model_type.euclidean,activation.dmelu,0.9599,0.15405418,0.9774046,0.07581507,98,0.0001,1e-05,20,7,,,365.413369178772
99,model_type.euclidean,activation.dmelu,0.9578,0.1581503,0.97790486,0.07516495,99,0.0001,1e-05,20,7,,,368.9769620895386
100,model_type.euclidean,activation.dmelu,0.9573,0.16141863,0.9782551,0.075088665,100,0.0001,1e-05,20,7,,,372.79889249801636
101,model_type.euclidean,activation.dmelu,0.9604,0.1570942,0.9783718,0.07359692,101,0.0001,1e-05,20,7,,,376.5252335071564
102,model_type.euclidean,activation.dmelu,0.9588,0.15626077,0.9783551,0.07349678,102,0.0001,1e-05,20,7,,,380.1893768310547
103,model_type.euclidean,activation.dmelu,0.9594,0.15870592,0.97887206,0.07252851,103,0.0001,1e-05,20,7,,,383.6684684753418
104,model_type.euclidean,activation.dmelu,0.9598,0.15568349,0.9786053,0.07184698,104,0.0001,1e-05,20,7,,,387.32781887054443
105,model_type.euclidean,activation.dmelu,0.9592,0.15495177,0.9787887,0.07200414,105,0.0001,1e-05,20,7,,,391.11643624305725
106,model_type.euclidean,activation.dmelu,0.9595,0.15666929,0.9795724,0.07016898,106,0.0001,1e-05,20,7,,,394.712370634079
