,Model,Activation,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Time
0,model_type.hyperbolic,activation.dmelu,0.8501,0.6014735,0.65680027,1.2300434,0,0.0001,1e-05,20,2,,,4.988476514816284
1,model_type.hyperbolic,activation.dmelu,0.8907,0.39588597,0.8689134,0.49336615,1,0.0001,1e-05,20,2,,,9.558987379074097
2,model_type.hyperbolic,activation.dmelu,0.9049,0.33592677,0.895044,0.37673566,2,0.0001,1e-05,20,2,,,14.11562180519104
3,model_type.hyperbolic,activation.dmelu,0.913,0.30381647,0.9071171,0.32996345,3,0.0001,1e-05,20,2,,,18.739452838897705
4,model_type.hyperbolic,activation.dmelu,0.9176,0.2830675,0.9138207,0.30298787,4,0.0001,1e-05,20,2,,,23.64331364631653
5,model_type.hyperbolic,activation.dmelu,0.9227,0.269699,0.9193236,0.28398454,5,0.0001,1e-05,20,2,,,28.45619010925293
6,model_type.hyperbolic,activation.dmelu,0.9255,0.25909197,0.92267543,0.2698893,6,0.0001,1e-05,20,2,,,33.21562886238098
7,model_type.hyperbolic,activation.dmelu,0.9299,0.24879575,0.92632735,0.25817567,7,0.0001,1e-05,20,2,,,37.919084548950195
8,model_type.hyperbolic,activation.dmelu,0.9314,0.24282436,0.928762,0.24791467,8,0.0001,1e-05,20,2,,,42.67062473297119
9,model_type.hyperbolic,activation.dmelu,0.9339,0.23293814,0.93211377,0.23913634,9,0.0001,1e-05,20,2,,,47.383383989334106
10,model_type.hyperbolic,activation.dmelu,0.9342,0.22801816,0.93444836,0.2311983,10,0.0001,1e-05,20,2,,,52.222264528274536
11,model_type.hyperbolic,activation.dmelu,0.9347,0.22195871,0.9363494,0.22392504,11,0.0001,1e-05,20,2,,,56.71852111816406
12,model_type.hyperbolic,activation.dmelu,0.9375,0.21554114,0.93820035,0.21707329,12,0.0001,1e-05,20,2,,,61.48376250267029
13,model_type.hyperbolic,activation.dmelu,0.9403,0.21129385,0.9401514,0.21121097,13,0.0001,1e-05,20,2,,,66.28638625144958
14,model_type.hyperbolic,activation.dmelu,0.9408,0.20729317,0.94170225,0.20511721,14,0.0001,1e-05,20,2,,,70.94871234893799
15,model_type.hyperbolic,activation.dmelu,0.9427,0.20215853,0.9434532,0.20016792,15,0.0001,1e-05,20,2,,,75.62338352203369
16,model_type.hyperbolic,activation.dmelu,0.9444,0.20086811,0.9448373,0.1952534,16,0.0001,1e-05,20,2,,,80.33965921401978
17,model_type.hyperbolic,activation.dmelu,0.9444,0.19674072,0.945621,0.19061334,17,0.0001,1e-05,20,2,,,85.02061104774475
18,model_type.hyperbolic,activation.dmelu,0.9476,0.19146593,0.94682163,0.18657129,18,0.0001,1e-05,20,2,,,89.78773021697998
19,model_type.hyperbolic,activation.dmelu,0.9474,0.18849397,0.94778883,0.18258487,19,0.0001,1e-05,20,2,,,94.56723141670227
20,model_type.hyperbolic,activation.dmelu,0.9484,0.18611276,0.94892275,0.17886809,20,0.0001,1e-05,20,2,,,99.17002463340759
21,model_type.hyperbolic,activation.dmelu,0.9479,0.18461275,0.95017344,0.1753623,21,0.0001,1e-05,20,2,,,103.94568085670471
22,model_type.hyperbolic,activation.dmelu,0.9504,0.17937693,0.9510906,0.17220998,22,0.0001,1e-05,20,2,,,108.54675078392029
23,model_type.hyperbolic,activation.dmelu,0.9491,0.17909665,0.9517909,0.16908823,23,0.0001,1e-05,20,2,,,113.17015647888184
24,model_type.hyperbolic,activation.dmelu,0.9498,0.17572261,0.95247465,0.16585045,24,0.0001,1e-05,20,2,,,118.02834796905518
25,model_type.hyperbolic,activation.dmelu,0.9502,0.17627737,0.95280814,0.1628557,25,0.0001,1e-05,20,2,,,122.80957245826721
26,model_type.hyperbolic,activation.dmelu,0.951,0.17414552,0.95385873,0.16046791,26,0.0001,1e-05,20,2,,,127.7272412776947
27,model_type.hyperbolic,activation.dmelu,0.9515,0.17097412,0.95472586,0.15788943,27,0.0001,1e-05,20,2,,,132.46524953842163
28,model_type.hyperbolic,activation.dmelu,0.9528,0.16943586,0.95512605,0.15543026,28,0.0001,1e-05,20,2,,,137.43818974494934
29,model_type.hyperbolic,activation.dmelu,0.9524,0.16587837,0.9558098,0.1527993,29,0.0001,1e-05,20,2,,,142.37454319000244
30,model_type.hyperbolic,activation.dmelu,0.9538,0.16545075,0.956827,0.15045461,30,0.0001,1e-05,20,2,,,147.10482025146484
31,model_type.hyperbolic,activation.dmelu,0.9532,0.16276594,0.9570771,0.14831677,31,0.0001,1e-05,20,2,,,151.6413345336914
32,model_type.hyperbolic,activation.dmelu,0.9528,0.16393448,0.95766073,0.14651097,32,0.0001,1e-05,20,2,,,156.5406732559204
33,model_type.hyperbolic,activation.dmelu,0.9536,0.16226424,0.9588447,0.14439799,33,0.0001,1e-05,20,2,,,161.31716561317444
34,model_type.hyperbolic,activation.dmelu,0.9539,0.15955012,0.9590448,0.14241551,34,0.0001,1e-05,20,2,,,165.8927550315857
35,model_type.hyperbolic,activation.dmelu,0.9542,0.15897028,0.95977855,0.14032215,35,0.0001,1e-05,20,2,,,171.07385921478271
36,model_type.hyperbolic,activation.dmelu,0.954,0.15663737,0.9602455,0.13885282,36,0.0001,1e-05,20,2,,,175.73758840560913
37,model_type.hyperbolic,activation.dmelu,0.9551,0.15637179,0.96101254,0.13684362,37,0.0001,1e-05,20,2,,,180.60073328018188
38,model_type.hyperbolic,activation.dmelu,0.9551,0.15476355,0.9616629,0.13500328,38,0.0001,1e-05,20,2,,,185.48678946495056
39,model_type.hyperbolic,activation.dmelu,0.9543,0.15513316,0.961863,0.13370152,39,0.0001,1e-05,20,2,,,190.18449664115906
40,model_type.hyperbolic,activation.dmelu,0.9545,0.15335199,0.96227986,0.13196419,40,0.0001,1e-05,20,2,,,194.8502426147461
41,model_type.hyperbolic,activation.dmelu,0.956,0.15181702,0.9629469,0.130016,41,0.0001,1e-05,20,2,,,199.74197125434875
42,model_type.hyperbolic,activation.dmelu,0.9556,0.15111426,0.9628635,0.12881376,42,0.0001,1e-05,20,2,,,204.83636450767517
43,model_type.hyperbolic,activation.dmelu,0.9556,0.14948612,0.96408087,0.1272933,43,0.0001,1e-05,20,2,,,209.52926230430603
44,model_type.hyperbolic,activation.dmelu,0.9555,0.15192826,0.9641309,0.12604822,44,0.0001,1e-05,20,2,,,214.0931921005249
45,model_type.hyperbolic,activation.dmelu,0.9564,0.14924733,0.96468115,0.12482987,45,0.0001,1e-05,20,2,,,218.77049160003662
46,model_type.hyperbolic,activation.dmelu,0.9568,0.14725782,0.96481454,0.12313802,46,0.0001,1e-05,20,2,,,223.53932881355286
47,model_type.hyperbolic,activation.dmelu,0.9572,0.14817843,0.9653315,0.12199232,47,0.0001,1e-05,20,2,,,228.24970531463623
48,model_type.hyperbolic,activation.dmelu,0.9565,0.148018,0.96593183,0.12076499,48,0.0001,1e-05,20,2,,,233.1985456943512
49,model_type.hyperbolic,activation.dmelu,0.9565,0.14570439,0.9662987,0.119364254,49,0.0001,1e-05,20,2,,,237.87231183052063
