Model,Activation,Dataset,Test accuracy,Test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Optimizer,Neurons,Nlayers,Time
poincare,relu,mnist,0.9753999710083008,0.0913277119398117,0.9978344882729211,0.010556122810619366,0,0.01,1e-05,sgd,100,1,15.425103902816772
poincare,relu,mnist,0.9746999740600586,0.10060028731822968,0.9993336886993603,0.005095163762448048,1,0.01,1e-05,sgd,100,1,30.898090600967407
poincare,relu,mnist,0.97489994764328,0.09752016514539719,0.9983841950959488,0.012617617344349399,2,0.01,1e-05,sgd,100,1,46.30237650871277
poincare,relu,mnist,0.9747999906539917,0.10802282392978668,0.9998334221748401,0.003106406836798772,3,0.01,1e-05,sgd,100,1,61.74626016616821
poincare,relu,mnist,0.9752999544143677,0.10655355453491211,0.999983342217484,0.001703619039292,4,0.01,1e-05,sgd,100,1,77.27319288253784
poincare,relu,mnist,0.9745000004768372,0.11292125284671783,1.0,0.001346330888587382,5,0.01,1e-05,sgd,100,1,92.74655151367188
poincare,relu,mnist,0.9745000004768372,0.11331546306610107,1.0,0.0012330950562762016,6,0.01,1e-05,sgd,100,1,108.26120042800903
poincare,relu,mnist,0.9736999869346619,0.1178407222032547,1.0,0.0010957895086678641,7,0.01,1e-05,sgd,100,1,123.67797780036926
poincare,relu,mnist,0.9745000004768372,0.11897610127925873,1.0,0.00099825359948828,8,0.01,1e-05,sgd,100,1,139.100243806839
poincare,relu,mnist,0.9741999506950378,0.11768725514411926,0.999933368869936,0.00110277594280587,9,0.01,1e-05,sgd,100,1,154.60962581634521
poincare,relu,mnist,0.9750999808311462,0.10094229876995087,0.9971015458422174,0.018509371245429708,10,0.01,1e-05,sgd,100,1,169.9526822566986
poincare,relu,mnist,0.9752999544143677,0.10522104799747467,0.9999000533049041,0.0018084651414210773,11,0.01,1e-05,sgd,100,1,185.56340909004211
poincare,relu,mnist,0.9751999974250793,0.09408485889434814,0.9966517857142857,0.02219378263532423,12,0.01,1e-05,sgd,100,1,200.99259424209595
poincare,relu,mnist,0.9757999777793884,0.09869460761547089,0.9997834488272921,0.0030168647914980925,13,0.01,1e-05,sgd,100,1,216.86341547966003
poincare,relu,mnist,0.9746999740600586,0.10995376855134964,1.0,0.0014162715585171448,14,0.01,1e-05,sgd,100,1,232.54303741455078
