,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.euclidean,activation.dmelu,,0.029881135,3.1863723,,0.088127725,0,0.01,0.0001,20,2,,,10
1,model_type.euclidean,activation.dmelu,,0.012593066,1.3428606,,0.02959036,1,0.01,0.0001,20,2,,,10
2,model_type.euclidean,activation.dmelu,,0.023904497,2.549054,,0.012292444,2,0.01,0.0001,20,2,,,10
3,model_type.euclidean,activation.dmelu,,0.03307619,3.5270767,,0.023430442,3,0.01,0.0001,20,2,,,10
4,model_type.euclidean,activation.dmelu,,0.029994296,3.1984391,,0.031384792,4,0.01,0.0001,20,2,,,10
5,model_type.euclidean,activation.dmelu,,0.022236954,2.3712358,,0.026967667,5,0.01,0.0001,20,2,,,10
6,model_type.euclidean,activation.dmelu,,0.016428698,1.7518728,,0.01851002,6,0.01,0.0001,20,2,,,10
7,model_type.euclidean,activation.dmelu,,0.014585585,1.5553327,,0.012707539,7,0.01,0.0001,20,2,,,10
8,model_type.euclidean,activation.dmelu,,0.015572425,1.6605642,,0.011268604,8,0.01,0.0001,20,2,,,10
9,model_type.euclidean,activation.dmelu,,0.017309073,1.8457515,,0.012763331,9,0.01,0.0001,20,2,,,10
10,model_type.euclidean,activation.dmelu,,0.018261619,1.9473262,,0.014971198,10,0.01,0.0001,20,2,,,10
11,model_type.euclidean,activation.dmelu,,0.017884605,1.9071233,,0.01632604,11,0.01,0.0001,20,2,,,10
12,model_type.euclidean,activation.dmelu,,0.016398592,1.7486625,,0.01628487,12,0.01,0.0001,20,2,,,10
13,model_type.euclidean,activation.dmelu,,0.01439539,1.5350511,,0.015072716,13,0.01,0.0001,20,2,,,10
14,model_type.euclidean,activation.dmelu,,0.012514504,1.334483,,0.013283798,14,0.01,0.0001,20,2,,,10
15,model_type.euclidean,activation.dmelu,,0.011232196,1.1977443,,0.011560203,15,0.01,0.0001,20,2,,,10
16,model_type.euclidean,activation.dmelu,,0.010746381,1.1459395,,0.010380062,16,0.01,0.0001,20,2,,,10
17,model_type.euclidean,activation.dmelu,,0.010954532,1.1681355,,0.0099390205,17,0.01,0.0001,20,2,,,10
18,model_type.euclidean,activation.dmelu,,0.0115355225,1.2300894,,0.010125612,18,0.01,0.0001,20,2,,,10
19,model_type.euclidean,activation.dmelu,,0.012115565,1.2919422,,0.010606533,19,0.01,0.0001,20,2,,,10
20,model_type.euclidean,activation.dmelu,,0.012438266,1.3263534,,0.011002583,20,0.01,0.0001,20,2,,,10
21,model_type.euclidean,activation.dmelu,,0.012445609,1.3271365,,0.011069201,21,0.01,0.0001,20,2,,,10
22,model_type.euclidean,activation.dmelu,,0.01224168,1.3053905,,0.010779972,22,0.01,0.0001,20,2,,,10
23,model_type.euclidean,activation.dmelu,,0.011989239,1.2784715,,0.010282079,23,0.01,0.0001,20,2,,,10
24,model_type.euclidean,activation.dmelu,,0.011812134,1.2595859,,0.009779378,24,0.01,0.0001,20,2,,,10
25,model_type.euclidean,activation.dmelu,,0.011748065,1.252754,,0.009424106,25,0.01,0.0001,20,2,,,10
26,model_type.euclidean,activation.dmelu,,0.011756228,1.2536244,,0.00926589,26,0.01,0.0001,20,2,,,10
27,model_type.euclidean,activation.dmelu,,0.011758402,1.2538562,,0.009261603,27,0.01,0.0001,20,2,,,10
28,model_type.euclidean,activation.dmelu,,0.011685191,1.2460493,,0.0093210675,28,0.01,0.0001,20,2,,,10
29,model_type.euclidean,activation.dmelu,,0.011506834,1.2270303,,0.009357721,29,0.01,0.0001,20,2,,,10
