,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.dmelu,,0.11928453,12.775622,,0.31152788,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.dmelu,,0.107205294,11.481911,,0.108148195,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.dmelu,,0.088646956,9.494274,,0.092347056,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.dmelu,,0.06220638,6.662433,,0.069255844,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.dmelu,,0.05447593,5.834486,,0.045945276,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.dmelu,,0.060564473,6.486582,,0.044709835,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.dmelu,,0.06271185,6.7165704,,0.056498557,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.dmelu,,0.05524305,5.916646,,0.061878633,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.dmelu,,0.043815386,4.6927195,,0.055161987,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.dmelu,,0.034851916,3.732713,,0.042589948,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.dmelu,,0.030422008,3.2582605,,0.03136437,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.dmelu,,0.0288149,3.086136,,0.024445396,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.dmelu,,0.027546389,2.950276,,0.020919954,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.dmelu,,0.025696961,2.7521982,,0.01870845,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.dmelu,,0.023980048,2.5683131,,0.016796416,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.dmelu,,0.023328872,2.498571,,0.015490372,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.dmelu,,0.02379147,2.5481162,,0.015317946,16,0.01,0.0001,20,2,,,10
