,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.identity,,1.7889966,211.86028,,2.690784,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.identity,,0.89462113,105.94469,,1.681753,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.identity,,0.49942636,59.14411,,0.8408992,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.identity,,0.47608992,56.380512,,0.48833978,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.identity,,0.4662909,55.220074,,0.48315254,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.identity,,0.3820808,45.24757,,0.46160135,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.identity,,0.29442048,34.866478,,0.35714057,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.identity,,0.24391215,28.885073,,0.26188758,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.identity,,0.20660391,24.466879,,0.22093937,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.identity,,0.15485439,18.33849,,0.20070866,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.identity,,0.10111257,11.974163,,0.16248831,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.identity,,0.072057545,8.533349,,0.115279846,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.identity,,0.07380721,8.740551,,0.08772478,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.identity,,0.088527575,10.483797,,0.088124506,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.identity,,0.09539924,11.297567,,0.099113286,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.identity,,0.08943686,10.591478,,0.099955805,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.identity,,0.08044345,9.526442,,0.08696937,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.identity,,0.07928912,9.389742,,0.072172835,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.identity,,0.08724089,10.331423,,0.06807451,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.identity,,0.096341826,11.409193,,0.0759692,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.identity,,0.09792408,11.59657,,0.086559296,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.identity,,0.089849465,10.640341,,0.08966236,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.identity,,0.07640581,9.048288,,0.082496345,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.identity,,0.063096315,7.472123,,0.06966244,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.identity,,0.052206963,6.182562,,0.05727245,24,0.01,0.0001,20,2,,,10
25,model_type.hyperbolic,activation.identity,,0.04256353,5.0405474,,0.04786335,25,0.01,0.0001,20,2,,,10
26,model_type.hyperbolic,activation.identity,,0.032454975,3.8434508,,0.04001009,26,0.01,0.0001,20,2,,,10
27,model_type.hyperbolic,activation.identity,,0.022228539,2.6323943,,0.031557187,27,0.01,0.0001,20,2,,,10
28,model_type.hyperbolic,activation.identity,,0.014205425,1.6822644,,0.022578452,28,0.01,0.0001,20,2,,,10
29,model_type.hyperbolic,activation.identity,,0.010509995,1.2446365,,0.015395854,29,0.01,0.0001,20,2,,,10
30,model_type.hyperbolic,activation.identity,,0.011098003,1.3142709,,0.012251851,30,0.01,0.0001,20,2,,,10
31,model_type.hyperbolic,activation.identity,,0.013714487,1.6241256,,0.013140161,31,0.01,0.0001,20,2,,,10
32,model_type.hyperbolic,activation.identity,,0.015665546,1.855178,,0.015721936,32,0.01,0.0001,20,2,,,10
33,model_type.hyperbolic,activation.identity,,0.01573123,1.8629565,,0.017226059,33,0.01,0.0001,20,2,,,10
34,model_type.hyperbolic,activation.identity,,0.014605879,1.7296878,,0.01651026,34,0.01,0.0001,20,2,,,10
35,model_type.hyperbolic,activation.identity,,0.013763037,1.6298751,,0.014512449,35,0.01,0.0001,20,2,,,10
36,model_type.hyperbolic,activation.identity,,0.013991702,1.6569545,,0.01297731,36,0.01,0.0001,20,2,,,10
37,model_type.hyperbolic,activation.identity,,0.014869159,1.7608665,,0.012831738,37,0.01,0.0001,20,2,,,10
38,model_type.hyperbolic,activation.identity,,0.015398728,1.8235803,,0.01360615,38,0.01,0.0001,20,2,,,10
39,model_type.hyperbolic,activation.identity,,0.015014949,1.7781316,,0.014153895,39,0.01,0.0001,20,2,,,10
40,model_type.hyperbolic,activation.identity,,0.014001929,1.6581657,,0.013784178,40,0.01,0.0001,20,2,,,10
41,model_type.hyperbolic,activation.identity,,0.013073432,1.5482093,,0.012746918,41,0.01,0.0001,20,2,,,10
42,model_type.hyperbolic,activation.identity,,0.012652377,1.4983461,,0.011784333,42,0.01,0.0001,20,2,,,10
43,model_type.hyperbolic,activation.identity,,0.012555714,1.4868989,,0.011340721,43,0.01,0.0001,20,2,,,10
44,model_type.hyperbolic,activation.identity,,0.012304877,1.4571939,,0.011212516,44,0.01,0.0001,20,2,,,10
45,model_type.hyperbolic,activation.identity,,0.011670805,1.3821044,,0.010884903,45,0.01,0.0001,20,2,,,10
46,model_type.hyperbolic,activation.identity,,0.010895902,1.2903372,,0.010125744,46,0.01,0.0001,20,2,,,10
47,model_type.hyperbolic,activation.identity,,0.010419895,1.2339665,,0.009223157,47,0.01,0.0001,20,2,,,10
48,model_type.hyperbolic,activation.identity,,0.010434498,1.2356958,,0.008677093,48,0.01,0.0001,20,2,,,10
49,model_type.hyperbolic,activation.identity,,0.010711981,1.2685566,,0.008704576,49,0.01,0.0001,20,2,,,10
50,model_type.hyperbolic,activation.identity,,0.010836341,1.2832838,,0.009050566,50,0.01,0.0001,20,2,,,10
51,model_type.hyperbolic,activation.identity,,0.010573252,1.2521276,,0.0092466315,51,0.01,0.0001,20,2,,,10
52,model_type.hyperbolic,activation.identity,,0.01002305,1.1869705,,0.009025326,52,0.01,0.0001,20,2,,,10
53,model_type.hyperbolic,activation.identity,,0.009453718,1.1195478,,0.008494756,53,0.01,0.0001,20,2,,,10
54,model_type.hyperbolic,activation.identity,,0.009023413,1.0685894,,0.007956365,54,0.01,0.0001,20,2,,,10
55,model_type.hyperbolic,activation.identity,,0.008671282,1.0268886,,0.0075959335,55,0.01,0.0001,20,2,,,10
56,model_type.hyperbolic,activation.identity,,0.008248581,0.9768306,,0.007356784,56,0.01,0.0001,20,2,,,10
57,model_type.hyperbolic,activation.identity,,0.007716237,0.9137883,,0.0070779757,57,0.01,0.0001,20,2,,,10
58,model_type.hyperbolic,activation.identity,,0.0071959347,0.85217196,,0.006708946,58,0.01,0.0001,20,2,,,10
59,model_type.hyperbolic,activation.identity,,0.00684254,0.81032157,,0.0063672196,59,0.01,0.0001,20,2,,,10
60,model_type.hyperbolic,activation.identity,,0.0066929576,0.79260737,,0.006202449,60,0.01,0.0001,20,2,,,10
61,model_type.hyperbolic,activation.identity,,0.0066490704,0.7874101,,0.0062352475,61,0.01,0.0001,20,2,,,10
62,model_type.hyperbolic,activation.identity,,0.0065939156,0.7808784,,0.006342277,62,0.01,0.0001,20,2,,,10
63,model_type.hyperbolic,activation.identity,,0.006504838,0.7703295,,0.0063856677,63,0.01,0.0001,20,2,,,10
64,model_type.hyperbolic,activation.identity,,0.0064501525,0.76385343,,0.006337609,64,0.01,0.0001,20,2,,,10
65,model_type.hyperbolic,activation.identity,,0.0064912634,0.76872194,,0.006276487,65,0.01,0.0001,20,2,,,10
66,model_type.hyperbolic,activation.identity,,0.0066060536,0.78231585,,0.00627935,66,0.01,0.0001,20,2,,,10
67,model_type.hyperbolic,activation.identity,,0.006710484,0.7946829,,0.0063372063,67,0.01,0.0001,20,2,,,10
68,model_type.hyperbolic,activation.identity,,0.0067422246,0.79844177,,0.0063764383,68,0.01,0.0001,20,2,,,10
69,model_type.hyperbolic,activation.identity,,0.0067106965,0.7947081,,0.006345861,69,0.01,0.0001,20,2,,,10
70,model_type.hyperbolic,activation.identity,,0.006668173,0.78967226,,0.006266303,70,0.01,0.0001,20,2,,,10
71,model_type.hyperbolic,activation.identity,,0.006646889,0.78715175,,0.006195827,71,0.01,0.0001,20,2,,,10
72,model_type.hyperbolic,activation.identity,,0.006634617,0.7856985,,0.0061622555,72,0.01,0.0001,20,2,,,10
73,model_type.hyperbolic,activation.identity,,0.0066059185,0.7822999,,0.0061416896,73,0.01,0.0001,20,2,,,10
74,model_type.hyperbolic,activation.identity,,0.006562105,0.7771113,,0.0060985642,74,0.01,0.0001,20,2,,,10
75,model_type.hyperbolic,activation.identity,,0.0065315827,0.7734967,,0.006032256,75,0.01,0.0001,20,2,,,10
76,model_type.hyperbolic,activation.identity,,0.0065353764,0.773946,,0.0059761787,76,0.01,0.0001,20,2,,,10
77,model_type.hyperbolic,activation.identity,,0.006562378,0.7771436,,0.005956624,77,0.01,0.0001,20,2,,,10
78,model_type.hyperbolic,activation.identity,,0.006582477,0.77952385,,0.0059631364,78,0.01,0.0001,20,2,,,10
79,model_type.hyperbolic,activation.identity,,0.0065791667,0.7791318,,0.0059625637,79,0.01,0.0001,20,2,,,10
80,model_type.hyperbolic,activation.identity,,0.0065635936,0.77728754,,0.005935975,80,0.01,0.0001,20,2,,,10
81,model_type.hyperbolic,activation.identity,,0.0065575168,0.77656794,,0.00589497,81,0.01,0.0001,20,2,,,10
82,model_type.hyperbolic,activation.identity,,0.006568741,0.7778972,,0.005863056,82,0.01,0.0001,20,2,,,10
83,model_type.hyperbolic,activation.identity,,0.006586579,0.7800096,,0.0058484375,83,0.01,0.0001,20,2,,,10
84,model_type.hyperbolic,activation.identity,,0.0065975655,0.7813107,,0.0058394717,84,0.01,0.0001,20,2,,,10
85,model_type.hyperbolic,activation.identity,,0.006599247,0.7815098,,0.0058229286,85,0.01,0.0001,20,2,,,10
86,model_type.hyperbolic,activation.identity,,0.0065969145,0.78123355,,0.0057997336,86,0.01,0.0001,20,2,,,10
87,model_type.hyperbolic,activation.identity,,0.0065915366,0.7805967,,0.005780629,87,0.01,0.0001,20,2,,,10
88,model_type.hyperbolic,activation.identity,,0.006576359,0.7787993,,0.005771015,88,0.01,0.0001,20,2,,,10
89,model_type.hyperbolic,activation.identity,,0.006546045,0.7752094,,0.0057652416,89,0.01,0.0001,20,2,,,10
90,model_type.hyperbolic,activation.identity,,0.006505506,0.77040863,,0.0057557654,90,0.01,0.0001,20,2,,,10
91,model_type.hyperbolic,activation.identity,,0.0064669023,0.765837,,0.0057433993,91,0.01,0.0001,20,2,,,10
92,model_type.hyperbolic,activation.identity,,0.00643886,0.76251614,,0.0057354756,92,0.01,0.0001,20,2,,,10
93,model_type.hyperbolic,activation.identity,,0.006420897,0.76038885,,0.0057354765,93,0.01,0.0001,20,2,,,10
94,model_type.hyperbolic,activation.identity,,0.0064083175,0.75889915,,0.005737994,94,0.01,0.0001,20,2,,,10
95,model_type.hyperbolic,activation.identity,,0.006399966,0.7579101,,0.0057347463,95,0.01,0.0001,20,2,,,10
96,model_type.hyperbolic,activation.identity,,0.0063990722,0.7578043,,0.0057235123,96,0.01,0.0001,20,2,,,10
97,model_type.hyperbolic,activation.identity,,0.0064074453,0.75879586,,0.005709223,97,0.01,0.0001,20,2,,,10
98,model_type.hyperbolic,activation.identity,,0.006421289,0.7604353,,0.0056973444,98,0.01,0.0001,20,2,,,10
99,model_type.hyperbolic,activation.identity,,0.0064337337,0.761909,,0.0056883944,99,0.01,0.0001,20,2,,,10
100,model_type.hyperbolic,activation.identity,,0.0064403964,0.76269805,,0.005679515,100,0.01,0.0001,20,2,,,10
101,model_type.hyperbolic,activation.identity,,0.0064413445,0.76281035,,0.0056693326,101,0.01,0.0001,20,2,,,10
102,model_type.hyperbolic,activation.identity,,0.0064383266,0.76245296,,0.005659449,102,0.01,0.0001,20,2,,,10
103,model_type.hyperbolic,activation.identity,,0.0064318725,0.7616886,,0.005651501,103,0.01,0.0001,20,2,,,10
104,model_type.hyperbolic,activation.identity,,0.0064217346,0.76048803,,0.005644666,104,0.01,0.0001,20,2,,,10
105,model_type.hyperbolic,activation.identity,,0.006408989,0.75897866,,0.00563699,105,0.01,0.0001,20,2,,,10
106,model_type.hyperbolic,activation.identity,,0.006396138,0.7574568,,0.0056282436,106,0.01,0.0001,20,2,,,10
107,model_type.hyperbolic,activation.identity,,0.0063849916,0.7561368,,0.0056201755,107,0.01,0.0001,20,2,,,10
108,model_type.hyperbolic,activation.identity,,0.00637523,0.75498074,,0.005614062,108,0.01,0.0001,20,2,,,10
109,model_type.hyperbolic,activation.identity,,0.0063655847,0.75383854,,0.005608959,109,0.01,0.0001,20,2,,,10
110,model_type.hyperbolic,activation.identity,,0.006355942,0.75269663,,0.005602904,110,0.01,0.0001,20,2,,,10
111,model_type.hyperbolic,activation.identity,,0.006347696,0.7517201,,0.005595275,111,0.01,0.0001,20,2,,,10
112,model_type.hyperbolic,activation.identity,,0.006342175,0.75106627,,0.005587228,112,0.01,0.0001,20,2,,,10
113,model_type.hyperbolic,activation.identity,,0.006339296,0.7507253,,0.00558005,113,0.01,0.0001,20,2,,,10
114,model_type.hyperbolic,activation.identity,,0.0063378704,0.7505565,,0.0055737854,114,0.01,0.0001,20,2,,,10
