,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.poincare,activation.dmelu,,0.1983728,23.224648,,0.29473197,0,0.01,0.0001,20,2,,,10
1,model_type.poincare,activation.dmelu,,0.14284384,16.723553,,0.20837979,1,0.01,0.0001,20,2,,,10
2,model_type.poincare,activation.dmelu,,0.10430217,12.211257,,0.14917591,2,0.01,0.0001,20,2,,,10
3,model_type.poincare,activation.dmelu,,0.076629855,8.971499,,0.107957035,3,0.01,0.0001,20,2,,,10
4,model_type.poincare,activation.dmelu,,0.056039304,6.560845,,0.078195125,4,0.01,0.0001,20,2,,,10
5,model_type.poincare,activation.dmelu,,0.040415697,4.731699,,0.055819463,5,0.01,0.0001,20,2,,,10
6,model_type.poincare,activation.dmelu,,0.029120976,3.4093606,,0.038670253,6,0.01,0.0001,20,2,,,10
7,model_type.poincare,activation.dmelu,,0.022349691,2.6166074,,0.026264932,7,0.01,0.0001,20,2,,,10
8,model_type.poincare,activation.dmelu,,0.019914186,2.3314686,,0.01903811,8,0.01,0.0001,20,2,,,10
9,model_type.poincare,activation.dmelu,,0.020299284,2.3765543,,0.016918194,9,0.01,0.0001,20,2,,,10
10,model_type.poincare,activation.dmelu,,0.021515267,2.5189164,,0.018057974,10,0.01,0.0001,20,2,,,10
11,model_type.poincare,activation.dmelu,,0.022523485,2.6369543,,0.019923814,11,0.01,0.0001,20,2,,,10
12,model_type.poincare,activation.dmelu,,0.02321199,2.7175615,,0.021183752,12,0.01,0.0001,20,2,,,10
13,model_type.poincare,activation.dmelu,,0.023488514,2.7499359,,0.021735048,13,0.01,0.0001,20,2,,,10
14,model_type.poincare,activation.dmelu,,0.02299979,2.692718,,0.021551805,14,0.01,0.0001,20,2,,,10
15,model_type.poincare,activation.dmelu,,0.021780819,2.5500062,,0.020286344,15,0.01,0.0001,20,2,,,10
16,model_type.poincare,activation.dmelu,,0.020416161,2.3902378,,0.018062843,16,0.01,0.0001,20,2,,,10
17,model_type.poincare,activation.dmelu,,0.019487541,2.281519,,0.015660973,17,0.01,0.0001,20,2,,,10
18,model_type.poincare,activation.dmelu,,0.019104173,2.236636,,0.013875911,18,0.01,0.0001,20,2,,,10
19,model_type.poincare,activation.dmelu,,0.018937076,2.2170727,,0.012938358,19,0.01,0.0001,20,2,,,10
20,model_type.poincare,activation.dmelu,,0.018615115,2.179379,,0.012513541,20,0.01,0.0001,20,2,,,10
21,model_type.poincare,activation.dmelu,,0.018029239,2.1107872,,0.012155276,21,0.01,0.0001,20,2,,,10
22,model_type.poincare,activation.dmelu,,0.017294113,2.0247216,,0.011689571,22,0.01,0.0001,20,2,,,10
23,model_type.poincare,activation.dmelu,,0.016518945,1.9339682,,0.01119949,23,0.01,0.0001,20,2,,,10
24,model_type.poincare,activation.dmelu,,0.015673187,1.8349504,,0.01077311,24,0.01,0.0001,20,2,,,10
25,model_type.poincare,activation.dmelu,,0.014673682,1.7179326,,0.010349171,25,0.01,0.0001,20,2,,,10
26,model_type.poincare,activation.dmelu,,0.013554075,1.5868537,,0.009803458,26,0.01,0.0001,20,2,,,10
27,model_type.poincare,activation.dmelu,,0.01249472,1.462829,,0.009130053,27,0.01,0.0001,20,2,,,10
28,model_type.poincare,activation.dmelu,,0.011688028,1.368385,,0.008479152,28,0.01,0.0001,20,2,,,10
29,model_type.poincare,activation.dmelu,,0.011196255,1.3108102,,0.008015294,29,0.01,0.0001,20,2,,,10
30,model_type.poincare,activation.dmelu,,0.010945743,1.2814813,,0.0077688224,30,0.01,0.0001,20,2,,,10
31,model_type.poincare,activation.dmelu,,0.010838747,1.2689546,,0.0076352293,31,0.01,0.0001,20,2,,,10
32,model_type.poincare,activation.dmelu,,0.01084275,1.2694232,,0.0075033987,32,0.01,0.0001,20,2,,,10
33,model_type.poincare,activation.dmelu,,0.010964263,1.2836496,,0.0073573077,33,0.01,0.0001,20,2,,,10
34,model_type.poincare,activation.dmelu,,0.011162248,1.3068289,,0.0072466214,34,0.01,0.0001,20,2,,,10
35,model_type.poincare,activation.dmelu,,0.011323843,1.3257477,,0.007187418,35,0.01,0.0001,20,2,,,10
36,model_type.poincare,activation.dmelu,,0.011334155,1.326955,,0.007121938,36,0.01,0.0001,20,2,,,10
37,model_type.poincare,activation.dmelu,,0.011161559,1.3067482,,0.0069759013,37,0.01,0.0001,20,2,,,10
38,model_type.poincare,activation.dmelu,,0.0108622555,1.2717069,,0.006735274,38,0.01,0.0001,20,2,,,10
39,model_type.poincare,activation.dmelu,,0.010518656,1.2314798,,0.0064473427,39,0.01,0.0001,20,2,,,10
40,model_type.poincare,activation.dmelu,,0.010184444,1.1923516,,0.006163727,40,0.01,0.0001,20,2,,,10
41,model_type.poincare,activation.dmelu,,0.009883395,1.1571062,,0.0059015034,41,0.01,0.0001,20,2,,,10
42,model_type.poincare,activation.dmelu,,0.009633478,1.1278468,,0.0056569935,42,0.01,0.0001,20,2,,,10
43,model_type.poincare,activation.dmelu,,0.009454343,1.1068745,,0.0054384507,43,0.01,0.0001,20,2,,,10
44,model_type.poincare,activation.dmelu,,0.009349238,1.0945693,,0.005268811,44,0.01,0.0001,20,2,,,10
45,model_type.poincare,activation.dmelu,,0.009292915,1.0879753,,0.0051592975,45,0.01,0.0001,20,2,,,10
46,model_type.poincare,activation.dmelu,,0.00924754,1.0826628,,0.005090722,46,0.01,0.0001,20,2,,,10
47,model_type.poincare,activation.dmelu,,0.009190721,1.0760108,,0.005028616,47,0.01,0.0001,20,2,,,10
48,model_type.poincare,activation.dmelu,,0.009126292,1.0684676,,0.004952428,48,0.01,0.0001,20,2,,,10
49,model_type.poincare,activation.dmelu,,0.009071045,1.0619996,,0.004865064,49,0.01,0.0001,20,2,,,10
50,model_type.poincare,activation.dmelu,,0.009034679,1.057742,,0.0047769127,50,0.01,0.0001,20,2,,,10
51,model_type.poincare,activation.dmelu,,0.009014968,1.0554343,,0.004690368,51,0.01,0.0001,20,2,,,10
52,model_type.poincare,activation.dmelu,,0.009003505,1.0540923,,0.0046018637,52,0.01,0.0001,20,2,,,10
53,model_type.poincare,activation.dmelu,,0.008990218,1.0525367,,0.0045118495,53,0.01,0.0001,20,2,,,10
54,model_type.poincare,activation.dmelu,,0.00896223,1.04926,,0.004426789,54,0.01,0.0001,20,2,,,10
55,model_type.poincare,activation.dmelu,,0.008905751,1.0426476,,0.0043499074,55,0.01,0.0001,20,2,,,10
56,model_type.poincare,activation.dmelu,,0.008814389,1.0319514,,0.0042765103,56,0.01,0.0001,20,2,,,10
57,model_type.poincare,activation.dmelu,,0.008695306,1.0180097,,0.004199843,57,0.01,0.0001,20,2,,,10
58,model_type.poincare,activation.dmelu,,0.008565836,1.0028518,,0.0041194363,58,0.01,0.0001,20,2,,,10
59,model_type.poincare,activation.dmelu,,0.008442571,0.98842055,,0.0040409733,59,0.01,0.0001,20,2,,,10
60,model_type.poincare,activation.dmelu,,0.008333502,0.9756512,,0.0039685545,60,0.01,0.0001,20,2,,,10
61,model_type.poincare,activation.dmelu,,0.0082393605,0.9646295,,0.0039004271,61,0.01,0.0001,20,2,,,10
62,model_type.poincare,activation.dmelu,,0.008158677,0.95518345,,0.0038332555,62,0.01,0.0001,20,2,,,10
63,model_type.poincare,activation.dmelu,,0.008089731,0.94711155,,0.0037668264,63,0.01,0.0001,20,2,,,10
64,model_type.poincare,activation.dmelu,,0.008028165,0.9399037,,0.0037046522,64,0.01,0.0001,20,2,,,10
65,model_type.poincare,activation.dmelu,,0.007968562,0.9329255,,0.0036475763,65,0.01,0.0001,20,2,,,10
66,model_type.poincare,activation.dmelu,,0.0079093585,0.9259942,,0.003592485,66,0.01,0.0001,20,2,,,10
67,model_type.poincare,activation.dmelu,,0.007855188,0.9196522,,0.003536435,67,0.01,0.0001,20,2,,,10
68,model_type.poincare,activation.dmelu,,0.0078122905,0.91462994,,0.0034805643,68,0.01,0.0001,20,2,,,10
69,model_type.poincare,activation.dmelu,,0.00778214,0.91110003,,0.0034290492,69,0.01,0.0001,20,2,,,10
70,model_type.poincare,activation.dmelu,,0.007760257,0.9085381,,0.0033828502,70,0.01,0.0001,20,2,,,10
71,model_type.poincare,activation.dmelu,,0.007740189,0.9061886,,0.0033393956,71,0.01,0.0001,20,2,,,10
72,model_type.poincare,activation.dmelu,,0.0077172895,0.90350765,,0.0032964468,72,0.01,0.0001,20,2,,,10
73,model_type.poincare,activation.dmelu,,0.0076884124,0.9001268,,0.0032533251,73,0.01,0.0001,20,2,,,10
74,model_type.poincare,activation.dmelu,,0.007653052,0.895987,,0.003210021,74,0.01,0.0001,20,2,,,10
75,model_type.poincare,activation.dmelu,,0.0076125036,0.89123976,,0.0031658944,75,0.01,0.0001,20,2,,,10
76,model_type.poincare,activation.dmelu,,0.007570794,0.88635653,,0.0031206042,76,0.01,0.0001,20,2,,,10
77,model_type.poincare,activation.dmelu,,0.0075320657,0.8818224,,0.003075443,77,0.01,0.0001,20,2,,,10
78,model_type.poincare,activation.dmelu,,0.0074984184,0.87788314,,0.0030320522,78,0.01,0.0001,20,2,,,10
79,model_type.poincare,activation.dmelu,,0.0074696955,0.87452036,,0.0029915052,79,0.01,0.0001,20,2,,,10
80,model_type.poincare,activation.dmelu,,0.0074449554,0.8716239,,0.0029526483,80,0.01,0.0001,20,2,,,10
