,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.poincare,activation.dmelu,,0.34828988,0.775824,,0.4621072,0,0.01,0.0001,20,2,,,10
1,model_type.poincare,activation.dmelu,,0.2736912,0.6096537,,0.35504723,1,0.01,0.0001,20,2,,,10
2,model_type.poincare,activation.dmelu,,0.22159198,0.4936014,,0.2724445,2,0.01,0.0001,20,2,,,10
3,model_type.poincare,activation.dmelu,,0.18787721,0.41850096,,0.2117602,3,0.01,0.0001,20,2,,,10
4,model_type.poincare,activation.dmelu,,0.16771488,0.3735889,,0.17034674,4,0.01,0.0001,20,2,,,10
5,model_type.poincare,activation.dmelu,,0.1556723,0.34676376,,0.14514007,5,0.01,0.0001,20,2,,,10
6,model_type.poincare,activation.dmelu,,0.14760137,0.32878557,,0.1319201,6,0.01,0.0001,20,2,,,10
7,model_type.poincare,activation.dmelu,,0.14170876,0.31565964,,0.126334,7,0.01,0.0001,20,2,,,10
8,model_type.poincare,activation.dmelu,,0.13684477,0.30482498,,0.1247507,8,0.01,0.0001,20,2,,,10
9,model_type.poincare,activation.dmelu,,0.13233042,0.29476917,,0.12353903,9,0.01,0.0001,20,2,,,10
10,model_type.poincare,activation.dmelu,,0.12772375,0.2845077,,0.12053632,10,0.01,0.0001,20,2,,,10
11,model_type.poincare,activation.dmelu,,0.12276648,0.27346525,,0.11526713,11,0.01,0.0001,20,2,,,10
12,model_type.poincare,activation.dmelu,,0.11763458,0.26203382,,0.10843011,12,0.01,0.0001,20,2,,,10
13,model_type.poincare,activation.dmelu,,0.11267474,0.25098568,,0.101353906,13,0.01,0.0001,20,2,,,10
14,model_type.poincare,activation.dmelu,,0.10803818,0.24065761,,0.09512894,14,0.01,0.0001,20,2,,,10
15,model_type.poincare,activation.dmelu,,0.10360475,0.23078205,,0.09004912,15,0.01,0.0001,20,2,,,10
16,model_type.poincare,activation.dmelu,,0.0991358,0.22082736,,0.08575199,16,0.01,0.0001,20,2,,,10
17,model_type.poincare,activation.dmelu,,0.09451193,0.21052758,,0.08169865,17,0.01,0.0001,20,2,,,10
18,model_type.poincare,activation.dmelu,,0.08977812,0.1999829,,0.07754797,18,0.01,0.0001,20,2,,,10
19,model_type.poincare,activation.dmelu,,0.085126705,0.18962176,,0.073208824,19,0.01,0.0001,20,2,,,10
20,model_type.poincare,activation.dmelu,,0.08080415,0.17999317,,0.06884453,20,0.01,0.0001,20,2,,,10
21,model_type.poincare,activation.dmelu,,0.07700533,0.1715312,,0.064743444,21,0.01,0.0001,20,2,,,10
22,model_type.poincare,activation.dmelu,,0.073759325,0.16430065,,0.06115076,22,0.01,0.0001,20,2,,,10
23,model_type.poincare,activation.dmelu,,0.070865914,0.15785551,,0.058124695,23,0.01,0.0001,20,2,,,10
24,model_type.poincare,activation.dmelu,,0.06800399,0.15148051,,0.055442244,24,0.01,0.0001,20,2,,,10
25,model_type.poincare,activation.dmelu,,0.06489735,0.1445604,,0.052727267,25,0.01,0.0001,20,2,,,10
26,model_type.poincare,activation.dmelu,,0.061460495,0.13690472,,0.049645327,26,0.01,0.0001,20,2,,,10
27,model_type.poincare,activation.dmelu,,0.057820573,0.12879671,,0.046114422,27,0.01,0.0001,20,2,,,10
28,model_type.poincare,activation.dmelu,,0.054211408,0.1207572,,0.04228426,28,0.01,0.0001,20,2,,,10
29,model_type.poincare,activation.dmelu,,0.050819017,0.11320057,,0.03846914,29,0.01,0.0001,20,2,,,10
30,model_type.poincare,activation.dmelu,,0.047699522,0.10625182,,0.034961008,30,0.01,0.0001,20,2,,,10
31,model_type.poincare,activation.dmelu,,0.044806052,0.09980655,,0.03192012,31,0.01,0.0001,20,2,,,10
32,model_type.poincare,activation.dmelu,,0.042065356,0.09370158,,0.029361753,32,0.01,0.0001,20,2,,,10
33,model_type.poincare,activation.dmelu,,0.039432272,0.087836325,,0.02720654,33,0.01,0.0001,20,2,,,10
34,model_type.poincare,activation.dmelu,,0.03690257,0.082201354,,0.02535646,34,0.01,0.0001,20,2,,,10
35,model_type.poincare,activation.dmelu,,0.03448391,0.07681373,,0.023703566,35,0.01,0.0001,20,2,,,10
36,model_type.poincare,activation.dmelu,,0.032184415,0.07169155,,0.022153495,36,0.01,0.0001,20,2,,,10
37,model_type.poincare,activation.dmelu,,0.030006224,0.066839576,,0.020634534,37,0.01,0.0001,20,2,,,10
38,model_type.poincare,activation.dmelu,,0.027956268,0.062273253,,0.019119715,38,0.01,0.0001,20,2,,,10
39,model_type.poincare,activation.dmelu,,0.026051898,0.058031224,,0.017622929,39,0.01,0.0001,20,2,,,10
40,model_type.poincare,activation.dmelu,,0.024323722,0.054181673,,0.016195845,40,0.01,0.0001,20,2,,,10
41,model_type.poincare,activation.dmelu,,0.022804487,0.05079754,,0.014905136,41,0.01,0.0001,20,2,,,10
42,model_type.poincare,activation.dmelu,,0.021512227,0.047918998,,0.013809665,42,0.01,0.0001,20,2,,,10
