,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.euclidean,activation.dmelu,,0.42957154,0.8924795,,0.44295663,0,0.01,0.0001,20,2,,,10
1,model_type.euclidean,activation.dmelu,,0.38661516,0.80323315,,0.39109343,1,0.01,0.0001,20,2,,,10
2,model_type.euclidean,activation.dmelu,,0.34429458,0.7153077,,0.34238625,2,0.01,0.0001,20,2,,,10
3,model_type.euclidean,activation.dmelu,,0.3034251,0.63039714,,0.29595563,3,0.01,0.0001,20,2,,,10
4,model_type.euclidean,activation.dmelu,,0.2656629,0.5519423,,0.25251314,4,0.01,0.0001,20,2,,,10
5,model_type.euclidean,activation.dmelu,,0.2334087,0.4849308,,0.21329048,5,0.01,0.0001,20,2,,,10
6,model_type.euclidean,activation.dmelu,,0.20687543,0.4298052,,0.1804114,6,0.01,0.0001,20,2,,,10
7,model_type.euclidean,activation.dmelu,,0.1857905,0.38599905,,0.15494433,7,0.01,0.0001,20,2,,,10
8,model_type.euclidean,activation.dmelu,,0.1726444,0.3586867,,0.13620703,8,0.01,0.0001,20,2,,,10
9,model_type.euclidean,activation.dmelu,,0.1703686,0.35395846,,0.12496929,9,0.01,0.0001,20,2,,,10
10,model_type.euclidean,activation.dmelu,,0.175466,0.36454883,,0.12271986,10,0.01,0.0001,20,2,,,10
11,model_type.euclidean,activation.dmelu,,0.17893039,0.37174645,,0.12652484,11,0.01,0.0001,20,2,,,10
12,model_type.euclidean,activation.dmelu,,0.17624003,0.36615697,,0.129708,12,0.01,0.0001,20,2,,,10
13,model_type.euclidean,activation.dmelu,,0.16899772,0.3511103,,0.12873352,13,0.01,0.0001,20,2,,,10
14,model_type.euclidean,activation.dmelu,,0.15969071,0.33177403,,0.12444708,14,0.01,0.0001,20,2,,,10
15,model_type.euclidean,activation.dmelu,,0.15033314,0.3123327,,0.11825755,15,0.01,0.0001,20,2,,,10
16,model_type.euclidean,activation.dmelu,,0.142364,0.29577598,,0.1116141,16,0.01,0.0001,20,2,,,10
17,model_type.euclidean,activation.dmelu,,0.13642256,0.28343204,,0.10589899,17,0.01,0.0001,20,2,,,10
18,model_type.euclidean,activation.dmelu,,0.132499,0.27528042,,0.10182773,18,0.01,0.0001,20,2,,,10
19,model_type.euclidean,activation.dmelu,,0.13011123,0.27031958,,0.09935975,19,0.01,0.0001,20,2,,,10
20,model_type.euclidean,activation.dmelu,,0.12850013,0.26697236,,0.097933196,20,0.01,0.0001,20,2,,,10
21,model_type.euclidean,activation.dmelu,,0.12692977,0.26370978,,0.09678648,21,0.01,0.0001,20,2,,,10
22,model_type.euclidean,activation.dmelu,,0.12488911,0.2594701,,0.09530758,22,0.01,0.0001,20,2,,,10
23,model_type.euclidean,activation.dmelu,,0.122149244,0.25377774,,0.09317281,23,0.01,0.0001,20,2,,,10
24,model_type.euclidean,activation.dmelu,,0.1187751,0.2467676,,0.09030087,24,0.01,0.0001,20,2,,,10
25,model_type.euclidean,activation.dmelu,,0.11504519,0.23901832,,0.086795,25,0.01,0.0001,20,2,,,10
26,model_type.euclidean,activation.dmelu,,0.1112853,0.23120676,,0.082877286,26,0.01,0.0001,20,2,,,10
27,model_type.euclidean,activation.dmelu,,0.10774031,0.22384168,,0.07879867,27,0.01,0.0001,20,2,,,10
28,model_type.euclidean,activation.dmelu,,0.10452089,0.217153,,0.07479341,28,0.01,0.0001,20,2,,,10
29,model_type.euclidean,activation.dmelu,,0.101594456,0.21107303,,0.07105874,29,0.01,0.0001,20,2,,,10
30,model_type.euclidean,activation.dmelu,,0.09883464,0.20533922,,0.067708604,30,0.01,0.0001,20,2,,,10
31,model_type.euclidean,activation.dmelu,,0.09608163,0.19961956,,0.0647519,31,0.01,0.0001,20,2,,,10
32,model_type.euclidean,activation.dmelu,,0.09315083,0.19353053,,0.062099684,32,0.01,0.0001,20,2,,,10
33,model_type.euclidean,activation.dmelu,,0.089860074,0.18669364,,0.059574824,33,0.01,0.0001,20,2,,,10
34,model_type.euclidean,activation.dmelu,,0.086100236,0.17888218,,0.056974687,34,0.01,0.0001,20,2,,,10
35,model_type.euclidean,activation.dmelu,,0.08189258,0.17014034,,0.05415515,35,0.01,0.0001,20,2,,,10
36,model_type.euclidean,activation.dmelu,,0.07740336,0.16081351,,0.051082905,36,0.01,0.0001,20,2,,,10
37,model_type.euclidean,activation.dmelu,,0.07287714,0.15140982,,0.047851216,37,0.01,0.0001,20,2,,,10
38,model_type.euclidean,activation.dmelu,,0.06852345,0.14236459,,0.044648018,38,0.01,0.0001,20,2,,,10
39,model_type.euclidean,activation.dmelu,,0.06447697,0.1339576,,0.04167083,39,0.01,0.0001,20,2,,,10
40,model_type.euclidean,activation.dmelu,,0.06081512,0.12634972,,0.039064404,40,0.01,0.0001,20,2,,,10
41,model_type.euclidean,activation.dmelu,,0.05758914,0.11964741,,0.036881145,41,0.01,0.0001,20,2,,,10
42,model_type.euclidean,activation.dmelu,,0.054836456,0.11392843,,0.035081238,42,0.01,0.0001,20,2,,,10
43,model_type.euclidean,activation.dmelu,,0.052566234,0.10921181,,0.03356485,43,0.01,0.0001,20,2,,,10
44,model_type.euclidean,activation.dmelu,,0.050750375,0.10543917,,0.032213084,44,0.01,0.0001,20,2,,,10
45,model_type.euclidean,activation.dmelu,,0.049336083,0.10250083,,0.03093143,45,0.01,0.0001,20,2,,,10
46,model_type.euclidean,activation.dmelu,,0.048251238,0.10024696,,0.029680949,46,0.01,0.0001,20,2,,,10
47,model_type.euclidean,activation.dmelu,,0.04742211,0.09852436,,0.028466929,47,0.01,0.0001,20,2,,,10
48,model_type.euclidean,activation.dmelu,,0.046805043,0.09724233,,0.027318599,48,0.01,0.0001,20,2,,,10
49,model_type.euclidean,activation.dmelu,,0.046405524,0.09641229,,0.026276892,49,0.01,0.0001,20,2,,,10
50,model_type.euclidean,activation.dmelu,,0.04627033,0.096131414,,0.025384977,50,0.01,0.0001,20,2,,,10
51,model_type.euclidean,activation.dmelu,,0.046437804,0.09647936,,0.024679804,51,0.01,0.0001,20,2,,,10
52,model_type.euclidean,activation.dmelu,,0.046879493,0.097397014,,0.024172215,52,0.01,0.0001,20,2,,,10
53,model_type.euclidean,activation.dmelu,,0.047475267,0.098634794,,0.023834419,53,0.01,0.0001,20,2,,,10
54,model_type.euclidean,activation.dmelu,,0.048035115,0.09979794,,0.02361114,54,0.01,0.0001,20,2,,,10
55,model_type.euclidean,activation.dmelu,,0.048376583,0.10050737,,0.023436975,55,0.01,0.0001,20,2,,,10
56,model_type.euclidean,activation.dmelu,,0.048407543,0.1005717,,0.023258705,56,0.01,0.0001,20,2,,,10
57,model_type.euclidean,activation.dmelu,,0.04815586,0.100048795,,0.023049822,57,0.01,0.0001,20,2,,,10
58,model_type.euclidean,activation.dmelu,,0.04773197,0.09916812,,0.022811925,58,0.01,0.0001,20,2,,,10
59,model_type.euclidean,activation.dmelu,,0.047255628,0.098178476,,0.022561712,59,0.01,0.0001,20,2,,,10
60,model_type.euclidean,activation.dmelu,,0.046802178,0.09723639,,0.022313967,60,0.01,0.0001,20,2,,,10
61,model_type.euclidean,activation.dmelu,,0.046386696,0.09637318,,0.022078319,61,0.01,0.0001,20,2,,,10
