,Model,Activation,Test accuracy,Test loss,Normalized test loss,Train accuracy,Train loss,Epoch,Learning rate,Weight decay,Neurons,Nlayers,Train hyperbolicities,Test hyperbolicities,Problem dimension
0,model_type.hyperbolic,activation.dmelu,,0.58389974,1.1079967,,0.96609795,0,0.01,0.0001,20,2,,,10
1,model_type.hyperbolic,activation.dmelu,,0.50871646,0.96533036,,0.5356209,1,0.01,0.0001,20,2,,,10
2,model_type.hyperbolic,activation.dmelu,,0.45559055,0.86451966,,0.47308102,2,0.01,0.0001,20,2,,,10
3,model_type.hyperbolic,activation.dmelu,,0.37554833,0.71263313,,0.4143917,3,0.01,0.0001,20,2,,,10
4,model_type.hyperbolic,activation.dmelu,,0.32048297,0.6081422,,0.32703823,4,0.01,0.0001,20,2,,,10
5,model_type.hyperbolic,activation.dmelu,,0.3053803,0.5794837,,0.26756507,5,0.01,0.0001,20,2,,,10
6,model_type.hyperbolic,activation.dmelu,,0.30767104,0.58383054,,0.24816702,6,0.01,0.0001,20,2,,,10
7,model_type.hyperbolic,activation.dmelu,,0.30122676,0.571602,,0.24294078,7,0.01,0.0001,20,2,,,10
8,model_type.hyperbolic,activation.dmelu,,0.28237823,0.5358354,,0.22676776,8,0.01,0.0001,20,2,,,10
9,model_type.hyperbolic,activation.dmelu,,0.26510957,0.5030667,,0.20007442,9,0.01,0.0001,20,2,,,10
10,model_type.hyperbolic,activation.dmelu,,0.2601878,0.49372727,,0.18004309,10,0.01,0.0001,20,2,,,10
11,model_type.hyperbolic,activation.dmelu,,0.26295245,0.4989734,,0.17777091,11,0.01,0.0001,20,2,,,10
12,model_type.hyperbolic,activation.dmelu,,0.2604284,0.4941838,,0.1864473,12,0.01,0.0001,20,2,,,10
13,model_type.hyperbolic,activation.dmelu,,0.24669024,0.46811455,,0.19028567,13,0.01,0.0001,20,2,,,10
14,model_type.hyperbolic,activation.dmelu,,0.22649235,0.42978743,,0.18200126,14,0.01,0.0001,20,2,,,10
15,model_type.hyperbolic,activation.dmelu,,0.20802069,0.39473596,,0.16673635,15,0.01,0.0001,20,2,,,10
16,model_type.hyperbolic,activation.dmelu,,0.19581339,0.37157163,,0.15337394,16,0.01,0.0001,20,2,,,10
17,model_type.hyperbolic,activation.dmelu,,0.18916811,0.3589617,,0.14628571,17,0.01,0.0001,20,2,,,10
18,model_type.hyperbolic,activation.dmelu,,0.18496098,0.3509783,,0.14370196,18,0.01,0.0001,20,2,,,10
19,model_type.hyperbolic,activation.dmelu,,0.1810713,0.34359735,,0.141338,19,0.01,0.0001,20,2,,,10
20,model_type.hyperbolic,activation.dmelu,,0.17759755,0.33700565,,0.1366125,20,0.01,0.0001,20,2,,,10
21,model_type.hyperbolic,activation.dmelu,,0.17577699,0.33355096,,0.13006443,21,0.01,0.0001,20,2,,,10
22,model_type.hyperbolic,activation.dmelu,,0.17619829,0.3343504,,0.12392083,22,0.01,0.0001,20,2,,,10
23,model_type.hyperbolic,activation.dmelu,,0.1778305,0.33744767,,0.119797476,23,0.01,0.0001,20,2,,,10
24,model_type.hyperbolic,activation.dmelu,,0.17850101,0.33872002,,0.11739061,24,0.01,0.0001,20,2,,,10
25,model_type.hyperbolic,activation.dmelu,,0.17637867,0.3346927,,0.114901856,25,0.01,0.0001,20,2,,,10
26,model_type.hyperbolic,activation.dmelu,,0.17126502,0.32498914,,0.11066911,26,0.01,0.0001,20,2,,,10
27,model_type.hyperbolic,activation.dmelu,,0.16466746,0.31246975,,0.10460045,27,0.01,0.0001,20,2,,,10
28,model_type.hyperbolic,activation.dmelu,,0.158655,0.30106062,,0.0982275,28,0.01,0.0001,20,2,,,10
29,model_type.hyperbolic,activation.dmelu,,0.15446573,0.29311115,,0.09339757,29,0.01,0.0001,20,2,,,10
30,model_type.hyperbolic,activation.dmelu,,0.15195183,0.2883408,,0.090757035,30,0.01,0.0001,20,2,,,10
31,model_type.hyperbolic,activation.dmelu,,0.150197,0.28501087,,0.089311086,31,0.01,0.0001,20,2,,,10
32,model_type.hyperbolic,activation.dmelu,,0.14857967,0.28194186,,0.08743904,32,0.01,0.0001,20,2,,,10
33,model_type.hyperbolic,activation.dmelu,,0.14716452,0.27925652,,0.084373385,33,0.01,0.0001,20,2,,,10
34,model_type.hyperbolic,activation.dmelu,,0.14608344,0.27720508,,0.08070847,34,0.01,0.0001,20,2,,,10
35,model_type.hyperbolic,activation.dmelu,,0.14475355,0.27468148,,0.07748808,35,0.01,0.0001,20,2,,,10
36,model_type.hyperbolic,activation.dmelu,,0.14201954,0.2694935,,0.07494818,36,0.01,0.0001,20,2,,,10
37,model_type.hyperbolic,activation.dmelu,,0.13722807,0.2604013,,0.07234708,37,0.01,0.0001,20,2,,,10
38,model_type.hyperbolic,activation.dmelu,,0.13099636,0.24857612,,0.06903643,38,0.01,0.0001,20,2,,,10
39,model_type.hyperbolic,activation.dmelu,,0.124719605,0.23666547,,0.06537764,39,0.01,0.0001,20,2,,,10
40,model_type.hyperbolic,activation.dmelu,,0.119415715,0.22660092,,0.062309626,40,0.01,0.0001,20,2,,,10
41,model_type.hyperbolic,activation.dmelu,,0.11520321,0.21860735,,0.060188666,41,0.01,0.0001,20,2,,,10
42,model_type.hyperbolic,activation.dmelu,,0.11178474,0.21212053,,0.058415204,42,0.01,0.0001,20,2,,,10
43,model_type.hyperbolic,activation.dmelu,,0.1090791,0.20698637,,0.056248017,43,0.01,0.0001,20,2,,,10
44,model_type.hyperbolic,activation.dmelu,,0.1071488,0.20332345,,0.053690396,44,0.01,0.0001,20,2,,,10
45,model_type.hyperbolic,activation.dmelu,,0.10565309,0.20048523,,0.05134552,45,0.01,0.0001,20,2,,,10
46,model_type.hyperbolic,activation.dmelu,,0.103771396,0.19691457,,0.04952638,46,0.01,0.0001,20,2,,,10
47,model_type.hyperbolic,activation.dmelu,,0.100926265,0.1915157,,0.047850773,47,0.01,0.0001,20,2,,,10
48,model_type.hyperbolic,activation.dmelu,,0.09741973,0.18486176,,0.04586054,48,0.01,0.0001,20,2,,,10
49,model_type.hyperbolic,activation.dmelu,,0.09408438,0.17853267,,0.04371338,49,0.01,0.0001,20,2,,,10
50,model_type.hyperbolic,activation.dmelu,,0.09142648,0.1734891,,0.041887898,50,0.01,0.0001,20,2,,,10
51,model_type.hyperbolic,activation.dmelu,,0.089386694,0.16961844,,0.04041081,51,0.01,0.0001,20,2,,,10
52,model_type.hyperbolic,activation.dmelu,,0.08778364,0.16657652,,0.03885611,52,0.01,0.0001,20,2,,,10
53,model_type.hyperbolic,activation.dmelu,,0.08652792,0.16419369,,0.037066318,53,0.01,0.0001,20,2,,,10
54,model_type.hyperbolic,activation.dmelu,,0.08530584,0.16187468,,0.03537858,54,0.01,0.0001,20,2,,,10
55,model_type.hyperbolic,activation.dmelu,,0.0835071,0.15846144,,0.034023806,55,0.01,0.0001,20,2,,,10
56,model_type.hyperbolic,activation.dmelu,,0.08079111,0.15330762,,0.032754745,56,0.01,0.0001,20,2,,,10
57,model_type.hyperbolic,activation.dmelu,,0.07748801,0.14703973,,0.03132284,57,0.01,0.0001,20,2,,,10
58,model_type.hyperbolic,activation.dmelu,,0.074204795,0.14080957,,0.029904686,58,0.01,0.0001,20,2,,,10
59,model_type.hyperbolic,activation.dmelu,,0.0712882,0.13527508,,0.028732158,59,0.01,0.0001,20,2,,,10
60,model_type.hyperbolic,activation.dmelu,,0.06884029,0.13062999,,0.027681204,60,0.01,0.0001,20,2,,,10
61,model_type.hyperbolic,activation.dmelu,,0.06691078,0.12696859,,0.026560355,61,0.01,0.0001,20,2,,,10
62,model_type.hyperbolic,activation.dmelu,,0.06536835,0.12404169,,0.025482632,62,0.01,0.0001,20,2,,,10
63,model_type.hyperbolic,activation.dmelu,,0.063819736,0.12110308,,0.024623666,63,0.01,0.0001,20,2,,,10
64,model_type.hyperbolic,activation.dmelu,,0.061989166,0.117629424,,0.023878133,64,0.01,0.0001,20,2,,,10
65,model_type.hyperbolic,activation.dmelu,,0.0600481,0.113946095,,0.023077486,65,0.01,0.0001,20,2,,,10
66,model_type.hyperbolic,activation.dmelu,,0.058358878,0.11074066,,0.022296758,66,0.01,0.0001,20,2,,,10
67,model_type.hyperbolic,activation.dmelu,,0.057082012,0.10831771,,0.021647785,67,0.01,0.0001,20,2,,,10
68,model_type.hyperbolic,activation.dmelu,,0.056174446,0.10659552,,0.02103757,68,0.01,0.0001,20,2,,,10
69,model_type.hyperbolic,activation.dmelu,,0.055504933,0.10532507,,0.020376557,69,0.01,0.0001,20,2,,,10
70,model_type.hyperbolic,activation.dmelu,,0.054814685,0.10401527,,0.019755306,70,0.01,0.0001,20,2,,,10
71,model_type.hyperbolic,activation.dmelu,,0.053814214,0.10211679,,0.019234335,71,0.01,0.0001,20,2,,,10
72,model_type.hyperbolic,activation.dmelu,,0.052480105,0.09958522,,0.018724632,72,0.01,0.0001,20,2,,,10
73,model_type.hyperbolic,activation.dmelu,,0.051083,0.096934095,,0.018194783,73,0.01,0.0001,20,2,,,10
74,model_type.hyperbolic,activation.dmelu,,0.049885266,0.0946613,,0.017728044,74,0.01,0.0001,20,2,,,10
75,model_type.hyperbolic,activation.dmelu,,0.048974153,0.09293239,,0.01732545,75,0.01,0.0001,20,2,,,10
76,model_type.hyperbolic,activation.dmelu,,0.048315436,0.09168243,,0.016908756,76,0.01,0.0001,20,2,,,10
77,model_type.hyperbolic,activation.dmelu,,0.04776419,0.09063639,,0.01648903,77,0.01,0.0001,20,2,,,10
78,model_type.hyperbolic,activation.dmelu,,0.04710564,0.08938674,,0.016115885,78,0.01,0.0001,20,2,,,10
79,model_type.hyperbolic,activation.dmelu,,0.046255693,0.0877739,,0.015753144,79,0.01,0.0001,20,2,,,10
80,model_type.hyperbolic,activation.dmelu,,0.045342967,0.08604193,,0.015369189,80,0.01,0.0001,20,2,,,10
81,model_type.hyperbolic,activation.dmelu,,0.044530306,0.084499836,,0.015009315,81,0.01,0.0001,20,2,,,10
82,model_type.hyperbolic,activation.dmelu,,0.043873396,0.083253294,,0.014685055,82,0.01,0.0001,20,2,,,10
83,model_type.hyperbolic,activation.dmelu,,0.043337017,0.08223547,,0.014355503,83,0.01,0.0001,20,2,,,10
84,model_type.hyperbolic,activation.dmelu,,0.042813826,0.08124268,,0.014027816,84,0.01,0.0001,20,2,,,10
